"","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
"90",449.339996337891,453.079986572266,440.559997558594,443.769989013672,317430,432.415191650391
"91",443.799987792969,454.799987792969,443.209991455078,447.170013427734,515250,435.728179931641
"92",446,454,442.510009765625,451.140014648438,453800,439.596618652344
"93",452,457.399993896484,443.399993896484,445.519989013672,673685,434.120391845703
"94",441.109985351562,441.109985351562,366.630004882812,384.880004882812,11064470,375.031982421875
"95",385,388.200012207031,364.410003662109,375.510009765625,4623630,365.901672363281
"96",374,383.399993896484,372.019989013672,379.209991455078,1624680,369.507080078125
"97",377.959991455078,378.399993896484,358.959991455078,361.010009765625,2286585,351.772766113281
"98",358.200012207031,365.640014648438,352.420013427734,358.720001220703,1886845,349.541351318359
"99",359.029998779297,385.600006103516,359.029998779297,373.100006103516,4885520,363.553375244141
"100",375,389.179992675781,374.399993896484,385.410003662109,2679990,375.548431396484
"101",387.899993896484,392.980010986328,378.959991455078,385.209991455078,2340740,375.353576660156
"102",380.399993896484,387.299987792969,375.109985351562,378.929992675781,1301245,369.234283447266
"103",379,387.970001220703,372.420013427734,386.440002441406,1821565,376.552093505859
"104",386,388.989990234375,371.839996337891,373.910003662109,1642870,364.342712402344
"105",376,383.769989013672,374.399993896484,377.890014648438,1788735,368.220886230469
"106",378.600006103516,381,369.600006103516,375.510009765625,840335,365.901672363281
"107",376,382.399993896484,373.209991455078,378.600006103516,815320,368.912750244141
"108",381.600006103516,385.5,378.799987792969,379.309997558594,896815,369.604522705078
"109",379.100006103516,380.790008544922,376.899993896484,377.950012207031,530930,368.279327392578
"110",378.239990234375,383,372.739990234375,374,558890,364.430358886719
"111",374.980010986328,377.209991455078,372.200012207031,373.109985351562,442605,363.563171386719
"112",373.589996337891,376.730010986328,365.079986572266,367.679992675781,477605,358.272094726562
"113",368,377.799987792969,368,376.029998779297,658695,366.408447265625
"114",379.100006103516,388.329986572266,375.670013427734,380.559997558594,2325980,370.822540283203
"115",380.980010986328,380.980010986328,372,374.529998779297,821550,364.946868896484
"116",373.700012207031,373.799987792969,367.010009765625,369.779998779297,598610,360.318389892578
"117",371.989990234375,371.989990234375,363.399993896484,364.609985351562,888445,355.280670166016
"118",364.609985351562,364.649993896484,351.970001220703,356.589996337891,2205895,347.465850830078
"119",356.600006103516,357.589996337891,332.410003662109,334.279998779297,8146750,325.726745605469
"120",332.429992675781,336.709991455078,325.399993896484,332.010009765625,6360185,323.514770507812
"121",331.600006103516,339.179992675781,329.109985351562,336.579986572266,4449025,327.967834472656
"122",339.589996337891,339.589996337891,327.140014648438,330.670013427734,2647630,322.209075927734
"123",330,331.799987792969,322.450012207031,328.420013427734,3778015,320.016662597656
"124",330.200012207031,341.399993896484,329.100006103516,339.320007324219,2385120,330.637847900391
"125",342,342,326.529998779297,330.029998779297,2106405,321.585418701172
"126",331.779998779297,333.839996337891,326.309997558594,332.200012207031,1453620,323.699981689453
"127",332.399993896484,333.489990234375,328.480010986328,330.109985351562,845405,321.663391113281
"128",330.980010986328,330.980010986328,320.549987792969,325.600006103516,1981630,317.268829345703
"129",325.600006103516,331.760009765625,322.600006103516,328.679992675781,1842845,320.269958496094
"130",328.899993896484,347.160003662109,327.600006103516,345.380004882812,2494805,336.542694091797
"131",349.200012207031,355.5,345.839996337891,348.690002441406,4051960,339.768035888672
"132",346.809997558594,347.420013427734,336.519989013672,338.679992675781,1611550,330.014099121094
"133",340,345.779998779297,331.200012207031,335.760009765625,2238640,327.168884277344
"134",335.970001220703,338,328.799987792969,330.089996337891,1265570,321.643859863281
"135",330,331.489990234375,315,316.899993896484,1635915,308.791473388672
"136",319,330.859985351562,317,329.230010986328,1630255,320.805969238281
"137",329.230010986328,332.989990234375,316.399993896484,320.350006103516,2028545,312.153167724609
"138",321,321,306.049987792969,314.109985351562,2961330,306.072784423828
"139",316,317.100006103516,306.010009765625,312.660003662109,2675430,304.659851074219
"140",312.660003662109,316,308.410003662109,313.529998779297,1568390,305.507690429688
"141",315.760009765625,330.600006103516,311.260009765625,328.070007324219,2781825,319.675659179688
"142",330.160003662109,338.820007324219,324.100006103516,333.559997558594,2559710,325.025085449219
"143",336.200012207031,339.660003662109,323.660003662109,328.959991455078,1865195,320.542846679688
"144",327.600006103516,345,326,336.829986572266,3750840,328.211395263672
"145",338,347.899993896484,338,344.059997558594,2986965,335.256439208984
"146",342.790008544922,347.739990234375,337.200012207031,346.25,1457595,337.390441894531
"147",344.019989013672,349.619995117188,343,345.869995117188,1696990,337.020202636719
"148",344.140014648438,345.059997558594,337.209991455078,338.799987792969,1503655,330.131042480469
"149",341,351.299987792969,339.420013427734,348.529998779297,1994390,339.612091064453
"150",350,359.820007324219,350,358.459991455078,2680685,349.288024902344
"151",360,368.399993896484,360,365.5,4129325,356.147918701172
"152",369.559997558594,375.399993896484,364.399993896484,370.660003662109,7025160,361.175872802734
"153",374.899993896484,381.600006103516,373.010009765625,379.470001220703,3626150,369.760467529297
"154",379.470001220703,384,373.609985351562,380.820007324219,2412280,371.075897216797
"155",379.940002441406,379.940002441406,374,375.970001220703,1093935,366.349975585938
"156",376,388,372,386.779998779297,2689420,378.090148925781
