"","ASTRAL.NS.Open","ASTRAL.NS.High","ASTRAL.NS.Low","ASTRAL.NS.Close","ASTRAL.NS.Volume","ASTRAL.NS.Adjusted"
"441",658.968933105469,679.500183105469,639.000183105469,641.447021484375,194511,636.167175292969
"442",641.812683105469,649.687683105469,635.625183105469,638.747009277344,1036970,633.489379882812
"443",644.512634277344,644.512634277344,635.681396484375,638.100158691406,291669,632.847778320312
"444",660.937683105469,666.562683105469,630.000183105469,632.137634277344,432023,626.934326171875
"445",644.062683105469,644.062683105469,637.425170898438,640.322021484375,17118,635.051513671875
"446",646.875183105469,646.875183105469,630.225158691406,631.715759277344,476798,626.515991210938
"447",638.381408691406,641.250183105469,622.125183105469,626.372009277344,174929,621.216125488281
"448",632.250183105469,636.131408691406,624.375183105469,628.284545898438,200638,623.336975097656
"449",637.312683105469,637.312683105469,625.500183105469,628.087646484375,142664,623.1416015625
"450",624.993896484375,634.500183105469,579.937622070312,612.843933105469,285077,608.017883300781
"451",612.506408691406,617.597045898438,593.493896484375,596.222045898438,545006,591.526916503906
"452",599.062622070312,602.437622070312,586.209533691406,590.597045898438,234186,585.946228027344
"453",594.393920898438,623.812683105469,592.031372070312,613.378295898438,461395,608.548095703125
"454",617.062683105469,627.328308105469,613.743896484375,620.972045898438,994339,616.08203125
"455",613.153259277344,632.812683105469,613.153259277344,621.478271484375,380135,616.584289550781
"456",624.318908691406,625.078308105469,604.125122070312,608.653259277344,242631,603.860229492188
"457",610.312622070312,620.100158691406,600.187622070312,610.622009277344,220012,605.813415527344
"458",608.625122070312,617.372009277344,608.625122070312,611.718872070312,132858,606.901672363281
"459",611.718872070312,615.375183105469,600.187622070312,603.506408691406,292574,598.753845214844
"460",603.506408691406,612.000183105469,591.525146484375,602.465759277344,166865,597.721496582031
"461",610.312622070312,611.409545898438,599.456420898438,609.918884277344,149525,605.115966796875
"462",611.437622070312,611.437622070312,596.250122070312,597.965759277344,80154,593.256896972656
"463",599.118896484375,612.450134277344,586.715759277344,610.115783691406,116005,605.311218261719
"464",608.062622070312,618.778259277344,605.447021484375,618.215759277344,228846,613.347534179688
"465",618.215759277344,622.462646484375,599.681396484375,610.256408691406,978988,605.450744628906
"466",607.500122070312,617.062683105469,597.965759277344,613.153259277344,142417,608.324829101562
"467",612.506408691406,654.750183105469,608.231384277344,638.409545898438,159084,633.382263183594
"468",640.687683105469,645.750183105469,624.937683105469,637.847045898438,432044,632.824157714844
"469",632.306396484375,639.056396484375,618.750183105469,623.081420898438,1153329,618.1748046875
"470",624.375183105469,638.718933105469,621.900146484375,635.400146484375,990712,630.396545410156
"471",632.812683105469,662.062683105469,632.531433105469,658.068908691406,377057,652.886901855469
"472",661.865783691406,675.000183105469,644.793884277344,673.565795898438,506501,668.261535644531
"473",677.250183105469,677.250183105469,645.187683105469,647.859558105469,305992,642.757751464844
"474",648.197021484375,655.509521484375,638.915771484375,651.093933105469,90053,645.966674804688
"475",655.059509277344,662.625183105469,641.250183105469,651.234558105469,41589,646.106201171875
"476",652.500183105469,668.447021484375,649.462646484375,663.6376953125,196223,658.411743164062
"477",658.265808105469,666.562683105469,648.112670898438,655.734558105469,72782,650.570861816406
"478",660.881408691406,662.3720703125,648.112670898438,657.450134277344,118147,652.272888183594
"479",653.062683105469,662.456420898438,637.200134277344,642.318908691406,80815,637.260803222656
"480",646.143920898438,649.687683105469,635.653259277344,644.231384277344,216403,639.158203125
"481",645.750183105469,646.875183105469,631.687683105469,636.103271484375,44830,631.094177246094
"482",637.509521484375,645.750183105469,632.306396484375,642.290771484375,60611,637.23291015625
"483",644.062683105469,649.687683105469,633.993896484375,638.915771484375,68606,633.884399414062
"484",638.437683105469,644.034545898438,635.597045898438,638.775146484375,65274,633.744995117188
"485",638.297058105469,651.375183105469,631.125183105469,642.037658691406,46227,636.981750488281
"486",644.231384277344,655.340759277344,638.437683105469,646.762634277344,73587,641.669555664062
"487",651.347045898438,659.250183105469,640.012634277344,654.947021484375,55962,649.789428710938
"488",658.125183105469,660.937683105469,648.056396484375,658.068908691406,91998,652.886901855469
"489",657.281433105469,674.437683105469,640.659545898438,662.006408691406,205583,656.793212890625
"490",661.218933105469,662.906433105469,650.250183105469,656.353271484375,21393,651.184692382812
"491",653.118896484375,663.159545898438,648.309509277344,651.628295898438,61754,646.496826171875
