,HAL.NS.Open,HAL.NS.High,HAL.NS.Low,HAL.NS.Close,HAL.NS.Volume,HAL.NS.Adjusted
669,440,442.375,433.2250061,435.7250061,662490,396.9049072
670,437.25,442.5,434.1499939,440.0249939,773012,400.8218079
671,435,437.8500061,431.5,433.1499939,497572,401.401001
672,435,439.5,428.0499878,431.8999939,476678,400.2426147
673,430.0499878,435.8500061,393.25,399.4750061,944604,370.1943359
674,399.1000061,405.2250061,380.5,396.9249878,859706,367.8312073
675,398.7749939,403.8999939,396.9249878,402.4500122,367900,372.9512634
676,405.8250122,413.2250061,404.4750061,411.125,669886,380.9903564
677,412.5,415,409.0499878,410.75,254090,380.6429138
678,412,422.5,409,418.1499939,809464,387.5004578
679,420,420,411.5,415.5249939,386952,385.0678711
680,420.5,427.25,419.9750061,423.125,887524,392.1108398
681,424.5,431.5,423.7999878,428.3999939,525246,396.9991455
682,430.9750061,445.5,428.3999939,443.4500122,1478680,410.9460144
683,439.8999939,463.4750061,432.25,460.7749939,2985300,427.0011292
684,467,480.2250061,465,471.8999939,3301122,437.3106995
685,480,481.9750061,462.75,465.25,1012478,431.1481018
686,466.0499878,470.2250061,455,456.25,710614,422.8078308
687,468,468,452.25,453.9750061,898772,420.6996155
688,456,457.4249878,448.5,450.7999878,584460,417.7572327
689,454.2250061,470,450.0249939,460.7999878,1612754,427.0243225
690,502.5,524,491.6499939,504.625,15085380,467.6369934
691,509.5,509.5,475,483.5499878,3572058,448.1067505
692,485,487.3500061,470.625,480.7250061,1678884,445.4888611
693,489.5,494.7250061,483,485.0750122,729042,449.519989
694,486.5,490.5,475.8999939,485.0249939,766022,449.4736633
695,487.25,489.3500061,483,484.2999878,688496,448.8017883
696,485,487.5,471.75,474,681374,439.2568359
697,482,484.2250061,465.6000061,471.5750122,699818,437.009552
698,473,473.1499939,456,457.9750061,497518,424.4063416
699,455.5249939,464.7250061,450.8500061,461.8999939,467670,428.0437012
700,466.9500122,471.25,461,462.6499939,654836,428.738678
701,470,473.5,453,454.5,1699902,421.1861267
702,458,470.5,457.5,467.375,1003592,433.1173706
703,488.5,488.9500122,475.1000061,482.3500061,1851870,446.9947205
704,486.2000122,489.5,482.5,488.1749878,1116136,452.3927307
705,490,509.5,485,506.6749878,2996074,469.5367432
706,510.5,532.4000244,510.0249939,517.3499756,3461870,479.4292908
707,520.9000244,521.9249878,504.5,508,1166948,470.764679
708,508.5750122,512,496,504.8250122,1133612,467.8223572
709,504.8250122,507.2000122,495.1000061,497.0750122,754380,460.6404724
710,499,524.5,498.9500122,513.25,2880490,475.6297913
711,521.1500244,523.5499878,513.0499878,518.1749878,1464310,480.1938171
712,515,517.4749756,502.9750061,508.5249939,779356,471.2511597
713,512.4500122,526.75,504.4750061,519.9500122,1494320,481.8387756
714,520.5,537.4000244,512.2750244,526.5750122,1457096,487.9781494
715,531.8499756,541.5,525.25,530.6749878,1568192,491.7776184
716,533,546,520,526.625,2263152,488.0245056
717,531.5499878,535,505.5,515.0999756,1011812,477.3442383
718,517.9500122,534.9500122,517.9500122,532.0999756,557096,493.098053
719,537,550,530,548.2249756,1571312,508.0411682
720,540,557.5,535.4000244,543.5250244,1658512,503.68573
721,551.8250122,551.9749756,540,542.625,638750,502.8516541
722,545,559.9000244,545,553.3499756,909198,512.7905884
723,557.4749756,561.9249878,552.6749878,556.2999878,647408,515.5244141
724,550,559,543.0499878,548.6500244,777700,508.4350281
725,547.5,554.1500244,523.9249878,527.0250244,763776,495.164032
726,535.0250244,541.0499878,528.625,532.625,366926,500.4254456
727,532.9500122,544.4749756,527,532.7249756,554256,500.5194092
728,532.5,539.9749756,530,533.6749878,411122,501.4119568
729,535.375,541.5,528.6749878,530.625,682402,498.5463867
730,530.5999756,532.5,505.6749878,508,852324,477.2891846
731,510.25,540,510.25,535.7000122,1073246,503.3145752
732,527.5,534.9500122,518,523.0250244,775522,491.4058228
733,525,527.7000122,512.5,515.4249878,466588,484.2652588
734,510,526.8499756,491.25,516.0250244,3967772,484.82901
735,516.0250244,527.9749756,507.5,518.625,426740,487.2718201
736,517,527.375,506.0499878,510.4500122,665362,479.5910339
737,509.8500061,513.9249878,499.5,501.3250122,346930,471.0176697
738,500.9750061,504.4750061,486.5,491.375,497106,461.6691895
739,498.25,502.5,490.125,493.4750061,308640,463.6422729
740,498.2999878,502.5,496.1000061,500.1000061,273476,469.8667603
741,500,502.5,492.625,497.4750061,289982,467.4004211
742,508.5,526,505.625,517.8250122,1961258,486.5201721
743,520,520.5,496.1000061,499.9500122,579288,469.725769
744,507.4500122,509,498.1000061,500.125,322770,469.8901978
745,502.5,510.0750122,501.1499939,502.9500122,416420,472.5444336
746,508,510,503.1000061,505.1749878,287444,474.6349182
747,504.5,510,498.5,500.2250061,317132,469.9842224
748,496.5,496.5,474.0249939,478.7000122,435726,449.7604675
749,476.5,487.3500061,475.7000122,485.4249878,224272,456.0788574
750,485,488.0750122,473.1499939,484.5,255634,455.2098083
751,484.5,491,477,482.25,201178,453.0958252
752,474,474,464.5,470.1000061,411194,441.6803589
753,473.0499878,478.9500122,471.3999939,475.6749878,250198,446.9183044
754,467.5,476.3500061,467.5,474.3999939,149016,445.720459
755,472.5,482.0750122,470.8999939,478.4249878,208250,449.5020447
756,478.4249878,482.5,475.5,477.1499939,137044,448.3041687
757,476.0499878,479.1499939,474.5,475,322674,446.2841187
758,477.3500061,487.4500122,475.75,483.875,443340,454.6226196
759,481.625,487.4500122,472,473.1749878,327116,444.5694885
760,472.5,479.9500122,470.5750122,478.625,205378,449.6899719
761,477.8500061,478.4750061,471,476.3999939,274984,447.5994873
762,478.8999939,488.9750061,474,476.8999939,447218,448.0692444
763,489.8999939,489.8999939,482.0499878,484.2250061,431836,454.9515076
764,486,487.0249939,478.0499878,478.9249878,219222,449.9718323
765,481.3250122,482.5,476,480.2250061,200884,451.1932678
766,478.75,488.25,478.75,484.2749939,293348,454.9984131
767,482.4750061,503.9500122,480.7999878,500.1499939,1071592,469.9136963
768,502.5,517.125,498.1499939,503.8250122,983626,473.3665466
769,503.5499878,507.875,489.5499878,491.625,351682,461.9041138
770,493.1749878,502,493.1749878,500.9249878,183924,470.6418762
771,507.5,510.5,497.5,504,386026,473.5309143
772,501,510.9750061,501,507.375,436916,476.7019043
773,509.8999939,516.7000122,495.6000061,505.25,537066,474.7053833
774,505.2749939,515.2750244,505.2749939,512.7000122,401596,481.7050171
775,513,516,506,507.375,507370,476.7019043
776,507.5,517.4749756,507.5,513.4249878,382932,482.3861694
777,513.5,523,508.7250061,517.9000244,306608,486.5906677
778,517.9000244,519.8499756,512.125,516.875,155340,485.627594
779,516,520,512.7000122,514.8499756,193086,483.7250061
780,515,515.4749756,505.0499878,510.2749939,239702,479.4265747
781,524.5,534.9249878,512.5999756,515.8499756,1068104,484.6645813
782,517.4000244,523.5,514.8250122,518.5250244,297788,487.177887
783,525,526.5,520,524.5499878,358806,492.8385315
784,528.0499878,543.9500122,516.2750244,531.2249756,1092906,499.1099854
785,534.4500122,537.3499756,527,532.6749878,439184,500.4723816
786,534.9749756,539.5,523.5250244,535.0499878,372976,502.7038574
787,534.9749756,544.5,520.6749878,523.7249756,617068,492.0635071
788,530,530.6500244,518.5,520.4000244,257872,488.9394531
789,525.5,530.9749756,521.5,523.2999878,341256,491.6641846
790,526.5,529,514.0499878,525.9500122,309452,494.1539917
791,525.9500122,529.3250122,520.3499756,521,221610,489.5032654
792,521.5,524.7249756,513.75,514.9249878,177230,483.7954712
793,514.25,527.3499756,512.5250244,513.6749878,351492,482.6210327
794,514.5,518.8499756,497.7000122,508.2250061,255810,477.5005798
795,503.6000061,512.4000244,499.0750122,503.7749939,326544,473.3195801
796,507.0249939,510.9249878,499.5,500.5249939,356600,470.2660522
797,502.5,523.5,495.6000061,510.5750122,1113756,479.7084351
798,514.5,519.5,506.5750122,509.6000061,246742,478.79245
799,511,519.5,509.2999878,518.5,300288,487.1543274
800,520.5,524.9500122,513.5,521.3499756,509822,489.8320618
801,529,533.5,514,518.1500244,697060,486.825592
802,519.4749756,521.9749756,508.75,510.8999939,291170,480.0137939
803,512.75,514.4249878,505,506.875,477700,476.2321472
804,507.0249939,536.7750244,507.0249939,533.7750244,1634066,501.5059509
805,538.0499878,546.8499756,527.5750122,531.0750122,800318,498.9691772
806,532.5,571.5,531.5,550.3250122,4975560,517.0553589
807,555,564,545,549.7750244,1967718,516.5386963
