"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"269",509.799987792969,511.575012207031,493.375,502.600006103516,9058428,423.513824462891
"270",505.299987792969,525,505.25,521.924987792969,6460222,439.797973632812
"271",522.5,528.900024414062,520.150024414062,522.400024414062,4133944,440.198211669922
"272",523.25,527.5,520.75,523.875,2368564,442.287750244141
"273",525.5,532.474975585938,522.549987792969,527.599975585938,2331000,445.432647705078
"274",528,538.900024414062,528,531.450012207031,3251088,448.683013916016
"275",530,538,529.025024414062,534.224975585938,3733802,451.025817871094
"276",534.049987792969,542,531.5,539.674987792969,3157886,455.627044677734
"277",538,539.200012207031,526.375,529.400024414062,2788882,446.952392578125
"278",535,535,528.525024414062,530.650024414062,1970720,448.007629394531
"279",533.099975585938,533.674987792969,520.75,528.625,2492120,446.297943115234
"280",530.400024414062,536,516.25,523.150024414062,2550698,441.675720214844
"281",524,525.599975585938,518.174987792969,519.525024414062,1837440,438.615295410156
"282",521.174987792969,530.75,513,528.974975585938,2558354,446.593475341797
"283",530,530.75,521.299987792969,526.700012207031,2603154,444.672912597656
"284",522.099975585938,535.25,522,533.075012207031,2844492,450.055053710938
"285",535.299987792969,542.5,531.474975585938,541.125,2340940,456.851257324219
"286",540.299987792969,547.974975585938,527.474975585938,529.424987792969,3726370,446.973449707031
"287",530,533,519,530.174987792969,3325110,447.606658935547
"288",534.974975585938,534.974975585938,523.849975585938,526.950012207031,6661660,444.883941650391
"289",527.5,530.700012207031,521.875,526.299987792969,2295910,444.335052490234
"290",528.849975585938,529.900024414062,522.599975585938,526.275024414062,2117558,444.313995361328
"291",530.299987792969,531,519.299987792969,521.625,2807252,440.388092041016
"292",523.799987792969,525.25,516,517.275024414062,2073614,436.715606689453
"293",514.700012207031,514.974975585938,503,504.524993896484,3176094,425.951293945312
"294",503.5,510.875,500.5,502.200012207031,4547588,423.988464355469
"295",503.549987792969,509.75,500.024993896484,506.674987792969,4902188,427.766387939453
"296",509.350006103516,521.5,507.049987792969,514.174987792969,6803340,434.098419189453
"297",517.5,520.275024414062,502.049987792969,503.375,3793832,424.980377197266
"298",506,516.924987792969,504.399993896484,514.650024414062,5207688,434.499450683594
"299",516.049987792969,519.974975585938,505.950012207031,506.625,1690728,427.724273681641
"300",510.049987792969,521,506.549987792969,518.099975585938,3242552,437.412078857422
"301",521,527.25,515.75,518.974975585938,4408802,438.15087890625
"302",519,524,509,512.424987792969,5237090,432.620941162109
"303",514.5,514.5,505.924987792969,508.825012207031,3055910,429.581573486328
"304",506.674987792969,521.900024414062,505.75,517.299987792969,3311446,436.73681640625
"305",510,528.174987792969,510,521.575012207031,2911690,440.345947265625
"306",525.700012207031,544.174987792969,525,541.450012207031,8627614,457.125610351562
"307",545,560,541.025024414062,555.375,4617730,468.882049560547
"308",555,560,546.25,551.299987792969,2787844,465.441650390625
"309",551.299987792969,566.650024414062,545.775024414062,560.299987792969,5296628,473.040100097656
"310",559,559.025024414062,540.75,549.025024414062,8444208,463.520935058594
"311",545.174987792969,552.325012207031,542.75,546.400024414062,3409044,461.304748535156
"312",547.5,550.5,540.474975585938,548.174987792969,4027848,462.803344726562
"313",548.174987792969,564.424987792969,548.099975585938,559.075012207031,6500982,472.005798339844
"314",560,562.650024414062,548.099975585938,549.349975585938,4826866,463.795471191406
"315",546.150024414062,550.549987792969,542.5,544.424987792969,3035580,459.637329101562
"316",544.400024414062,550.424987792969,538.299987792969,541.724975585938,2839484,457.35791015625
"317",544.5,554,542.5,551.625,3868302,465.715942382812
