"","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
"1226",4638,4638,4551.7001953125,4565.14990234375,342890,4531.26025390625
"1227",4600,4620,4521.0498046875,4610.4501953125,308464,4576.22412109375
"1228",4610.35009765625,4616.4501953125,4540.25,4596.64990234375,282355,4562.52587890625
"1229",4610.7998046875,4788.4501953125,4602.2001953125,4766.2001953125,877375,4730.8173828125
"1230",4795,4848.7998046875,4725,4781.7001953125,902304,4746.20263671875
"1231",4765.7001953125,4805,4686.35009765625,4700.14990234375,473498,4665.25732421875
"1232",4723.7001953125,4740,4652.5,4684.0498046875,247357,4649.27734375
"1233",4685,4712.7001953125,4625.64990234375,4643.7998046875,226485,4609.32568359375
"1234",4652,4679.60009765625,4582,4588.64990234375,313366,4554.5849609375
"1235",4588.64990234375,4610,4478.5,4524.4501953125,530411,4490.8623046875
"1236",4550,4582.4501953125,4468.10009765625,4477.60009765625,348965,4444.359375
"1237",4488,4516.7001953125,4446,4454.35009765625,246577,4421.2822265625
"1238",4467,4508.9501953125,4425.10009765625,4490.89990234375,430096,4457.56103515625
"1239",4495,4514.10009765625,4425,4433.2998046875,414977,4400.38818359375
"1240",4455.5,4455.5,4356,4429.0498046875,468816,4396.169921875
"1241",4442.0498046875,4474.2998046875,4369,4387.4501953125,299640,4354.87939453125
"1242",4424.35009765625,4452.14990234375,4381.0498046875,4407.7001953125,407803,4374.978515625
"1243",4410,4489,4406,4466.64990234375,557940,4433.4912109375
"1244",4474,4482.4501953125,4336.0498046875,4360.60009765625,462687,4328.228515625
"1245",4370.9501953125,4382.39990234375,4325.25,4359.75,207917,4327.38525390625
"1246",4365,4370,4268.0498046875,4335.5498046875,366497,4303.3642578125
"1247",4364.25,4364.25,4285,4294.64990234375,210854,4262.76806640625
"1248",4316.2001953125,4336.4501953125,4275,4322.85009765625,294500,4290.75927734375
"1249",4337,4352,4305,4339.7998046875,331806,4307.58251953125
"1250",4339.7998046875,4339.7998046875,4285.64990234375,4318.14990234375,162244,4286.09326171875
"1251",4302,4322.4501953125,4264.2001953125,4285.25,242706,4253.4375
"1252",4294.39990234375,4353.5,4286.89990234375,4335.4501953125,161350,4303.265625
"1253",4349.9501953125,4349.9501953125,4290.7998046875,4305,178860,4273.04150390625
"1254",4314.9501953125,4318,4194,4224.35009765625,423714,4192.98974609375
"1255",4228,4285.35009765625,4192.10009765625,4244.14990234375,421866,4212.642578125
"1256",4236.5,4260,4123,4237.7001953125,623069,4206.2412109375
"1257",4239.5,4303.75,4127.0498046875,4255.89990234375,671038,4224.3056640625
"1258",4275,4352,4211.5,4262.64990234375,321331,4231.005859375
"1259",4262,4262,4170,4231.5,479256,4200.08642578125
"1260",4245,4259.7998046875,4158,4251.60009765625,413966,4220.03759765625
"1261",4211,4335.64990234375,4189.64990234375,4320.7001953125,257669,4288.625
"1262",4305,4360,4271.35009765625,4315.60009765625,319090,4283.5625
"1263",4320,4404.2998046875,4302.5498046875,4391.25,250175,4358.6513671875
"1264",4347.35009765625,4404.4501953125,4325,4389.2998046875,284239,4356.71484375
"1265",4385.39990234375,4425.2998046875,4350.25,4416.25,359807,4383.46533203125
"1266",4430.39990234375,4439.60009765625,4328,4358.64990234375,272935,4326.29296875
"1267",4380.4501953125,4380.4501953125,4251.0498046875,4268.85009765625,339582,4237.15966796875
"1268",4170,4514,4170,4487.89990234375,2724361,4454.58349609375
"1269",4509.9501953125,4668,4500.14990234375,4643.14990234375,1419679,4608.68115234375
"1270",4640.14990234375,4668.9501953125,4576,4614.7001953125,408098,4580.44189453125
"1271",4593,4649.9501953125,4575.35009765625,4610.60009765625,232327,4576.37255859375
"1272",4611,4640,4491,4502.0498046875,490637,4468.62841796875
"1273",4505,4535.9501953125,4440,4449.10009765625,333978,4416.07177734375
"1274",4471.35009765625,4518.2998046875,4401,4448.0498046875,443522,4415.029296875
"1275",4455.0498046875,4486,4396.89990234375,4470.64990234375,358946,4443.455078125
"1276",4485,4494.75,4415.0498046875,4439.75,215703,4412.7431640625
