,BEL.NS.Open,BEL.NS.High,BEL.NS.Low,BEL.NS.Close,BEL.NS.Volume,BEL.NS.Adjusted
586,21.18333244,21.76666641,21.11666679,21.66666603,32415078,19.84065437
587,21.68333244,22.36666679,21.39999962,22.21666527,48061671,20.34430504
588,22.31666565,23.46666527,22.06666565,23.21666527,70314837,21.26002693
589,23,23.48333359,22.66666603,23.06666565,40149138,21.12266541
590,23.33333206,23.66666603,23.06666565,23.13333321,47417268,21.18371582
591,23.20000076,23.46666527,22.88333321,23.21666527,21847401,21.26002693
592,23.43333244,24.73333359,23.16666603,24.53333282,72952329,22.46572113
593,24.53333282,24.93333244,23.89999962,24.26666641,30651105,22.22153664
594,24.46666527,24.78333282,24.28333282,24.64999962,28620174,22.57256126
595,25.06666565,25.79999924,24.71666527,24.88333321,45790467,22.78623199
596,25.11666679,25.38333321,24.18333244,24.35000038,35356647,22.29784393
597,24.54999924,24.85000038,23.91666603,24.48333359,28261539,22.41994286
598,24.61666679,24.89999962,23.43333244,23.54999924,31884348,21.56526566
599,22.46666527,24.08333206,22.46666527,23.96666527,42305706,21.94681358
600,23.98333359,24.18333244,23.14999962,23.64999962,27797562,21.65683937
601,24.28333282,24.29999924,23.06666565,23.54999924,31937172,21.56526566
602,23.71666527,24.26666641,23.54999924,23.88333321,35644017,21.87050819
603,23.98333359,25.75,23.88333321,25.61666679,100177014,23.45776176
604,25.81666565,27.16666603,25.48333359,26.68333244,85894965,24.43453217
605,27.29999924,27.63333321,26.73333359,27.10000038,68067777,24.816082
606,27.28333282,27.91666603,26.83333206,27.76666641,66445521,25.42656326
607,28.03333282,28.53333282,27.35000038,27.5,69841656,25.18237305
608,27.31666565,28.31666565,27,27.89999962,60786960,25.54866219
609,28.31666565,28.81666565,27.93333244,28.43333244,46124379,26.03704643
610,28.31666565,29.56666565,28.10000038,29.18333244,69975135,26.72383881
611,31.03333282,31.39999962,29.33333206,29.54999924,186678036,27.05960274
612,29.54999924,29.76666641,29.18333244,29.56666565,35384595,27.07486153
613,29.98333359,30.16666603,29.5,29.68333244,27362040,27.18169785
614,30.33333206,32.65000153,30.16666603,32.40000153,205331484,29.66941071
615,32.73333359,34.51666641,32.33333206,34.06666565,132074268,31.19562149
616,33.90000153,34.46666718,33.23333359,34.01666641,93081504,31.14983177
617,33.66666412,35.1333313,33.51666641,34.51666641,68150529,31.60769844
618,34.20000076,34.31666565,33.16666412,33.28333282,54329937,30.478302
619,33.28333282,33.83333206,32.78333282,33.23333359,36404634,30.4325161
620,33.56666565,33.78333282,32.56666565,32.83333206,32371863,30.06622314
621,33.09999847,33.3833313,31.85000038,32.36666489,57521871,29.63888359
622,33.16666412,33.20000076,31.79999924,32.03333282,37963695,29.33364677
623,32.16666412,32.25,31.38333321,31.48333359,36942912,28.82999992
624,31.46666527,32.81666565,31.35000038,32.66666412,30369327,29.91359901
625,32.66666412,33.29999924,32.09999847,32.25,34037145,29.53205299
626,32.53333282,33.59999847,32.20000076,33.08333206,42519072,30.29515839
627,33.29999924,33.31666565,32.16666412,32.6333313,26700693,29.88307762
628,32.66666412,34.5,32.51666641,34.16666412,63984771,31.28718567
629,34.31666565,34.8833313,33.73333359,34.04999924,68255931,31.18036079
630,34.25,34.25,32.75,33.1333313,34955964,30.34093857
631,32.40000153,33.06666565,31.78333282,32.18333435,64748145,29.47101021
632,32.18333435,33.40000153,32.16666412,32.43333435,52234014,29.69994164
633,32.59999847,32.78333282,31.64999962,31.88333321,36716154,29.19628906
634,31.93333244,32.25,31.25,31.95000076,44032875,29.25734138
635,32,33.06666565,31.68333244,32.26666641,31139499,29.5473175
636,32.65000153,33.66666412,32.29999924,33.46666718,51828114,30.64619255
637,33.65000153,34.08333206,32.95000076,33.46666718,34169139,30.64619255
638,33.46666718,33.78333282,32.86666489,33.01666641,20002308,30.23410988
639,33.09999847,33.58333206,32.78333282,33.06666565,23311572,30.27989197
640,35.15000153,37.96666718,34.79999924,36.09999847,197460327,33.05758667
