,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
1540,1210.550049,1228.25,1210.550049,1224.800049,5779169,1218.012329
1541,1226.949951,1238.5,1220.300049,1228.599976,10518377,1221.791138
1542,1228,1231.900024,1208,1217.349976,5461473,1210.603516
1543,1225,1227.75,1203.199951,1208.25,3625577,1201.553955
1544,1195,1240.599976,1189.449951,1225.699951,9532291,1218.907227
1545,1231.949951,1233,1201.300049,1206.849976,7327626,1200.161743
1546,1205.900024,1211.349976,1188.949951,1191,4227519,1184.399536
1547,1188,1210.550049,1183.099976,1204.699951,4827733,1198.02356
1548,1214.949951,1214.949951,1198.300049,1204.449951,3372798,1197.775024
1549,1213.25,1230.699951,1208.75,1229.400024,6442196,1222.586792
1550,1226.099976,1231.849976,1219.550049,1225.550049,7877073,1218.758179
1551,1210.599976,1235,1210.349976,1224.550049,4281602,1217.763672
1552,1223.900024,1233.949951,1212.050049,1216.449951,5235632,1209.708496
1553,1220,1281.849976,1215.800049,1265.75,19939924,1258.735352
1554,1280,1296.5,1253.349976,1289,13103862,1281.856445
1555,1304,1305.400024,1288.25,1297.550049,7894656,1290.359131
1556,1310,1351,1302.099976,1342.349976,12074766,1334.910767
1557,1352,1354,1333.550049,1336.400024,6277492,1328.993774
1558,1331,1343.800049,1324.349976,1338.699951,8512627,1331.281006
1559,1338,1345.699951,1322,1326,5289771,1318.651367
1560,1324.5,1346,1320,1332.449951,3195888,1325.065674
1561,1323.150024,1334.800049,1319.949951,1322.300049,5272565,1314.971924
1562,1315.25,1319.900024,1293.599976,1304.050049,7995432,1296.82312
1563,1306,1310.5,1258.150024,1277.400024,11290875,1270.320801
1564,1275,1298.449951,1273.199951,1283.400024,5555467,1276.287476
1565,1286.349976,1294.449951,1271,1286.150024,5767030,1279.022339
1566,1276.150024,1299.400024,1274.699951,1288.599976,2682816,1281.458618
1567,1283,1295.300049,1270.050049,1275.449951,4809145,1268.38147
1568,1275.050049,1308.5,1271.75,1301.150024,5532513,1293.939209
1569,1301.150024,1302.900024,1281.400024,1285.949951,3703942,1278.823364
1570,1290.550049,1299.900024,1280.699951,1284.300049,3262908,1277.182617
1571,1281.550049,1318.25,1280.5,1309.900024,6891004,1302.640625
1572,1328,1356.849976,1321.300049,1345.099976,11932181,1337.645508
1573,1353.599976,1360,1339.25,1344.449951,6614017,1336.999146
1574,1356,1362.75,1335.75,1344.300049,5422220,1336.850098
1575,1342.150024,1351,1329.550049,1347.900024,3026723,1340.430054
1576,1350.75,1377.300049,1344.300049,1374.050049,7147341,1366.435181
1577,1375.5,1397.75,1374.050049,1388.5,5622368,1380.805054
1578,1396,1407,1378,1384.349976,6553974,1376.677979
1579,1384.800049,1386.949951,1366.900024,1371.050049,2068963,1363.451782
1580,1355.5,1390.25,1355.5,1377.099976,4445083,1369.46814
1581,1378.800049,1386.449951,1363.5,1377.150024,7100303,1369.517944
1582,1380,1388,1338,1372.75,24825643,1365.142334
1583,1415.300049,1420.449951,1385,1391.099976,6017122,1383.390625
1584,1391.099976,1397,1219.050049,1299.699951,19924421,1292.49707
1585,1325.650024,1348.75,1279.849976,1344.349976,12175520,1336.899658
1586,1359,1376.25,1329,1370.599976,10279789,1363.004272
1587,1370.599976,1430.650024,1363.150024,1425.25,12280748,1417.351318
1588,1421.050049,1436.650024,1421.050049,1426.050049,5318477,1418.146973
1589,1426,1434.599976,1413,1427.25,4416792,1419.340332
1590,1425,1447.849976,1422.099976,1438.400024,4876138,1430.428467
1591,1449,1455.949951,1420.449951,1425.75,7990376,1417.848633
1592,1434,1434,1420.949951,1427.400024,3978442,1419.489502
1593,1444,1444,1418,1428.349976,8671131,1420.434204
1594,1433.949951,1434.800049,1388.300049,1392.349976,8640918,1384.633667
1595,1405.949951,1406.949951,1376.25,1381.150024,8742855,1373.49585
1596,1384.949951,1423.949951,1372.849976,1416.050049,43929578,1408.202393
1597,1402,1423.800049,1389.349976,1419.800049,6195831,1411.931641
1598,1434,1434,1409.849976,1414.949951,6353748,1407.108398
1599,1414.949951,1479.949951,1408.949951,1459.5,9579826,1451.411621
1600,1464,1489,1440.050049,1475.800049,19675528,1467.621338
1601,1536.25,1536.25,1436.650024,1444.050049,29145832,1436.047241
1602,1450,1466.800049,1449.25,1454,6011806,1445.942017
1603,1462,1473.400024,1417,1418.949951,7792632,1411.086304
1604,1427.949951,1432.400024,1408.449951,1419.849976,8261388,1411.981323
1605,1418,1441.099976,1411.5,1423.050049,9570938,1415.163574
1606,1422.5,1433.599976,1416.849976,1429.699951,4881198,1421.776611
1607,1431,1438.849976,1423.150024,1435.150024,3261797,1427.196533
1608,1436,1441.650024,1428.150024,1435.550049,2897480,1427.59436
1609,1441,1448.75,1426.150024,1445.050049,3416762,1437.041748
1610,1450,1450.849976,1428,1437.949951,4178558,1429.980957
1611,1442,1447.599976,1421.449951,1433.25,6342135,1425.307007
1612,1433.25,1440,1426.050049,1437.599976,3324806,1429.632935
1613,1452,1473.300049,1445,1466.5,6967651,1458.372803
1614,1466,1485.949951,1459.050049,1483.650024,6470342,1475.427734
1615,1480,1480,1451.949951,1461.75,3858596,1453.649048
1616,1450,1472,1449.050049,1465.400024,3560584,1457.278931
1617,1470,1470,1428.449951,1465.699951,2936143,1457.577148
1618,1466,1475.599976,1436.550049,1455.199951,4529339,1447.135376
1619,1445,1454,1440.099976,1449.150024,4277756,1441.118896
1620,1450.25,1520,1449.150024,1514.400024,9564987,1506.007324
1621,1525,1525,1477.050049,1481.349976,4589313,1473.140503
