"","HINDCOPPER.NS.Open","HINDCOPPER.NS.High","HINDCOPPER.NS.Low","HINDCOPPER.NS.Close","HINDCOPPER.NS.Volume","HINDCOPPER.NS.Adjusted"
"243",49.7999992370605,49.8499984741211,49.0999984741211,49.7000007629395,538850,47.9114456176758
"244",51,52,50.25,50.5,759242,48.6826477050781
"245",50.7999992370605,51.4000015258789,50.5999984741211,50.75,586213,48.9236526489258
"246",51.3499984741211,53,51.2000007629395,52.4500007629395,2986914,50.5624694824219
"247",52.5,52.7000007629395,51.7000007629395,52.0999984741211,978575,50.2250671386719
"248",51.5999984741211,51.7000007629395,50.5499992370605,50.7999992370605,486138,48.971851348877
"249",50.5,50.8499984741211,49.7999992370605,50.2999992370605,523088,48.4898490905762
"250",50.0999984741211,50.6500015258789,49.5,50.0999984741211,517797,48.2970390319824
"251",50.8499984741211,51.2000007629395,50.1500015258789,50.4000015258789,574353,48.5862464904785
"252",50.4000015258789,50.7000007629395,49.6500015258789,49.9500007629395,277462,48.1524429321289
"253",50.2000007629395,50.4500007629395,49.2999992370605,49.5999984741211,406039,47.8150329589844
"254",49.6500015258789,49.6500015258789,49.0499992370605,49.2000007629395,375422,47.4294319152832
"255",49.7000007629395,50.2000007629395,49.25,49.4500007629395,449836,47.6704330444336
"256",49.25,49.75,48.5,49.3499984741211,479828,47.5740356445312
"257",49.75,50.2000007629395,49.3499984741211,49.5499992370605,345564,47.7668304443359
"258",49.75,50.7999992370605,49.5999984741211,50.0999984741211,562962,48.2970390319824
"259",50.2999992370605,50.5499992370605,49.5,49.8499984741211,257293,48.056037902832
"260",49.8499984741211,50.0499992370605,48.9000015258789,49.1500015258789,320340,47.381233215332
"261",49.5,49.5999984741211,48.5,48.6500015258789,461393,46.8992233276367
"262",48.4000015258789,48.4500007629395,47.4000015258789,47.9000015258789,374530,46.1762161254883
"263",48.2000007629395,48.7000007629395,47.7000007629395,47.9500007629395,474316,46.224422454834
"264",47.5999984741211,47.9000015258789,47,47.2000007629395,283628,45.501407623291
"265",47.25,47.7000007629395,45.9000015258789,46.25,441874,44.5855941772461
"266",46.0999984741211,46.2000007629395,45,45.5,305820,43.8625831604004
