"","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
"830",1320.30004882812,1334.94995117188,1320.30004882812,1329.40002441406,5017129,1211.82006835938
"831",1338,1344.59997558594,1329.5,1340,5620150,1221.48254394531
"832",1342,1357.44995117188,1333.25,1337,4435878,1218.74792480469
"833",1348.40002441406,1349.09997558594,1335,1339.30004882812,4490092,1220.84448242188
"834",1347.5,1357.5,1346.34997558594,1354.5,4969733,1234.69995117188
"835",1356.65002441406,1363,1345.09997558594,1348.05004882812,4225371,1228.82055664062
"836",1358,1368,1354.44995117188,1361.59997558594,4099340,1241.17199707031
"837",1367.90002441406,1400,1362.05004882812,1397.25,6850024,1273.6689453125
"838",1404.19995117188,1416.25,1391.69995117188,1402.25,15365391,1278.2265625
"839",1409.75,1414,1396.09997558594,1405.05004882812,4261312,1280.77905273438
"840",1401.5,1401.5,1383,1393.75,4429904,1284.18823242188
"841",1400,1401,1378.65002441406,1387.19995117188,4791325,1278.15319824219
"842",1380.75,1391.94995117188,1365,1378.65002441406,9272276,1270.275390625
"843",1388.09997558594,1399,1377.05004882812,1389.65002441406,5115645,1280.41064453125
"844",1393.94995117188,1396.90002441406,1377.65002441406,1385.65002441406,4194328,1276.72509765625
"845",1391,1392,1377.30004882812,1389.65002441406,5154576,1280.41064453125
"846",1396,1421.75,1395.55004882812,1412.94995117188,7360630,1301.87890625
"847",1413.40002441406,1425,1404.59997558594,1415.30004882812,5394317,1304.04418945312
"848",1424,1429,1419,1424.30004882812,3496575,1312.3369140625
"849",1430.09997558594,1451.59997558594,1429.44995117188,1446.90002441406,6140828,1333.16027832031
"850",1471,1477,1453.44995117188,1461.80004882812,7132294,1346.88903808594
"851",1464,1476,1463,1473.90002441406,5403104,1358.03784179688
"852",1472.69995117188,1489.44995117188,1467.5,1480.59997558594,7661710,1364.2109375
"853",1475.09997558594,1502.65002441406,1475.09997558594,1495.30004882812,7677951,1377.75549316406
"854",1509,1515.80004882812,1487.40002441406,1503.30004882812,13533974,1385.12658691406
"855",1493,1505.80004882812,1484.19995117188,1500.30004882812,5454052,1382.36254882812
"856",1509.69995117188,1521.44995117188,1502.09997558594,1511.84997558594,6427862,1393.00427246094
