"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"85",1865,1902,1856.05004882812,1895.44995117188,485519,1857.43237304688
"86",1898.5,1898.5,1860,1868.40002441406,669757,1830.92504882812
"87",1875.09997558594,1875.09997558594,1845,1849.09997558594,645553,1812.01208496094
"88",1852,1861.44995117188,1818,1837.40002441406,588792,1800.546875
"89",1845,1880.75,1828.09997558594,1861.5,483249,1824.16345214844
"90",1863.09997558594,1883.94995117188,1842.94995117188,1864.5,642971,1827.10327148438
"91",1865.25,1933.5,1854.5,1901.94995117188,1570302,1863.80212402344
"92",1892.5,1929,1872.90002441406,1919.94995117188,952836,1881.44104003906
"93",1930,2087.80004882812,1906.09997558594,2066.5,5581203,2025.0517578125
"94",2069.89990234375,2171.75,2065.64990234375,2149.64990234375,8316734,2106.53369140625
"95",2125,2149,2080.55004882812,2105.44995117188,2376823,2063.220703125
"96",2111,2177.89990234375,2110,2149.30004882812,1963373,2106.19091796875
"97",2148,2148,2066.19995117188,2078.39990234375,1443827,2036.712890625
"98",2095.5,2109.80004882812,2068,2094.75,840932,2052.7353515625
"99",2107,2151.89990234375,2103.5,2116,1342145,2073.55932617188
"100",2125,2138,2086.25,2094.94995117188,806190,2052.93115234375
"101",2105,2107,2065.05004882812,2077.10009765625,727259,2035.43957519531
"102",2063.30004882812,2130,2056.25,2118.64990234375,1251508,2076.15576171875
"103",2142.5,2145,2101,2109.89990234375,1323397,2067.58081054688
"104",2120,2120,2065.80004882812,2077.39990234375,604574,2035.73303222656
"105",2090.19995117188,2098.75,2055.30004882812,2062.85009765625,513152,2021.47485351562
"106",2065,2119.55004882812,2055,2100.60009765625,816879,2058.46801757812
"107",2122,2172.89990234375,2107,2160.64990234375,1802977,2117.3134765625
"108",2172,2197.19995117188,2160.14990234375,2169.44995117188,1489413,2125.93701171875
"109",2164.89990234375,2219.94995117188,2147.05004882812,2186.85009765625,3039595,2142.98828125
"110",2210,2258.5,2196.19995117188,2250.30004882812,2059581,2205.16552734375
"111",2255,2277,2236,2261.25,1655167,2215.89599609375
"112",2270,2271.60009765625,2225.69995117188,2231.05004882812,1095372,2186.30151367188
"113",2235,2252,2197,2243.25,1321341,2198.25659179688
"114",2250,2291.55004882812,2231.10009765625,2283.60009765625,1637500,2237.79760742188
"115",2272,2296,2234.19995117188,2243.14990234375,1126877,2198.15869140625
"116",2235,2281,2227.05004882812,2270.60009765625,1151582,2225.05834960938
"117",2274.94995117188,2302.10009765625,2261.14990234375,2267.80004882812,1127273,2222.314453125
"118",2277,2288,2250.10009765625,2257.44995117188,717023,2212.17236328125
"119",2267,2342,2250.55004882812,2336.05004882812,1714224,2289.1953125
"120",2342,2399,2334,2390.60009765625,2393535,2342.6513671875
"121",2385,2419.14990234375,2344.55004882812,2367.35009765625,2337942,2319.86743164062
"122",2379.80004882812,2379.80004882812,2322.55004882812,2335.5,1069126,2288.65649414062
"123",2337,2348,2253.80004882812,2274.69995117188,1713003,2229.07568359375
"124",2282.10009765625,2320,2270.60009765625,2296.35009765625,1378421,2250.29174804688
"125",2300,2314.69995117188,2281.10009765625,2299.55004882812,840376,2253.427734375
"126",2305,2334,2285.75,2321.10009765625,810667,2274.54541015625
"127",2333,2345,2306.55004882812,2331.39990234375,916379,2284.638671875
"128",2339,2349,2322.39990234375,2330.14990234375,688785,2287.33813476562
"129",2338.80004882812,2355,2324,2345.69995117188,690617,2302.60229492188
"130",2359,2363.19995117188,2337,2348.05004882812,551695,2304.90942382812
"131",2360,2382,2350,2366.35009765625,784134,2322.873046875
"132",2365.89990234375,2382,2345,2355.60009765625,594805,2312.3203125
"133",2375,2429,2360.35009765625,2415,1396150,2370.62915039062
"134",2433.85009765625,2475,2422.19995117188,2468.60009765625,1390485,2423.24462890625
"135",2475,2499.39990234375,2460,2472.30004882812,1172644,2426.87646484375
"136",2475,2492.25,2435.60009765625,2469.14990234375,944686,2423.7841796875
"137",2478.19995117188,2523.05004882812,2471.35009765625,2488.75,1405478,2443.02416992188
"138",2503.89990234375,2537,2357.5,2520.19995117188,4889817,2473.89624023438
"139",2521,2745,2486.85009765625,2721.35009765625,7361274,2671.35083007812
"140",2720,2797,2717,2755.80004882812,3551888,2705.16748046875
"141",2749,2758,2687.25,2713.35009765625,2778837,2663.49780273438
"142",2727,2778.30004882812,2692,2705.05004882812,1884105,2655.35009765625
"143",2695,2728.39990234375,2654.80004882812,2681.64990234375,2185905,2632.38012695312
