"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"333",2929.89990234375,2957.94995117188,2906,2931.85009765625,1356229,2877.98315429688
"334",2927.94995117188,2941.94995117188,2848.10009765625,2881.85009765625,1861760,2828.90185546875
"335",2921,3023.25,2870.80004882812,3002.75,2453670,2947.58032226562
"336",3014,3129,3010.25,3110.05004882812,3644672,3052.90893554688
"337",3137,3316,3122.05004882812,3301.10009765625,5848716,3240.44897460938
"338",3390,3444.55004882812,3343,3407.55004882812,2724859,3344.94287109375
"339",3418.05004882812,3488,3375,3433.30004882812,2884997,3370.22021484375
"340",3442,3459.55004882812,3398.05004882812,3448.89990234375,1566812,3385.53295898438
"341",3495,3518,3355.64990234375,3377.75,2406205,3315.69018554688
"342",3400,3475,3391.30004882812,3467.89990234375,1568523,3404.18408203125
"343",3480,3484.94995117188,3440,3449,932000,3385.6318359375
"344",3468,3468.14990234375,3386.75,3409.80004882812,1627768,3347.15161132812
"345",3403,3433,3384.5,3409.25,921278,3346.61206054688
"346",3408.89990234375,3489.69995117188,3400.05004882812,3481.64990234375,1175111,3417.68139648438
"347",3497.44995117188,3531,3448.69995117188,3467.10009765625,2172866,3403.39892578125
"348",3460,3529.89990234375,3460,3511.05004882812,1241133,3446.54150390625
"349",3514.5,3550,3509.55004882812,3531.14990234375,1051400,3466.27221679688
"350",3533,3533,3445.44995117188,3452.94995117188,1314916,3389.5087890625
