"","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
"1170",1065.69995117188,1081.19995117188,1050.84997558594,1065.65002441406,1219450,1039.58752441406
"1171",1070.94995117188,1104.90002441406,1069,1098.69995117188,2343041,1071.82922363281
"1172",1101,1117.69995117188,1087.65002441406,1097.15002441406,3450534,1070.31713867188
"1173",1100.55004882812,1121.65002441406,1088.09997558594,1115.84997558594,2093772,1088.55981445312
"1174",1119.75,1128,1105.05004882812,1114.94995117188,1834565,1087.68176269531
"1175",1116.80004882812,1144.90002441406,1115,1130.75,2601710,1103.09533691406
"1176",1138.84997558594,1147.5,1133,1144.65002441406,1911413,1116.65551757812
"1177",1150.40002441406,1150.40002441406,1124,1134.44995117188,1561938,1106.70471191406
"1178",1135,1147.19995117188,1129.05004882812,1130.5,1182984,1102.85144042969
"1179",1110,1131.5,1110,1118.84997558594,1583891,1091.486328125
"1180",1121.80004882812,1127.15002441406,1103.80004882812,1110.09997558594,1538943,1082.95031738281
"1181",1111.59997558594,1118.05004882812,1099.19995117188,1108.44995117188,1231143,1081.34069824219
"1182",1108.40002441406,1127.84997558594,1101.09997558594,1103.65002441406,1438932,1076.658203125
"1183",1115.09997558594,1120,1105.40002441406,1108.90002441406,1131139,1081.77978515625
"1184",1108,1113.05004882812,1098.80004882812,1108.15002441406,1076392,1081.04809570312
"1185",1113.69995117188,1130.19995117188,1110.30004882812,1125.84997558594,960283,1098.31518554688
"1186",1131.5,1145,1119.09997558594,1122,1300144,1094.55932617188
"1187",1122,1142,1117,1136.80004882812,1633570,1108.99755859375
"1188",1136.80004882812,1148,1132.5,1134.75,1349759,1106.99755859375
"1189",1145.59997558594,1150,1141.55004882812,1146.90002441406,129688,1118.8505859375
"1190",1147,1164.84997558594,1146.90002441406,1155.90002441406,2210622,1127.63037109375
"1191",1169.94995117188,1180.09997558594,1156.30004882812,1165.90002441406,2359658,1137.3857421875
"1192",1169,1171.80004882812,1151,1155.19995117188,1087865,1126.94738769531
"1193",1161,1177.84997558594,1159.05004882812,1167.40002441406,1554670,1138.84912109375
"1194",1167.5,1185.25,1163.59997558594,1173.40002441406,1491658,1144.70227050781
"1195",1173.55004882812,1178.40002441406,1156.19995117188,1159.25,1479828,1130.89831542969
"1196",1152.19995117188,1176,1151.09997558594,1163.09997558594,1992697,1134.65417480469
"1197",1167.84997558594,1175.25,1141,1146.09997558594,1712836,1118.06994628906
"1198",1146.09997558594,1152,1116.5,1130.90002441406,2006468,1103.24169921875
"1199",1141.09997558594,1154.94995117188,1125,1129.40002441406,2068940,1101.77844238281
"1200",1130,1152,1119,1122.30004882812,2028565,1094.85205078125
"1201",1130,1143.84997558594,1116.65002441406,1121.40002441406,1513809,1093.97412109375
"1202",1124.5,1133.59997558594,1118.19995117188,1129.5,1501491,1101.8759765625
"1203",1134.94995117188,1134.94995117188,1110.84997558594,1118.75,1262746,1091.38891601562
"1204",1120.94995117188,1136.44995117188,1117.25,1121.19995117188,1649021,1093.77880859375
"1205",1125,1132.44995117188,1116.44995117188,1119.5,1270387,1092.12060546875
"1206",1124,1127.05004882812,1099.44995117188,1102.40002441406,1486381,1075.43872070312
"1207",1104.94995117188,1108.19995117188,1093.75,1104.44995117188,1488424,1077.4384765625
"1208",1107.44995117188,1109.69995117188,1097.19995117188,1104.09997558594,1302811,1077.09716796875
"1209",1108.90002441406,1124.55004882812,1098.65002441406,1108,2192276,1080.90185546875
"1210",1113.55004882812,1117.65002441406,1092.40002441406,1095.34997558594,2933085,1068.56115722656
"1211",1093.05004882812,1107,1078.5,1105.34997558594,1454838,1078.31652832031
"1212",1100,1110,1094.09997558594,1101.75,673339,1074.8046875
"1213",1106,1125.84997558594,1105,1121.15002441406,1899345,1093.73034667969
"1214",1121.15002441406,1149,1120,1139.65002441406,2680903,1111.77770996094
"1215",1145,1145.19995117188,1117,1124.90002441406,1360439,1097.38842773438
"1216",1124.90002441406,1124.90002441406,1099,1114.34997558594,2586376,1087.09643554688
"1217",1114.34997558594,1122.55004882812,1108.15002441406,1115.34997558594,1236554,1088.07202148438
"1218",1115,1117.80004882812,1103.40002441406,1109.59997558594,1180968,1082.46264648438
"1219",1111,1122.65002441406,1103.40002441406,1105.30004882812,1031921,1078.26794433594
"1220",1109.19995117188,1113,1103.15002441406,1107.5,808315,1080.41394042969
"1221",1115,1115.84997558594,1101.09997558594,1107.90002441406,994866,1080.80419921875
"1222",1105,1110,1093.09997558594,1096.80004882812,1544297,1069.97583007812
"1223",1096.94995117188,1112.5,1088.19995117188,1109.90002441406,1282727,1082.75537109375
"1224",1114,1119,1106.15002441406,1112.69995117188,1013627,1085.48681640625
"1225",1111.19995117188,1118.09997558594,1099.34997558594,1101.80004882812,710477,1074.85339355469
"1226",1096.30004882812,1108,1086.09997558594,1089.40002441406,1309491,1062.75671386719
"1227",1090.34997558594,1100.5,1084.44995117188,1096.65002441406,779326,1069.82946777344
"1228",1096,1097.40002441406,1088.44995117188,1091.15002441406,795748,1064.4638671875
"1229",1096.09997558594,1130,1085.65002441406,1128,3224730,1100.41259765625
"1230",1135,1147.34997558594,1117.05004882812,1122.44995117188,2070809,1094.99829101562
"1231",1121,1146.94995117188,1113.19995117188,1119.15002441406,2773210,1091.77905273438
"1232",1127,1135,1094,1096.5,1279529,1069.68310546875
"1233",1094.05004882812,1104.90002441406,1090.09997558594,1095.84997558594,1209316,1069.048828125
"1234",1094,1103.15002441406,1084.09997558594,1085.80004882812,872940,1059.24475097656
"1235",1086,1098,1070,1087.55004882812,1625961,1060.95190429688
"1236",1094.94995117188,1095,1073.5,1075.94995117188,1185711,1049.63549804688
"1237",1080.25,1082,1063.84997558594,1070.94995117188,895053,1044.7578125
"1238",1070.05004882812,1080.94995117188,1066.40002441406,1075.90002441406,952230,1049.5869140625
"1239",1078.94995117188,1081.94995117188,1063.94995117188,1066.90002441406,1369415,1040.80712890625
"1240",1075,1093.19995117188,1067.40002441406,1088.34997558594,1605744,1061.732421875
"1241",1088.34997558594,1093.09997558594,1073.5,1076.34997558594,824772,1050.02575683594
"1242",1081.75,1096.94995117188,1076.90002441406,1087.44995117188,893437,1060.85424804688
"1243",1086.5,1090.25,1074.84997558594,1078.69995117188,594426,1052.31823730469
"1244",1078.69995117188,1083.94995117188,1043,1047.59997558594,2168577,1021.97894287109
"1245",1052.80004882812,1064.09997558594,1043.15002441406,1061.15002441406,1188988,1035.19763183594
"1246",1064,1070.59997558594,1053.25,1067.75,1089004,1041.63610839844
"1247",1070.5,1074.69995117188,1051,1059.59997558594,825308,1033.68542480469
"1248",1062.80004882812,1071.09997558594,1053.34997558594,1069.09997558594,762941,1042.953125
"1249",1068.90002441406,1072,1059.34997558594,1063.40002441406,1299797,1037.392578125
"1250",1063.5,1069.59997558594,1058.55004882812,1064.84997558594,376954,1038.80700683594
"1251",1067,1067,1050.44995117188,1053.44995117188,954230,1027.68591308594
"1252",1053.40002441406,1064.25,1050.69995117188,1062.55004882812,750581,1036.56335449219
"1253",1065,1074.90002441406,1055.05004882812,1062.15002441406,712627,1036.17309570312
"1254",1064.90002441406,1068.25,1020,1035.25,2226483,1009.93096923828
"1255",1023.25,1072.94995117188,1023.25,1047.25,2947920,1021.63757324219
"1256",1057,1057,1028.5,1034.40002441406,2118395,1009.10180664062
"1257",1043,1043,1007.5,1017.95001220703,2705095,993.054138183594
"1258",1019,1035.90002441406,1015.09997558594,1032.05004882812,1598213,1006.80932617188
"1259",1026.09997558594,1032.80004882812,1017.29998779297,1025.30004882812,1291262,1000.22442626953
"1260",1022,1027.80004882812,1010.5,1022.29998779297,1617105,997.297729492188
"1261",1020,1033.59997558594,1010.15002441406,1029.80004882812,979035,1004.61431884766
"1262",1029.80004882812,1034.84997558594,1021.29998779297,1031.30004882812,965322,1006.07769775391
"1263",1035,1041.19995117188,1019.15002441406,1039.09997558594,746863,1013.68682861328
"1264",1025.30004882812,1044.59997558594,1020,1021.5,1331902,996.517272949219
"1265",1021,1036.84997558594,1015.04998779297,1033.19995117188,1106858,1007.93109130859
"1266",1036,1040.59997558594,1019,1021.95001220703,1042379,996.956359863281
"1267",1026.69995117188,1032.44995117188,1017.59997558594,1028.34997558594,759416,1003.19976806641
"1268",1026.84997558594,1033.44995117188,1016.09997558594,1030.80004882812,662924,1005.58990478516
"1269",1031.75,1038,1028.34997558594,1035.5,667265,1010.17486572266
"1270",1035.5,1035.75,1021.15002441406,1025.75,1509783,1000.66339111328
"1271",998,998,955.25,964,5829572,940.423522949219
"1272",969.799987792969,979.099975585938,963.5,965.950012207031,2042234,942.325866699219
"1273",966.599975585938,972.799987792969,959.049987792969,962.549987792969,1602953,939.009033203125
"1274",965,967.450012207031,956,960.299987792969,1216409,936.814025878906
"1275",961.099975585938,966,955,961.799987792969,1585383,938.277404785156
"1276",965.599975585938,968.599975585938,948.650024414062,950.200012207031,1377270,926.961059570312
"1277",945.900024414062,945.900024414062,903.099975585938,906.400024414062,5380673,884.232238769531
"1278",907.799987792969,910.25,896,899.599975585938,3496231,877.598571777344
"1279",901.950012207031,903,884.5,886.450012207031,1887367,864.770202636719
"1280",891,892,877,878.650024414062,1892639,857.160949707031
"1281",885,885.549987792969,869.049987792969,880.900024414062,4090356,859.35595703125
"1282",883.700012207031,883.799987792969,871.099975585938,877.25,2933956,855.795227050781
"1283",877.25,896.849975585938,877,881.75,6176157,860.185180664062
"1284",879.150024414062,884.599975585938,871.299987792969,881.200012207031,1718841,859.648620605469
"1285",882.599975585938,889.099975585938,872.150024414062,874.799987792969,1697362,853.405090332031
"1286",873,883.700012207031,853.849975585938,872.049987792969,2444217,850.722412109375
"1287",875,883.400024414062,872.599975585938,877.950012207031,1286900,856.478088378906
"1288",881,890,876.75,883.450012207031,2023997,861.843627929688
"1289",887.349975585938,888.400024414062,870,874.049987792969,2205087,852.673461914062
"1290",874.049987792969,876.900024414062,861.799987792969,866.700012207031,997827,845.503234863281
"1291",866.799987792969,872.400024414062,860.599975585938,862.349975585938,888443,841.259582519531
"1292",864,866,852,863.400024414062,1622488,842.283996582031
"1293",868,870.900024414062,861.25,869.099975585938,1865868,847.844482421875
"1294",869.099975585938,879,866.150024414062,877.25,3166046,855.795227050781
"1295",881.049987792969,891.349975585938,876.049987792969,889.299987792969,3986238,867.550476074219
"1296",891.799987792969,894.25,886.400024414062,889.5,3623017,867.745666503906
"1297",893.950012207031,896.599975585938,885.349975585938,887.700012207031,3049688,865.989685058594
"1298",888.799987792969,902.700012207031,886.700012207031,900.5,2320879,878.476623535156
"1299",910,910,887.049987792969,891.450012207031,2623264,869.64794921875
"1300",889,897.349975585938,886.299987792969,895.75,1612376,873.8427734375
"1301",899,899.75,889,893.349975585938,1512783,871.501403808594
"1302",896.950012207031,904.5,894.200012207031,901.849975585938,919722,879.793518066406
"1303",905,908.150024414062,902,907.150024414062,1778775,884.963989257812
