"","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
"250",1045,1067.40002441406,1035.19995117188,1062.69995117188,664139,1028.111328125
"251",1066,1073.94995117188,1058.69995117188,1062.05004882812,221617,1027.48266601562
"252",1062,1067,1050,1052.30004882812,234628,1018.04998779297
"253",1053.90002441406,1064.34997558594,1046.5,1053.55004882812,493735,1019.25933837891
"254",1058,1075,1052,1071.05004882812,355342,1036.18981933594
"255",1074.09997558594,1075,1051.84997558594,1057.84997558594,310999,1023.41943359375
"256",1052.09997558594,1065.44995117188,1039.80004882812,1054.09997558594,311359,1019.79144287109
"257",1062.5,1072.44995117188,1057,1063.05004882812,273505,1028.45007324219
"258",1071,1071,1050.05004882812,1060.55004882812,240413,1026.03149414062
"259",1060,1069.80004882812,1052,1064.80004882812,499832,1030.14306640625
"260",1067.94995117188,1067.94995117188,1050,1054.75,117785,1020.42028808594
"261",1054.69995117188,1058.69995117188,1040,1044.80004882812,172091,1010.79412841797
"262",1040,1059.90002441406,1037,1049.5,404084,1015.34100341797
"263",1045.15002441406,1053.65002441406,1042.05004882812,1045,183900,1010.98773193359
"264",1044,1054.15002441406,1017.04998779297,1027.94995117188,361633,994.492553710938
"265",1027,1045,1019.5,1029.75,213256,996.234008789062
"266",1025.80004882812,1025.80004882812,977.599975585938,991.450012207031,319557,965.745483398438
"267",982,1016.45001220703,982,1011.95001220703,369442,985.713989257812
"268",1019,1020.54998779297,999,1013.45001220703,191122,987.174987792969
"269",1016.09997558594,1034.80004882812,1003.75,1030.09997558594,281070,1003.39331054688
"270",1031,1044.40002441406,1020.29998779297,1031.09997558594,236484,1004.36737060547
"271",1025,1037.44995117188,1010.84997558594,1023.29998779297,284828,996.769653320312
"272",1024,1032,990,994.599975585938,525443,968.813781738281
"273",995.599975585938,1030.84997558594,990,1020.54998779297,1126560,994.091003417969
"274",1045,1098.5,1025,1047.59997558594,2395193,1020.43951416016
"275",1052.84997558594,1063.19995117188,1026.80004882812,1030.80004882812,398951,1004.07531738281
"276",1025.5,1040,991,1029.80004882812,635815,1003.10125732422
"277",1036.80004882812,1048.59997558594,1005,1012.79998779297,356646,986.541931152344
"278",978,991.950012207031,975.549987792969,986.049987792969,449220,960.485412597656
"279",983.5,986.049987792969,953.75,962.049987792969,587397,937.107666015625
"280",963.799987792969,970.799987792969,941.25,944.099975585938,407717,919.623107910156
"281",939.25,959.900024414062,935.700012207031,944.799987792969,437163,920.304931640625
"282",950,969.700012207031,946.900024414062,966.599975585938,500969,941.539672851562
"283",967,991,944.5,986.450012207031,911063,960.875122070312
"284",984,999.400024414062,971.650024414062,991.799987792969,694507,966.08642578125
"285",995,1000.70001220703,981,988.950012207031,168772,963.310241699219
"286",979.099975585938,992,965.400024414062,987.25,295070,961.654296875
"287",988.599975585938,1007,973.549987792969,979.049987792969,267880,953.666931152344
"288",984,1000,967.849975585938,991.950012207031,608361,966.232482910156
"289",993,1019.90002441406,992.25,1009.34997558594,529219,983.181335449219
"290",1005.65002441406,1036.40002441406,998.5,1030.5,408925,1003.783203125
"291",1037,1048.84997558594,1013.65002441406,1019.20001220703,449830,992.776062011719
"292",1019.70001220703,1034.15002441406,1012.40002441406,1021.40002441406,492886,994.919006347656
"293",1021,1030,1010.90002441406,1023.84997558594,268068,997.305358886719
"294",1023,1062,1023,1056.34997558594,685622,1028.96264648438
"295",1064,1066,1050.40002441406,1053.34997558594,524805,1026.04040527344
"296",1053.34997558594,1069,1045.05004882812,1053.75,822845,1026.43017578125
"297",1057,1062.09997558594,1034,1036.84997558594,241927,1009.96832275391
"298",1035,1045,1031.44995117188,1035.84997558594,245333,1008.99438476562
"299",1037,1046.84997558594,1025.19995117188,1036.25,328403,1009.38409423828
"300",1036,1057.44995117188,1018.09997558594,1049.30004882812,584669,1022.09564208984
"301",1054.94995117188,1080,1041.65002441406,1061.69995117188,963346,1034.17395019531
"302",1059.15002441406,1067.69995117188,1043,1049.05004882812,442438,1021.85211181641
"303",1039.09997558594,1057.80004882812,1035,1048.84997558594,216225,1021.65740966797
"304",1043.59997558594,1065,1043.59997558594,1057.55004882812,322123,1030.1318359375
"305",1065,1085.65002441406,1058.5,1064.75,973202,1037.14501953125
"306",1065.30004882812,1094.40002441406,1064.75,1088.05004882812,942506,1059.84094238281
"307",1132,1144.19995117188,1124.55004882812,1131.30004882812,574313,1101.9697265625
"308",1139,1139,1118.15002441406,1131.19995117188,391757,1101.87219238281
"309",1130,1174.80004882812,1127.55004882812,1160.80004882812,1557720,1130.705078125
"310",1165.90002441406,1165.90002441406,1136.15002441406,1141.34997558594,446671,1111.75903320312
"311",1136.5,1160,1129.25,1146.90002441406,431903,1117.16516113281
