"","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
"923",419,419.549987792969,397,410.049987792969,21272633,401.368804931641
"924",405.200012207031,420.899993896484,405,410.850006103516,17273596,402.15185546875
"925",412.899993896484,420.799987792969,408.149993896484,417.200012207031,12248397,408.367431640625
"926",419,422.850006103516,411.149993896484,417.200012207031,11265711,408.367431640625
"927",417.200012207031,431.649993896484,414.549987792969,424.399993896484,13898131,415.414947509766
"928",421.5,423.75,413.450012207031,415.649993896484,6736683,406.850219726562
"929",415.850006103516,419.450012207031,406.350006103516,408.100006103516,7205982,399.460083007812
"930",414.149993896484,428.899993896484,414.149993896484,422.600006103516,16871779,413.653076171875
"931",423.950012207031,425.399993896484,412.5,415.850006103516,7456612,407.046020507812
"932",418,437.899993896484,416,424.850006103516,13587772,415.85546875
"933",426.299987792969,432.350006103516,419.549987792969,429,9631321,419.917602539062
"934",431.799987792969,435.799987792969,426,427.5,6351171,418.449340820312
"935",430.5,444.799987792969,429.399993896484,434.899993896484,12094977,425.692687988281
"936",429.299987792969,449.700012207031,429,441.75,8330640,432.397644042969
"937",443,444.950012207031,410.299987792969,414.450012207031,8662895,405.675628662109
"938",416.899993896484,420.399993896484,405.299987792969,412.950012207031,9537787,404.207397460938
"939",415,417,398.149993896484,407.100006103516,10677501,398.481292724609
"940",411,418.5,406.799987792969,413.649993896484,8070605,404.892578125
"941",414.899993896484,414.899993896484,391.5,401.149993896484,7158126,392.657196044922
"942",403,417.149993896484,402.350006103516,415.850006103516,5111958,407.046020507812
"943",415.799987792969,422.700012207031,412,414.399993896484,6585855,405.626678466797
"944",414.5,415,394.200012207031,396.549987792969,7192680,388.154571533203
"945",402.899993896484,409.799987792969,388.200012207031,398.600006103516,15011614,390.161224365234
"946",404.350006103516,415,403.049987792969,408.850006103516,12418986,400.194183349609
"947",412,431.899993896484,411.149993896484,430.049987792969,19028658,420.945373535156
"948",431.850006103516,434.799987792969,422.299987792969,429.649993896484,11101084,420.553833007812
"949",429.649993896484,429.649993896484,429.649993896484,429.649993896484,0,420.553833007812
"950",435.149993896484,444,427.700012207031,442.200012207031,7938150,432.838165283203
"951",442.350006103516,442.350006103516,433.049987792969,437.399993896484,5558139,428.139739990234
"952",434.950012207031,438.799987792969,430,434.5,4563617,425.301177978516
"953",434.5,438.049987792969,414.200012207031,416,8079167,407.192810058594
"954",418.5,429.200012207031,418.350006103516,428.350006103516,5871736,419.281372070312
"955",430.5,431.399993896484,420.25,424.049987792969,3385226,415.072387695312
"956",425.100006103516,431.600006103516,421.75,423.799987792969,4307994,414.827667236328
"957",421.450012207031,426.649993896484,415.600006103516,417.950012207031,3311849,409.1015625
"958",417,422.049987792969,405.299987792969,415.899993896484,6773134,407.094909667969
"959",417.100006103516,417.5,394.299987792969,400.450012207031,5824237,391.972045898438
"960",399.850006103516,410.399993896484,396.649993896484,407.950012207031,5107281,399.313262939453
"961",409.950012207031,412.700012207031,401,403.5,3762561,394.957427978516
"962",405,408.600006103516,399,407.25,4585718,398.628051757812
"963",400.049987792969,401.799987792969,375,376.850006103516,11874170,368.871673583984
"964",376.149993896484,383.299987792969,363.100006103516,374.850006103516,9038035,366.914031982422
"965",378,390.75,372,374.799987792969,9984396,366.865051269531
"966",380,385.799987792969,375.350006103516,383.100006103516,7479832,374.989379882812
"967",382.950012207031,387,377.600006103516,385.049987792969,4819894,376.898071289062
"968",385,389.75,382.850006103516,386.200012207031,4410427,378.023742675781
"969",386.200012207031,390.5,375,376.5,6437207,368.529113769531
"970",380.200012207031,393,378.899993896484,391.200012207031,5299980,382.917846679688
"971",395.100006103516,398.799987792969,393,397.700012207031,4391196,389.280303955078
"972",398,401,392.5,398.600006103516,3237488,390.161224365234
"973",398,422,395.649993896484,419.100006103516,13250517,410.227203369141
"974",420.950012207031,423.5,412.299987792969,414.200012207031,6510329,405.430938720703
"975",410.25,420.549987792969,405.399993896484,417,5058088,408.171661376953
"976",416.5,418.350006103516,408.649993896484,411,3224926,402.298706054688
"977",413,414.549987792969,403,405.149993896484,4319280,396.572540283203
"978",404.399993896484,406.899993896484,389.049987792969,390.200012207031,4920357,381.939025878906
"979",384.25,385.649993896484,361.549987792969,366.700012207031,8769978,358.936553955078
"980",372,381.350006103516,368.75,372.899993896484,5075432,365.005279541016
"981",377,380.5,372,377.25,3998066,369.26318359375
"982",381.399993896484,388.899993896484,380.25,383.700012207031,5739918,375.57666015625
"983",386.799987792969,386.799987792969,375.299987792969,379.600006103516,4499625,371.563446044922
"984",378.25,384.399993896484,369.149993896484,382.600006103516,4183245,374.499908447266
"985",385.600006103516,390,383,385.799987792969,3818062,377.632171630859
"986",386.100006103516,389,381.200012207031,385.700012207031,3119708,377.534332275391
"987",382.700012207031,385.25,377.100006103516,379.200012207031,2569747,371.171936035156
"988",381.850006103516,391.799987792969,381.5,390.450012207031,3949389,382.183746337891
"989",392,397.75,390.5,394.75,3274712,386.392700195312
"990",396.299987792969,400.5,390.700012207031,394.450012207031,4091503,386.099090576172
"991",394.450012207031,404.149993896484,391.299987792969,402.049987792969,4327617,393.538116455078
"992",399.799987792969,400.850006103516,391,398.950012207031,5282381,390.503784179688
"993",399.899993896484,406.450012207031,396.100006103516,400.600006103516,5075140,392.118835449219
"994",405.149993896484,411.700012207031,405.149993896484,407.950012207031,6298597,399.313262939453
"995",408.5,416,407.549987792969,408.850006103516,4585662,400.194183349609
"996",421,426.799987792969,412,417.549987792969,12818775,408.709991455078
"997",419.799987792969,419.799987792969,409.5,410.799987792969,4584953,402.102874755859
"998",408,419,405.100006103516,417.350006103516,5761279,408.514251708984
"999",417.25,425,413.200012207031,423.799987792969,4584613,414.827667236328
"1000",426.899993896484,429.899993896484,390.75,403.899993896484,9435830,395.348999023438
"1001",403.899993896484,411.850006103516,398.600006103516,408.25,6237382,399.606903076172
"1002",408.399993896484,410.350006103516,403.350006103516,407.850006103516,4572029,399.215362548828
"1003",402.850006103516,405.700012207031,390.399993896484,395.100006103516,6994687,386.735321044922
"1004",394,394.600006103516,365.549987792969,372,7007990,364.124328613281
"1005",369.899993896484,382.700012207031,363.149993896484,380.25,7324240,372.199676513672
"1006",373,377.350006103516,362,374.149993896484,7134303,366.228820800781
"1007",376.5,389.5,376.200012207031,378.350006103516,5280455,370.339904785156
"1008",381.600006103516,392.200012207031,381.600006103516,390.899993896484,4205414,382.624206542969
"1009",394.799987792969,408,385.049987792969,404.799987792969,11931399,396.229919433594
"1010",408,409,397.200012207031,399.549987792969,5265147,391.091064453125
"1011",400.399993896484,409.75,398.75,403.25,8273002,394.712738037109
"1012",405,407.25,396.600006103516,399.5,4128681,391.042175292969
"1013",399.799987792969,401.549987792969,385.399993896484,387.149993896484,4851736,378.953582763672
"1014",388.799987792969,391.899993896484,376.399993896484,384.549987792969,5011220,376.408630371094
"1015",387.5,391.649993896484,385.200012207031,386.350006103516,3351979,378.170562744141
"1016",388.799987792969,394.600006103516,382,391.149993896484,4747069,382.868896484375
"1017",386.5,388.75,377.100006103516,378.600006103516,4872433,370.584655761719
"1018",369.850006103516,371.799987792969,352.399993896484,355.049987792969,7374254,347.533172607422
"1019",358,373.25,347.75,371.549987792969,10050051,363.683868408203
"1020",374.600006103516,376.100006103516,366.5,367.850006103516,6547019,360.062194824219
"1021",370.899993896484,370.899993896484,362.399993896484,365.600006103516,4698952,357.85986328125
"1022",363.5,367,357.649993896484,359.649993896484,3470414,352.035797119141
"1023",356,357.799987792969,344.399993896484,346.5,7926195,339.164245605469
"1024",331,338.350006103516,323.25,324.350006103516,19176808,317.483154296875
"1025",330.149993896484,345.450012207031,328.950012207031,344.200012207031,16434369,336.912933349609
"1026",325.5,339.450012207031,318.049987792969,320.5,15926498,313.714660644531
"1027",335,351.5,330.149993896484,348.799987792969,16385276,341.415496826172
"1028",341.600006103516,352.399993896484,340.100006103516,350.75,8850697,343.324249267578
"1029",346.399993896484,350.5,340.100006103516,346.850006103516,6854294,339.506805419922
"1030",353,354.200012207031,336.5,339.049987792969,7492305,331.871917724609
"1031",334.899993896484,336.350006103516,326.649993896484,327.600006103516,7924031,320.664337158203
"1032",318.450012207031,320.5,306,313.600006103516,11047929,306.960754394531
"1033",314,331.350006103516,312.100006103516,329.600006103516,14780062,322.621978759766
"1034",331.350006103516,342.200012207031,329,339.200012207031,6387930,332.018798828125
"1035",349.100006103516,360.700012207031,346.700012207031,354.649993896484,11010864,347.141662597656
"1036",352.049987792969,356.899993896484,349.149993896484,353.75,3891664,346.260711669922
"1037",353.75,356,341,343.399993896484,10079369,336.129852294922
"1038",347,353.450012207031,335.399993896484,341.149993896484,8151180,333.927459716797
"1039",347.799987792969,356.399993896484,346.5,355.5,6167428,347.973663330078
"1040",358.5,364.950012207031,357.350006103516,363.049987792969,8990234,355.363830566406
"1041",364.950012207031,366,352.799987792969,353.899993896484,4873329,346.407531738281
"1042",353.5,360.850006103516,345.200012207031,358.649993896484,5561409,351.057006835938
