"","ABB.NS.Open","ABB.NS.High","ABB.NS.Low","ABB.NS.Close","ABB.NS.Volume","ABB.NS.Adjusted"
"170",1172.04553222656,1172.04553222656,1135.73120117188,1151.30102539062,62672,1111.19567871094
"171",1162.73999023438,1188.38708496094,1153.0712890625,1176.58483886719,184562,1135.59899902344
"172",1187.47912597656,1249.93981933594,1184.80102539062,1222.794921875,361782,1180.19909667969
"173",1226.10852050781,1267.37072753906,1204.95544433594,1247.12548828125,276319,1203.68212890625
"174",1249.21362304688,1269.59497070312,1231.646484375,1262.37756347656,183730,1218.40295410156
"175",1260.10791015625,1343.630859375,1250.30297851562,1328.78735351562,623557,1282.49938964844
"176",1330.01293945312,1377.2216796875,1283.71215820312,1314.94250488281,465053,1269.13696289062
"177",1309.13220214844,1317.30297851562,1294.92419433594,1308.76904296875,451996,1263.17822265625
"178",1299.59973144531,1324.56579589844,1297.37548828125,1310.35791015625,80784,1264.71179199219
"179",1310.35791015625,1333.462890625,1241.22436523438,1306.63562011719,219937,1261.11926269531
"180",1309.85852050781,1330.96618652344,1204.8193359375,1300.00830078125,160324,1254.72302246094
"181",1305.1376953125,1313.80773925781,1225.60925292969,1260.42565917969,92670,1216.51879882812
"182",1285.52795410156,1316.39514160156,1221.06994628906,1297.37548828125,142041,1252.18200683594
"183",1310.2216796875,1334.55224609375,1288.84155273438,1303.68505859375,117517,1258.27136230469
"184",1313.44458007812,1313.44458007812,1257.65661621094,1292.20068359375,107819,1247.18713378906
"185",1285.07397460938,1302.77722167969,1230.14855957031,1279.89916992188,121238,1235.31408691406
"186",1265.10107421875,1316.34973144531,1244.03881835938,1291.79211425781,65120,1246.79272460938
"187",1298.23791503906,1329.05969238281,1273.63500976562,1291.15661621094,133875,1246.17944335938
"188",1275.54150390625,1289.15930175781,1250.12145996094,1255.47778320312,59713,1211.74365234375
"189",1264.87414550781,1264.87414550781,1210.17565917969,1248.07873535156,113963,1204.6025390625
"190",1249.21362304688,1261.92358398438,1210.76574707031,1251.57397460938,64540,1207.97583007812
"191",1257.29345703125,1260.51635742188,1220.34362792969,1229.69458007812,40339,1186.85852050781
"192",1235.18713378906,1246.48999023438,1212.08215332031,1217.80163574219,49958,1175.3798828125
"193",1202.91271972656,1208.31457519531,1157.61059570312,1171.1376953125,61397,1130.34130859375
"194",1176.17639160156,1206.54418945312,1176.17639160156,1188.16003417969,261569,1146.77075195312
"195",1198.37353515625,1198.37353515625,1165.50903320312,1170.27526855469,65209,1129.50903320312
"196",1171.1376953125,1191.927734375,1166.59838867188,1177.81042480469,127574,1136.78186035156
"197",1192.01843261719,1192.01843261719,1162.05908203125,1166.68920898438,32502,1126.04772949219
"198",1166.68920898438,1178.71838378906,1145.89929199219,1154.43310546875,34032,1114.21850585938
"199",1162.05908203125,1167.68786621094,1126.69799804688,1134.36938476562,38870,1094.85375976562
"200",1134.82336425781,1146.08081054688,1113.12548828125,1130.64721679688,81905,1091.26147460938
"201",1139.36267089844,1148.44128417969,1111.03747558594,1124.56457519531,35498,1085.39074707031
"202",1111.21899414062,1124.79150390625,1094.060546875,1107.49682617188,27218,1068.91735839844
"203",1122.11340332031,1139.36267089844,1093.9697265625,1119.07202148438,32757,1080.08947753906
"204",1120.43383789062,1138.45483398438,1112.30847167969,1117.34704589844,42167,1078.42443847656
"205",1124.927734375,1148.44128417969,1080.35180664062,1096.87487792969,407977,1058.66552734375
