"","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
"967",1361,1385,1335,1379.15002441406,1539592,1357.83081054688
"968",1368.15002441406,1395.94995117188,1368.15002441406,1383.25,1085502,1361.86743164062
"969",1385.5,1395.80004882812,1368.25,1370.44995117188,791805,1349.26513671875
"970",1377.69995117188,1419,1370.05004882812,1410.84997558594,1410645,1389.04064941406
"971",1429,1429.40002441406,1407.19995117188,1417.94995117188,948420,1396.03076171875
"972",1418,1424.65002441406,1382,1389,1065129,1367.52856445312
"973",1389,1398,1376.09997558594,1392.19995117188,887283,1370.67895507812
"974",1381.09997558594,1394.5,1367.19995117188,1370,1124454,1348.822265625
"975",1372,1372.94995117188,1340,1352.44995117188,1322715,1331.54333496094
"976",1350,1364.40002441406,1345,1351.34997558594,766527,1330.46044921875
"977",1359,1370.44995117188,1350.34997558594,1361,822094,1339.96130371094
"978",1355,1360,1313.94995117188,1319.84997558594,1080803,1299.44738769531
"979",1310,1310,1253.40002441406,1289.65002441406,1419970,1269.71423339844
"980",1299,1352,1294.05004882812,1338.69995117188,1669146,1318.00598144531
"981",1352,1375,1345.09997558594,1371.44995117188,967859,1350.24963378906
"982",1375.55004882812,1394,1363.84997558594,1372.80004882812,1260219,1351.57885742188
"983",1384.80004882812,1384.80004882812,1354.19995117188,1361.05004882812,559766,1340.01049804688
"984",1358.80004882812,1377.90002441406,1350.34997558594,1374.69995117188,576867,1353.44934082031
"985",1375,1411.80004882812,1375,1399.84997558594,1138137,1378.21057128906
"986",1390,1405.30004882812,1388,1393.80004882812,405879,1372.25439453125
"987",1395,1398.69995117188,1380,1387.09997558594,669700,1365.65771484375
"988",1376.65002441406,1403,1376.65002441406,1397,386452,1375.40466308594
"989",1400,1419,1396,1406.15002441406,278480,1384.41333007812
"990",1411.75,1413.59997558594,1387.69995117188,1401.30004882812,337682,1379.63830566406
"991",1399.94995117188,1410.94995117188,1392.05004882812,1400.09997558594,473752,1378.45690917969
"992",1390.09997558594,1393.34997558594,1370.30004882812,1386.25,409359,1364.82104492188
"993",1387,1418.94995117188,1360,1368.40002441406,947383,1347.24682617188
"994",1380,1380.25,1349.05004882812,1351.59997558594,525478,1330.70654296875
"995",1349.05004882812,1365,1330.90002441406,1357.84997558594,735871,1336.85998535156
"996",1365,1378,1340,1355.84997558594,806492,1334.89086914062
"997",1360,1364.90002441406,1320.30004882812,1326.90002441406,895685,1306.38842773438
"998",1326.90002441406,1350,1313.25,1344.84997558594,690763,1324.06091308594
"999",1343,1343.94995117188,1321.65002441406,1329.05004882812,434192,1308.50524902344
"1000",1326.34997558594,1341.5,1311,1315.44995117188,423878,1295.11535644531
"1001",1319.80004882812,1332.65002441406,1294,1308.75,1105569,1288.51904296875
"1002",1310,1322,1301,1310.30004882812,760910,1290.04516601562
"1003",1282.09997558594,1306.5,1232.09997558594,1241.55004882812,3375259,1222.35791015625
"1004",1248,1248,1150.30004882812,1179.94995117188,2571377,1161.7099609375
"1005",1170.09997558594,1193.90002441406,1135.05004882812,1184.40002441406,1764518,1166.09118652344
"1006",1175,1179.84997558594,1117,1145.25,2266013,1127.54638671875
"1007",1151,1174.94995117188,1135.65002441406,1142.25,1082194,1124.5927734375
"1008",1148.30004882812,1188,1148.30004882812,1184.40002441406,851868,1166.09118652344
"1009",1195,1199,1167.59997558594,1187.80004882812,1153750,1169.43872070312
"1010",1193,1215,1186.09997558594,1209.94995117188,746085,1191.24621582031
"1011",1215,1218.80004882812,1197.05004882812,1206.65002441406,809138,1187.99731445312
"1012",1208,1222,1201,1209.55004882812,858263,1190.85241699219
"1013",1212.80004882812,1217.65002441406,1185.09997558594,1194.94995117188,1031295,1176.47802734375
"1014",1194.80004882812,1200.59997558594,1175,1186.80004882812,608655,1168.4541015625
"1015",1192.69995117188,1229.55004882812,1187.75,1223.90002441406,613698,1204.98046875
"1016",1229,1229,1199.80004882812,1219.30004882812,704743,1200.45178222656
"1017",1206.5,1207,1165.34997558594,1174.75,1216283,1156.59045410156
"1018",1156,1165,1141.59997558594,1156.05004882812,1094621,1138.17956542969
"1019",1156,1194,1141,1189.80004882812,1325941,1171.40783691406
"1020",1195,1217.5,1180.25,1206.40002441406,623551,1187.75122070312
"1021",1210,1219.30004882812,1192.5,1206.94995117188,846963,1188.29248046875
"1022",1197,1211.44995117188,1191.05004882812,1201.30004882812,632744,1182.73010253906
"1023",1198,1205.84997558594,1179.55004882812,1201.15002441406,578419,1182.58227539062
"1024",1194.40002441406,1208.09997558594,1166.09997558594,1203.44995117188,847355,1184.84655761719
"1025",1207,1217.44995117188,1198.34997558594,1201.25,627290,1182.68078613281
"1026",1150,1180.25,1140.05004882812,1147.40002441406,1658545,1129.66320800781
"1027",1155.30004882812,1191,1152.15002441406,1168.40002441406,1201568,1150.33862304688
"1028",1156.19995117188,1191.80004882812,1118.84997558594,1185.69995117188,1813314,1167.37109375
"1029",1175,1184.19995117188,1137.80004882812,1148.84997558594,1512687,1131.09069824219
"1030",1160.30004882812,1166.19995117188,1088.59997558594,1104.34997558594,1729863,1087.27868652344
"1031",1092,1096.40002441406,1063,1084,1210864,1067.2431640625
"1032",1064,1081,1037.40002441406,1072.05004882812,1596458,1055.47802734375
"1033",1068,1084.65002441406,1040,1075.34997558594,1378391,1058.72705078125
"1034",1079,1111,1076,1092.65002441406,1113825,1075.75952148438
"1035",1115,1134.19995117188,1105.59997558594,1127.69995117188,1520340,1110.267578125
"1036",1120,1122.80004882812,1088.30004882812,1092.59997558594,1395420,1075.71032714844
"1037",1103,1103,1075,1095.69995117188,776057,1078.76232910156
"1038",1099.90002441406,1114.09997558594,1072.59997558594,1082.05004882812,1158265,1065.32336425781
"1039",1098,1138.94995117188,1096,1136.34997558594,1669435,1118.78393554688
"1040",1159.09997558594,1177,1143.65002441406,1147.09997558594,1955444,1129.36779785156
"1041",1148.59997558594,1164.25,1131.05004882812,1137.15002441406,1000399,1119.57153320312
"1042",1139.94995117188,1144,1096,1124.94995117188,1207877,1107.56018066406
"1043",1135,1161.94995117188,1132.09997558594,1141.34997558594,1613189,1123.70654296875
"1044",1135,1152.69995117188,1126.65002441406,1146.15002441406,838633,1128.4326171875
"1045",1150.5,1160,1132.69995117188,1148.55004882812,778720,1130.79565429688
"1046",1148.55004882812,1152.65002441406,1114.34997558594,1130.05004882812,781636,1112.58142089844
"1047",1135,1157.5,1124.05004882812,1153.59997558594,717636,1135.76721191406
"1048",1165,1170,1137,1150.90002441406,1059088,1133.10900878906
"1049",1150.90002441406,1159.94995117188,1145.25,1152.55004882812,547446,1134.73352050781
"1050",1154.19995117188,1176,1153,1173.09997558594,747142,1154.9658203125
