"","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
"571",31.5,31.5,30,30.1000003814697,15845975,28.1786270141602
"572",30.8500003814697,31.5,30.3500003814697,30.5,11702153,28.553092956543
"573",30.75,30.75,28.8500003814697,29,31848464,27.1488418579102
"574",29.1000003814697,29.4500007629395,28.7999992370605,29,13470518,27.1488418579102
"575",29.7999992370605,29.7999992370605,27.6499996185303,28.5,20376200,26.6807594299316
"576",29,29,27.1499996185303,27.2999992370605,36502236,25.5573577880859
"577",27.25,28.6000003814697,27,28.3999996185303,27226330,26.5871410369873
"578",30,31,28.8500003814697,30.2999992370605,53613887,28.3658599853516
"579",31,33.2000007629395,30.5,30.8999996185303,69089712,28.9275588989258
"580",31,31.7999992370605,29.75,31.3999996185303,36969885,29.3956451416016
"581",31.9500007629395,32.0999984741211,30.25,31.2999992370605,33654540,29.3020248413086
"582",31.5,32.8499984741211,30.6000003814697,32.4500007629395,37940322,30.3786182403564
"583",34.1500015258789,34.5999984741211,32.7999992370605,33.25,91642146,31.1275520324707
"584",33.6500015258789,33.9000015258789,32.5499992370605,32.8499984741211,35022500,30.7530841827393
"585",32.5,34.0999984741211,31.8999996185303,33.75,40498597,31.5956344604492
"586",33.75,36,33.5999984741211,35.75,51052291,33.4679679870605
"587",36,36.4500007629395,35.3499984741211,35.75,41541291,33.4679679870605
"588",35.9500007629395,37.5,35.9000015258789,36.9000015258789,45712056,34.544563293457
"589",36.2000007629395,37.1500015258789,35.5999984741211,36.5499992370605,149706283,34.2169036865234
"590",37.5999984741211,40.0499992370605,37.2000007629395,39.4500007629395,64630249,36.9317893981934
"591",41.4500007629395,42.9500007629395,40.5999984741211,42.5499992370605,75507939,39.8339080810547
"592",43.3499984741211,43.75,41.0999984741211,41.7000007629395,70317645,39.0381622314453
"593",41.0999984741211,43.2000007629395,40.2999992370605,42.5,81866339,39.7870941162109
"594",43.9500007629395,44.3499984741211,42.7999992370605,43.9000015258789,55224827,41.0977325439453
"595",44.9000015258789,44.9000015258789,42.2999992370605,42.6500015258789,42629869,39.9275245666504
"596",43,43.7000007629395,42.2000007629395,42.75,34471524,40.0211372375488
"597",42.75,43.5499992370605,42.5,42.7999992370605,19799619,40.0679473876953
"598",42.7999992370605,42.7999992370605,41,41.2000007629395,23571379,38.5700798034668
"599",38,42.1500015258789,37.7999992370605,41.7000007629395,43584191,39.0381622314453
"600",41.7000007629395,43,41.5499992370605,42.4000015258789,32174670,39.6934814453125
"601",43.4500007629395,43.4500007629395,40.2000007629395,41.0499992370605,33914922,38.4296569824219
"602",40.9000015258789,42.2000007629395,40.1500015258789,41.25,30296333,38.6168899536133
"603",41.0999984741211,43.3499984741211,41.0999984741211,42.9500007629395,29310661,40.2083740234375
"604",43.4500007629395,43.9500007629395,42.7999992370605,43.2000007629395,28219723,40.4424133300781
"605",43.7000007629395,43.9000015258789,43,43.6500015258789,21166722,40.8636932373047
"606",43.7000007629395,44.9500007629395,42.9000015258789,44.4500007629395,36865827,41.6126289367676
"607",44.4000015258789,44.6500015258789,42.7000007629395,43.25,40591791,40.4892234802246
"608",43.1500015258789,44.5999984741211,43.0999984741211,44,35938924,41.1913452148438
"609",44.4500007629395,47.4000015258789,44.2999992370605,46.3499984741211,46055970,43.3913383483887
"610",46.4500007629395,47.25,44.4500007629395,44.8499984741211,29327965,41.9870872497559
"611",45.7000007629395,45.8499984741211,44.0999984741211,44.8499984741211,26717326,41.9870872497559
"612",45,46.7000007629395,44.0499992370605,46.0999984741211,28893548,43.157299041748
"613",46.6500015258789,50.7000007629395,45.75,49.7999992370605,112201519,46.6211204528809
"614",50.4500007629395,51.2000007629395,49.3499984741211,49.9000015258789,62701725,46.7147369384766
"615",50.6500015258789,50.9000015258789,49.9000015258789,50.3499984741211,33194342,47.1360054016113
"616",50.3499984741211,51.2000007629395,50,50.8499984741211,25556054,47.6040878295898
"617",50.8499984741211,52.7000007629395,50.7000007629395,52.2000007629395,41927350,48.867919921875
"618",52.4500007629395,53.2000007629395,52.0999984741211,52.5,26268273,49.1487655639648
"619",50.5999984741211,52.4500007629395,49.7000007629395,50.2999992370605,53816347,47.0891990661621
"620",50.9000015258789,51.0999984741211,49.1500015258789,49.6500015258789,23184293,46.4806938171387
