"","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
"1180",157.5,158.587493896484,154.912506103516,156.262496948242,17807162,137.951217651367
"1181",157.837493896484,161.962493896484,157.012496948242,161.662506103516,35288330,142.718414306641
"1182",161.212493896484,162.975006103516,159.9375,160.462493896484,16436903,141.659042358398
"1183",163.5,163.5,158.662506103516,159.487503051758,23365190,140.798309326172
"1184",158.962493896484,161.212493896484,158.25,158.887496948242,9520537,140.268600463867
"1185",159.712493896484,161.25,158.662506103516,159.262496948242,13256574,140.599670410156
"1186",159.75,162.675003051758,159.712493896484,160.425003051758,11595367,141.625946044922
"1187",159.412506103516,163.5,159.262496948242,163.125,16371066,144.009552001953
"1188",161.512496948242,164.175003051758,160.5,162.975006103516,11634491,143.87712097168
"1189",164.850006103516,165.1875,163.949996948242,164.137496948242,1132859,144.903396606445
"1190",164.137496948242,164.550003051758,160.6875,163.875,20622687,144.671661376953
"1191",164.475006103516,168.637496948242,163.012496948242,167.925003051758,24298489,148.247055053711
"1192",167.850006103516,171.75,167.399993896484,170.100006103516,11669879,150.167190551758
"1193",170.962493896484,172.6875,170.024993896484,171.112503051758,11755682,151.06103515625
"1194",172.987503051758,176.925003051758,172.350006103516,176.362503051758,15220278,155.695831298828
"1195",176.362503051758,177.412506103516,174.637496948242,174.975006103516,12884449,154.470932006836
"1196",174.75,175.199996948242,170.024993896484,171.037506103516,9358215,150.994857788086
"1197",171,172.087493896484,168.75,169.612503051758,8059667,149.73681640625
"1198",170.475006103516,173.925003051758,169.800003051758,171,14862038,150.961715698242
"1199",173.25,173.25,163.537506103516,164.0625,22831150,144.837188720703
"1200",162,165.112503051758,160.125,161.175003051758,16217631,142.288055419922
"1201",162,163.387496948242,160.162506103516,160.537506103516,12123886,141.725250244141
"1202",158.212493896484,160.274993896484,157.6875,158.512496948242,18460862,143.284530639648
"1203",157.5,162.375,157.237503051758,162,15258103,146.436996459961
"1204",161.962493896484,163.087493896484,160.087493896484,162.824996948242,9825807,147.182754516602
"1205",162.675003051758,165.337493896484,162.1875,163.725006103516,9449665,147.996292114258
"1206",163.762496948242,164.100006103516,162.637496948242,163.762496948242,5828998,148.030166625977
"1207",163.125,164.625,162.375,164.287506103516,4712051,148.504730224609
"1208",163.875,164.399993896484,162.675003051758,163.350006103516,4366445,147.657318115234
"1209",163.6875,164.100006103516,160.6875,161.362503051758,13510578,145.860733032227
"1210",161.550003051758,165.75,161.324996948242,165.5625,7622243,149.657241821289
"1211",165.5625,165.675003051758,162.449996948242,165.449996948242,10989671,149.555557250977
"1212",164.362503051758,166.649993896484,164.362503051758,165.975006103516,4526153,150.030120849609
"1213",165.975006103516,166.6875,163.912506103516,164.512496948242,6476054,148.708129882812
"1214",164.512496948242,168.712493896484,163.237503051758,168,17317951,151.860610961914
"1215",168,168.637496948242,165.375,166.425003051758,13241961,150.436904907227
"1216",163.912506103516,166.125,163.912506103516,164.850006103516,12880949,149.013198852539
"1217",164.774993896484,166.6875,162.899993896484,166.425003051758,16477957,150.436904907227
"1218",166.162506103516,168.112503051758,164.550003051758,167.625,11299945,151.521636962891
