"","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
"61",52.5999984741211,53.1100006103516,51.2200012207031,52.8600006103516,30959650,47.8706741333008
"62",53.2099990844727,54.5800018310547,52.8300018310547,53.7700004577637,40271890,48.6947860717773
"63",54,54.7000007629395,52.2200012207031,52.5,36101235,47.5446586608887
"64",53.4000015258789,58.0900001525879,53.2000007629395,56.6199989318848,49517280,51.2757759094238
"65",56.9199981689453,57.8899993896484,55.4599990844727,57.1800003051758,85737205,51.7829246520996
"66",57.1699981689453,58.4000015258789,56.1300010681152,57.1699981689453,57597845,51.7738609313965
"67",57.3800010681152,58,56.7999992370605,57.4700012207031,43662660,52.0455474853516
"68",57,57.2000007629395,55.6800003051758,56.1199989318848,35073790,50.8229713439941
"69",55.9599990844727,56.9700012207031,55.310001373291,55.5999984741211,33880745,50.3520545959473
"70",56,57.4000015258789,55.6599998474121,56.7900009155273,40189280,51.4297332763672
