"","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
"559",170,174.949996948242,165.850006103516,171.399993896484,17616485,159.321929931641
"560",169.300003051758,174.600006103516,167.399993896484,170.649993896484,10428942,158.624771118164
"561",175,179.850006103516,170.350006103516,177.300003051758,10104852,164.806182861328
"562",183,183,166.100006103516,167.5,12629035,155.696762084961
"563",164,164.399993896484,156.800003051758,159.600006103516,10887919,148.353469848633
"564",158,163,155.5,161.199996948242,7765209,149.840682983398
"565",162.399993896484,166.300003051758,158.699996948242,159.949996948242,7114946,148.678787231445
"566",157.5,159.5,152.600006103516,153.25,8447036,142.450897216797
"567",156,160.649993896484,155,157.300003051758,9745004,146.215530395508
"568",159.399993896484,160.300003051758,157,159.399993896484,8025743,148.167541503906
"569",160.800003051758,166.399993896484,159,164.100006103516,11842945,152.536331176758
"570",168.600006103516,188.699996948242,167.5,180.649993896484,16023589,167.920120239258
"571",170.949996948242,170.949996948242,162.350006103516,163.550003051758,10646028,152.02507019043
"572",167.5,171.649993896484,162.800003051758,163.899993896484,12995347,152.350433349609
"573",165.5,169.300003051758,163.149993896484,165.800003051758,8720744,154.116546630859
"574",164.199996948242,174,162.5,172.199996948242,11944061,160.065582275391
"575",175.550003051758,176.600006103516,167.5,168.649993896484,9045606,156.765716552734
"576",170,176.399993896484,168.75,174.550003051758,9199262,162.249969482422
"577",172,179.600006103516,167.050003051758,178.199996948242,11889850,165.642761230469
"578",189,189,180.600006103516,182.350006103516,10377139,169.50032043457
"579",179,180.399993896484,174.199996948242,175.199996948242,5808584,162.854141235352
"580",176.899993896484,179.399993896484,173.25,174.300003051758,11548870,162.017593383789
"581",175.800003051758,176.199996948242,162.100006103516,163.25,8130435,151.746246337891
"582",167,172.949996948242,165.899993896484,169.300003051758,11001274,157.369934082031
"583",169.300003051758,173,168.300003051758,171.050003051758,10091863,158.996597290039
"584",172,174.850006103516,168.949996948242,169.899993896484,11065823,157.927627563477
"585",168.399993896484,169.5,163.5,166.149993896484,10228048,154.441879272461
"586",168,178.25,168,176.25,30383793,163.830184936523
"587",176.050003051758,189,174.149993896484,184.800003051758,20403834,171.777679443359
"588",186.199996948242,188.75,183.199996948242,184.149993896484,14270125,171.173461914062
"589",181,185.449996948242,180.050003051758,184.199996948242,13458899,171.219955444336
"590",188,199.399993896484,187.149993896484,193.949996948242,17324578,180.282897949219
"591",195,197.75,190.350006103516,192.149993896484,14155546,178.609741210938
"592",195,197.800003051758,191.550003051758,192.699996948242,11567639,179.120986938477
"593",193,195.199996948242,189.800003051758,192,10238285,178.470306396484
"594",195.949996948242,202.399993896484,194.050003051758,197.050003051758,26006736,183.164443969727
"595",202,202,192.25,194.949996948242,13522911,181.212417602539
"596",195.949996948242,198.899993896484,188.600006103516,190.050003051758,8055268,176.657730102539
"597",188,191.899993896484,184.550003051758,190.949996948242,11823033,177.494293212891
"598",188,190.850006103516,183.550003051758,184.649993896484,6481994,171.638229370117
"599",177,190.199996948242,175.449996948242,188.949996948242,9000558,175.635238647461
"600",185.949996948242,186.449996948242,179.949996948242,183.75,12059372,170.801666259766
"601",189,195.949996948242,185.75,190.050003051758,23464025,176.657730102539
"602",188.75,194.449996948242,185.800003051758,191.850006103516,11912711,178.330871582031
"603",189,194.050003051758,188,193.399993896484,8868746,179.77165222168
"604",195.100006103516,197.350006103516,192.699996948242,194.300003051758,18204886,180.608245849609
"605",194.899993896484,199.899993896484,193,197.949996948242,11091702,184.001052856445
"606",198.100006103516,203.899993896484,198.100006103516,201.649993896484,14850064,187.440307617188
"607",206.949996948242,207.75,192.350006103516,193.899993896484,19739136,180.236419677734
"608",192.149993896484,197.350006103516,191,193.550003051758,9502767,179.911102294922
"609",195.649993896484,197.5,191.550003051758,192.649993896484,6960491,179.074478149414
"610",192.5,192.949996948242,185.649993896484,190.699996948242,7560301,177.261901855469
"611",191.149993896484,195.600006103516,187.800003051758,189.350006103516,11450934,176.007064819336
"612",190.300003051758,193.050003051758,188.550003051758,191.449996948242,8343254,177.959060668945
"613",192.350006103516,195,190.050003051758,194.449996948242,9164240,180.747665405273
"614",195.699996948242,196.5,190.5,190.949996948242,6610649,177.494293212891
"615",192.149993896484,195.25,190.5,193.75,10803795,182.003280639648
