"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"394",1224,1250,1214.80004882812,1238.69995117188,185957,1148.58972167969
"395",1234,1298,1218.05004882812,1276.44995117188,365334,1183.59338378906
"396",1280,1309.80004882812,1257.55004882812,1300.09997558594,453152,1205.52319335938
"397",1312,1324.90002441406,1280.19995117188,1312.94995117188,397956,1217.4384765625
"398",1314,1342,1293.30004882812,1316.84997558594,354090,1221.05480957031
"399",1295,1316,1260.75,1289.30004882812,284592,1195.50891113281
"400",1286,1329.90002441406,1271,1325.34997558594,248666,1228.93603515625
"401",1325,1398.09997558594,1316.34997558594,1375.05004882812,625207,1275.02087402344
"402",1370,1383.5,1356.25,1365.44995117188,324167,1266.119140625
"403",1367.90002441406,1374.94995117188,1351.75,1360.69995117188,176916,1261.71447753906
"404",1361.75,1387.65002441406,1352,1376.44995117188,326476,1276.31896972656
"405",1394,1405,1372.5,1396.90002441406,188165,1295.28125
"406",1396.75,1460,1391.80004882812,1441.69995117188,336804,1336.822265625
"407",1440,1545,1434.5,1523.40002441406,978369,1412.57885742188
"408",1525,1530,1471.40002441406,1519.19995117188,1004644,1408.68444824219
"409",1455,1511.84997558594,1444.94995117188,1495.55004882812,852009,1386.7548828125
"410",1479,1511.94995117188,1458.40002441406,1467,428827,1360.28198242188
"411",1476,1488.5,1452.94995117188,1462.34997558594,221393,1355.97058105469
"412",1463,1468.69995117188,1435.09997558594,1459.94995117188,277952,1353.74487304688
"413",1474.40002441406,1474.40002441406,1437.80004882812,1448.44995117188,290536,1343.08081054688
"414",1447,1456.94995117188,1436,1445.25,281846,1340.11401367188
"415",1446,1455.34997558594,1412.69995117188,1419.19995117188,272101,1315.958984375
"416",1419.09997558594,1432,1405.09997558594,1410.44995117188,323702,1307.845703125
"417",1410.59997558594,1426.90002441406,1400.15002441406,1411.19995117188,169231,1308.54125976562
"418",1412.5,1414,1378.44995117188,1382,297432,1281.46533203125
"419",1372.09997558594,1392.05004882812,1367.44995117188,1371,199176,1271.26550292969
"420",1365.09997558594,1391.40002441406,1342.80004882812,1362.15002441406,657165,1263.05944824219
"421",1350.40002441406,1388.5,1347.5,1369.44995117188,317680,1269.828125
"422",1363,1413.19995117188,1352.84997558594,1401.75,505984,1299.77856445312
"423",1407.34997558594,1429.59997558594,1369.19995117188,1410.25,344059,1307.66015625
"424",1424,1453.09997558594,1401,1429,572805,1325.04626464844
"425",1437,1437,1398,1406.19995117188,162380,1303.90466308594
"426",1400,1414,1382.30004882812,1389.40002441406,322106,1288.32702636719
"427",1355,1408.30004882812,1355,1394.05004882812,313134,1292.638671875
"428",1394.05004882812,1416,1387.05004882812,1394.90002441406,295143,1293.42687988281
"429",1415,1415,1338.05004882812,1349.65002441406,314752,1251.46887207031
"430",1358.09997558594,1380,1343.05004882812,1368,268527,1268.48364257812
"431",1368,1387,1346.34997558594,1380,330709,1279.61083984375
"432",1383.44995117188,1393,1357.19995117188,1384.59997558594,184904,1283.87634277344
"433",1381,1389.09997558594,1360.15002441406,1373.34997558594,177260,1273.44445800781
"434",1357.5,1381.75,1351,1361.09997558594,152606,1262.08532714844
"435",1355,1417.59997558594,1350.80004882812,1412.09997558594,397760,1309.37561035156
"436",1410,1415,1390,1396.5,203559,1294.91064453125
"437",1394,1438.75,1392,1424.69995117188,403985,1321.05908203125
"438",1433,1434.94995117188,1401.55004882812,1409.5,300018,1306.96496582031
"439",1413,1419.80004882812,1395.69995117188,1406.69995117188,114889,1304.36840820312
"440",1415.5,1450,1397.69995117188,1436.55004882812,277477,1332.04699707031
"441",1436.55004882812,1469.90002441406,1416,1452.19995117188,299087,1346.55871582031
"442",1451,1476.44995117188,1427.5,1468.65002441406,452349,1361.81201171875
"443",1490,1529.19995117188,1425.65002441406,1491.59997558594,1055221,1383.09216308594
"444",1485,1519.5,1467.5,1505.15002441406,382090,1395.65637207031
"445",1500.34997558594,1528.84997558594,1492.30004882812,1506.09997558594,29696,1396.53747558594
"446",1490,1526.84997558594,1490,1517.34997558594,268871,1406.96911621094
"447",1518,1586.94995117188,1515.80004882812,1578.15002441406,537234,1463.34606933594
"448",1587,1590.90002441406,1543.44995117188,1548.69995117188,717384,1436.03869628906
"449",1553,1561.15002441406,1525.84997558594,1558.75,367674,1445.35754394531
"450",1553.40002441406,1595.5,1538.19995117188,1586.75,336654,1480.82055664062
"451",1585.09997558594,1586.69995117188,1556.44995117188,1559.34997558594,109969,1455.24975585938
"452",1559.34997558594,1576.5,1547.44995117188,1566.40002441406,91192,1461.82897949219
"453",1566.34997558594,1579.44995117188,1560,1574,101781,1468.92163085938
"454",1570,1588,1534.94995117188,1540.40002441406,123434,1437.56469726562
