"","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
"953",808.950012207031,810.450012207031,792.099975585938,794.849975585938,2107377,770.588500976562
"954",803.950012207031,808.549987792969,796.099975585938,806.5,2076523,781.882934570312
"955",808.299987792969,819.650024414062,806.650024414062,810.700012207031,2109222,785.954772949219
"956",812.299987792969,817.450012207031,795.650024414062,798.450012207031,1512946,774.078674316406
"957",800,805,787.400024414062,791.349975585938,1662900,767.1953125
"958",790,794.349975585938,780.099975585938,790.650024414062,3177648,766.516723632812
"959",791.849975585938,794,765.049987792969,770.75,2894426,747.22412109375
"960",770,791.75,761.549987792969,785.200012207031,2739763,761.233032226562
"961",783.5,796.950012207031,775.549987792969,778.950012207031,2404041,755.173767089844
"962",775.599975585938,787.25,774.349975585938,782.900024414062,1861259,759.003356933594
"963",775,798.900024414062,762,767.299987792969,5432649,743.879455566406
"964",773,775,749.049987792969,751.049987792969,4664270,728.125427246094
"965",751,761.650024414062,746.049987792969,753.599975585938,5505266,730.597534179688
"966",756.75,763.25,740.349975585938,745.349975585938,3687799,722.599426269531
"967",753,770.75,746.099975585938,766.25,4896650,742.861511230469
"968",771.900024414062,771.900024414062,748.900024414062,751.799987792969,3135454,728.852600097656
"969",751.200012207031,752.549987792969,733.700012207031,737.150024414062,2577704,714.649658203125
"970",741.099975585938,751,735,743.700012207031,2583462,720.999755859375
"971",750.200012207031,763.5,747.349975585938,757.549987792969,2530785,734.427062988281
"972",758.200012207031,766.799987792969,756.150024414062,759.75,2604449,736.559875488281
"973",754.200012207031,775,754.200012207031,761.349975585938,2950388,738.110961914062
"974",763.849975585938,773.349975585938,759,762.599975585938,2491218,739.322814941406
"975",757.25,768.75,753.599975585938,756.049987792969,3224172,732.972778320312
"976",752.5,778.849975585938,745.299987792969,775.099975585938,6231786,751.441345214844
"977",786.5,786.5,760,764.450012207031,6186549,741.116394042969
"978",762,772.349975585938,753.5,768.950012207031,7171030,745.479125976562
"979",768,774.700012207031,753.049987792969,763.950012207031,7474026,740.631774902344
"980",764.049987792969,783.950012207031,764.049987792969,778.549987792969,5599344,754.786010742188
"981",785,801,777.5,797.5,5871235,773.157653808594
"982",801.849975585938,803.950012207031,790,792.450012207031,4277384,768.26171875
"983",793.400024414062,794.799987792969,777.599975585938,785.400024414062,3076272,761.427001953125
"984",784,796.599975585938,781.150024414062,794.099975585938,3598487,769.861389160156
"985",796,819.900024414062,794.200012207031,815.099975585938,5477769,790.220397949219
"986",822.5,843.650024414062,816.5,838.799987792969,8748856,813.197021484375
"987",836.650024414062,841.950012207031,827.349975585938,834.450012207031,5179861,808.979797363281
"988",834.450012207031,850.950012207031,834,845.700012207031,3346523,819.886352539062
"989",845,860.049987792969,840.900024414062,848.950012207031,3726756,823.037231445312
"990",852.5,854,832.400024414062,837.700012207031,3027262,812.130615234375
"991",840,844.549987792969,830.650024414062,835.099975585938,2436343,809.609924316406
"992",837.799987792969,844.900024414062,822,829.599975585938,2423850,804.277770996094
"993",829.599975585938,836,825.200012207031,828.950012207031,1475374,803.647644042969
"994",832.099975585938,835,817.549987792969,826.700012207031,4837873,801.466369628906
"995",830.900024414062,841.5,828.299987792969,832.400024414062,4950526,806.992492675781
"996",845,845,827.5,836.200012207031,3953446,810.676391601562
"997",836.200012207031,871,834.25,865.5,7395140,839.082092285156
"998",865.5,868.900024414062,856.799987792969,859.75,2351963,833.507507324219
"999",859.75,863.400024414062,850.5,853.200012207031,1750754,827.157470703125
"1000",855,867.200012207031,845,846.700012207031,3354708,820.855895996094
"1001",848,848,834,838.5,1677779,812.906127929688
"1002",839.299987792969,842.75,815.650024414062,820,2886894,794.970825195312
"1003",816.5,819.700012207031,801.099975585938,808.75,3218477,784.064208984375
"1004",804,825,791.599975585938,800.849975585938,5300160,776.405395507812
"1005",791,811.700012207031,784.799987792969,808.049987792969,3779497,783.385498046875
"1006",802,817.400024414062,791.299987792969,812.099975585938,3593525,787.31201171875
"1007",816,842.900024414062,812.099975585938,827.349975585938,5073701,802.096435546875
"1008",830.099975585938,849.75,820.049987792969,834.5,8041517,809.0283203125
"1009",847.400024414062,895,839.849975585938,891.75,12337459,864.53076171875
