"","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
"909",1572.40002441406,1573.05004882812,1532.5,1547.27502441406,178184,1488.7412109375
"910",1552,1555.5,1524.82495117188,1550.27502441406,164308,1491.62768554688
"911",1542.5,1557.57495117188,1530,1554.17504882812,144402,1495.38000488281
"912",1549,1568.40002441406,1538,1563.02502441406,99570,1503.8955078125
"913",1564.5,1571.97497558594,1552.5,1566.55004882812,177296,1507.28698730469
"914",1569.90002441406,1569.94995117188,1553.82495117188,1561.22497558594,138116,1502.16345214844
"915",1562.5,1582.5,1551.27502441406,1557.125,170800,1498.21862792969
"916",1560.97497558594,1577.5,1541,1548.59997558594,249540,1490.01599121094
"917",1548.59997558594,1559.72497558594,1518.77502441406,1528.92504882812,127562,1471.08544921875
"918",1523.75,1545,1509.625,1521.80004882812,154540,1464.22985839844
"919",1523.75,1549.94995117188,1521.80004882812,1542.75,126098,1484.38732910156
"920",1549.65002441406,1558.47497558594,1522.52502441406,1550.52502441406,155274,1491.86828613281
"921",1555.5,1567.25,1535.07495117188,1550.05004882812,159774,1491.41125488281
"922",1557,1561.90002441406,1536.5,1544.27502441406,138096,1485.85485839844
"923",1548.09997558594,1558.22497558594,1517.90002441406,1553.92504882812,250294,1495.1396484375
"924",1553.90002441406,1592.52502441406,1541.05004882812,1567.42504882812,485544,1508.12902832031
"925",1572,1625.09997558594,1525.5,1542.75,969094,1484.38732910156
"926",1537.5,1557.34997558594,1513.22497558594,1540.27502441406,309730,1482.00598144531
"927",1540.25,1581,1536.80004882812,1564.77502441406,151154,1505.57922363281
"928",1564.77502441406,1574.5,1551,1564.65002441406,78670,1505.45874023438
"929",1564.94995117188,1570.75,1529.02502441406,1532.47497558594,112512,1474.50109863281
"930",1533.5,1555,1531.05004882812,1537.125,122664,1478.97521972656
"931",1540.59997558594,1556,1525.52502441406,1537.65002441406,107392,1479.48046875
"932",1542.5,1601.5,1542.02502441406,1583.59997558594,202980,1523.69189453125
"933",1583.44995117188,1597.90002441406,1533.69995117188,1556.77502441406,311100,1497.8818359375
"934",1564.27502441406,1580.05004882812,1551.30004882812,1563.67504882812,131250,1504.52087402344
"935",1567.5,1590,1554.75,1565.19995117188,102692,1505.98803710938
"936",1570,1570,1540.92504882812,1555.875,152736,1497.01586914062
"937",1560,1572.92504882812,1531.67504882812,1536.47497558594,198968,1478.34973144531
"938",1547.625,1547.625,1467.80004882812,1491.125,379776,1434.71545410156
"939",1506.02502441406,1514.55004882812,1475.67504882812,1506.27502441406,234116,1449.29235839844
"940",1511.27502441406,1528.67504882812,1476.52502441406,1484.69995117188,144998,1428.53332519531
"941",1492.47497558594,1574.97497558594,1440.5,1542,405112,1483.66577148438
"942",1557,1557.40002441406,1467.52502441406,1472.125,505518,1416.43408203125
"943",1464.47497558594,1479.47497558594,1405,1410.72497558594,877296,1357.35681152344
"944",1410.75,1424.5,1383,1391.65002441406,548184,1339.00341796875
"945",1401.67504882812,1445,1384,1430.19995117188,337774,1376.09509277344
"946",1437.5,1445,1424.47497558594,1439.69995117188,149484,1385.23571777344
"947",1444.75,1449.5,1412,1419.52502441406,485268,1365.82397460938
"948",1415.5,1422.25,1394.22497558594,1402.125,462752,1349.08215332031
"949",1407.5,1414.05004882812,1407.5,1409.67504882812,10374,1356.34655761719
"950",1414.67504882812,1456.5,1392.34997558594,1451.375,319070,1396.46923828125
"951",1451,1457.5,1417.19995117188,1423.67504882812,269150,1369.81689453125
"952",1415,1417.34997558594,1381.30004882812,1412.97497558594,1036210,1359.52185058594
"953",1412.97497558594,1449.40002441406,1405.125,1417.30004882812,631548,1363.68310546875
"954",1417.30004882812,1420,1375.5,1395.67504882812,1509190,1342.87622070312
"955",1407.90002441406,1407.90002441406,1385.02502441406,1397.32495117188,606362,1344.4638671875
"956",1397.32495117188,1420,1385,1394.52502441406,499704,1341.76977539062
"957",1394.52502441406,1421.15002441406,1375.82495117188,1417.19995117188,251960,1363.5869140625
"958",1419,1419.69995117188,1385.02502441406,1395.65002441406,359912,1342.85229492188
"959",1395.65002441406,1403,1367.65002441406,1376.57495117188,255700,1324.49890136719
"960",1376.90002441406,1416.44995117188,1372.25,1410.75,237778,1357.380859375
"961",1412.5,1427.84997558594,1400.5,1408.75,363284,1355.45654296875
"962",1418.94995117188,1507.5,1408.77502441406,1495.27502441406,2140042,1438.70837402344
"963",1481.75,1542.97497558594,1465.65002441406,1518.05004882812,1053732,1460.62194824219
"964",1550,1624.40002441406,1507.30004882812,1518.65002441406,2390476,1461.19897460938
"965",1518.05004882812,1555,1495.05004882812,1521.02502441406,949932,1463.484375
"966",1517.5,1517.5,1475.40002441406,1487.82495117188,728888,1431.5400390625
"967",1488.05004882812,1502.92504882812,1476,1485.57495117188,485610,1429.37524414062
"968",1486,1511.47497558594,1478.5,1490.90002441406,301506,1434.49890136719
"969",1490.90002441406,1507.47497558594,1462.375,1468.47497558594,224758,1412.92211914062
"970",1470.25,1553.5,1465.07495117188,1537.30004882812,1682344,1479.1435546875
"971",1549.5,1573.80004882812,1537.5,1568.94995117188,784992,1509.59619140625
"972",1565,1575.92504882812,1547,1556.40002441406,178914,1497.52099609375
"973",1541.25,1564.32495117188,1536.02502441406,1543.32495117188,135356,1484.94055175781
"974",1547.5,1562.72497558594,1529.65002441406,1537.5,238460,1479.3359375
"975",1537.5,1583.05004882812,1530.47497558594,1560.27502441406,271858,1501.24963378906
"976",1560.27502441406,1582,1546,1557.27502441406,376678,1498.36291503906
"977",1557.25,1569,1529.09997558594,1546.02502441406,363534,1487.53857421875
"978",1549.75,1556,1524.59997558594,1540.65002441406,321190,1482.36682128906
"979",1530.05004882812,1542.40002441406,1500.875,1533.92504882812,273142,1475.89624023438
"980",1527.5,1568.30004882812,1516.25,1536.67504882812,236556,1478.54211425781
"981",1540,1547.84997558594,1526.82495117188,1540.90002441406,500844,1482.60754394531
"982",1544.42504882812,1590,1540.5,1581.25,200898,1521.43090820312
"983",1590,1599.5,1518.17504882812,1523.09997558594,561202,1465.48083496094
"984",1523.125,1580.09997558594,1515.32495117188,1574.375,879318,1514.81604003906
"985",1572.75,1588.84997558594,1558.52502441406,1571.19995117188,260778,1511.76123046875
"986",1571.19995117188,1612.5,1560,1592.84997558594,536882,1532.59204101562
"987",1591.17504882812,1619,1586.55004882812,1595.47497558594,423764,1535.11779785156
"988",1591.40002441406,1649.25,1591.40002441406,1639.22497558594,716236,1577.21276855469
"989",1639.25,1647.97497558594,1623.72497558594,1626.05004882812,196696,1564.5361328125
"990",1636.25,1636.25,1594,1604.42504882812,279692,1543.72924804688
"991",1611.5,1624.25,1593,1599.97497558594,154162,1539.44750976562
"992",1595,1619.42504882812,1573.59997558594,1579.42504882812,235780,1519.67504882812
"993",1581.5,1595,1557.875,1570.25,152740,1510.84704589844
"994",1572.5,1584.5,1562.5,1572.17504882812,116690,1512.69921875
"995",1577.17504882812,1587.09997558594,1557.65002441406,1562.90002441406,134088,1503.77502441406
"996",1570,1587.25,1552.77502441406,1579.94995117188,194548,1520.18005371094
"997",1592.625,1609,1572.07495117188,1594.59997558594,202842,1534.27575683594
"998",1594.5,1604.375,1572,1597.09997558594,339458,1536.68127441406
"999",1586,1604.94995117188,1581,1595.5,161926,1535.14172363281
"1000",1599,1616.875,1579.05004882812,1593.40002441406,282022,1533.12145996094
"1001",1589,1612.77502441406,1574.22497558594,1600.57495117188,259690,1540.02478027344
"1002",1587.5,1614,1587.5,1602.40002441406,167304,1541.78076171875
"1003",1595.15002441406,1609.875,1570.57495117188,1582.57495117188,191952,1522.70556640625
"1004",1579.84997558594,1587.34997558594,1535.07495117188,1558.92504882812,233594,1499.95056152344
"1005",1545,1593.90002441406,1536,1580.5,202510,1520.70935058594
"1006",1470.02502441406,1470.02502441406,1317.90002441406,1341.75,5392496,1290.99133300781
"1007",1352.5,1359,1310.15002441406,1328.82495117188,1630804,1278.55517578125
"1008",1315,1346,1307.5,1335.72497558594,1135000,1285.19421386719
"1009",1341.94995117188,1343.82495117188,1326,1339.32495117188,448854,1288.65795898438
"1010",1329.90002441406,1372.5,1328,1369.27502441406,411966,1329.88684082031
"1011",1366.17504882812,1367.19995117188,1346,1353.67504882812,217980,1314.73571777344
"1012",1359.47497558594,1359.65002441406,1334,1341.44995117188,352880,1302.8623046875
"1013",1340,1341.42504882812,1295.125,1307.17504882812,316928,1269.57336425781
"1014",1314,1319.19995117188,1290.05004882812,1300.15002441406,714404,1262.75048828125
"1015",1304.25,1310.09997558594,1286,1300.57495117188,500800,1263.1630859375
"1016",1308.47497558594,1316.44995117188,1288.125,1298.57495117188,523858,1261.22058105469
"1017",1292.5,1299,1280.5,1295.30004882812,120462,1258.03979492188
"1018",1275,1313,1265.02502441406,1275.59997558594,417216,1238.90649414062
"1019",1280,1299.47497558594,1272.59997558594,1296.44995117188,165672,1259.15686035156
"1020",1299.94995117188,1322.65002441406,1295.94995117188,1313.47497558594,269698,1275.69201660156
"1021",1320,1323.34997558594,1291.02502441406,1296.22497558594,358590,1258.93811035156
"1022",1300,1337.44995117188,1285.22497558594,1331.97497558594,346466,1293.65979003906
"1023",1325.09997558594,1334.34997558594,1307.55004882812,1327.44995117188,175134,1289.26489257812
"1024",1301,1355.92504882812,1292.82495117188,1350.19995117188,718690,1311.36059570312
"1025",1360.5,1374.84997558594,1355.05004882812,1369.07495117188,285064,1329.69262695312
"1026",1310,1383.34997558594,1310,1334.5,826338,1296.11218261719
"1027",1359.94995117188,1362.47497558594,1331.32495117188,1352.84997558594,168666,1313.93432617188
"1028",1343.65002441406,1389.47497558594,1339.84997558594,1374.94995117188,493440,1335.39868164062
"1029",1369.94995117188,1396.57495117188,1363.90002441406,1386.07495117188,220442,1346.20349121094
"1030",1385.72497558594,1410.84997558594,1381.65002441406,1400.42504882812,250698,1360.14086914062
"1031",1395,1401.75,1364.55004882812,1370.25,230466,1330.83386230469
"1032",1362.5,1372.75,1330.5,1349.27502441406,261862,1310.46228027344
"1033",1325.5,1384.375,1325.5,1372.5,252744,1333.01916503906
"1034",1372.5,1409.375,1340,1387.30004882812,192060,1347.3935546875
"1035",1405.44995117188,1405.44995117188,1377.34997558594,1384.59997558594,158220,1344.77099609375
"1036",1376.30004882812,1420.84997558594,1376.27502441406,1411.625,193766,1371.01867675781
"1037",1410.05004882812,1423.17504882812,1393.625,1414.5,137038,1373.81091308594
"1038",1416,1462.5,1416,1435.30004882812,406876,1394.0126953125
"1039",1444,1446.30004882812,1415.02502441406,1425,197326,1384.00903320312
"1040",1439.69995117188,1493.875,1425,1437.30004882812,865328,1395.95520019531
"1041",1454,1456.17504882812,1365.80004882812,1381.80004882812,555894,1342.05163574219
"1042",1381.80004882812,1387.34997558594,1352.84997558594,1381.09997558594,385622,1341.37170410156
"1043",1382.47497558594,1430,1382.47497558594,1415.55004882812,817770,1374.83068847656
