"","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
"1217",1044.09997558594,1071.44995117188,1039.80004882812,1056.69995117188,1495223,1024.19641113281
"1218",1055,1060.59997558594,1040.94995117188,1043.19995117188,1047006,1011.11163330078
"1219",1046.30004882812,1047.65002441406,1021.70001220703,1029.5,683379,997.833129882812
"1220",1032.44995117188,1049,1026,1046.25,747048,1014.06787109375
"1221",1049.94995117188,1056.94995117188,1026.25,1033.75,770753,1001.95239257812
"1222",1033,1039.5,1025.30004882812,1034.15002441406,633628,1002.34014892578
"1223",1034.90002441406,1045.44995117188,1032.19995117188,1033.69995117188,535565,1001.90386962891
"1224",1038,1044.90002441406,1035,1036.5,706162,1004.61779785156
"1225",1039.19995117188,1042.94995117188,1022.09997558594,1026.69995117188,545640,995.119201660156
"1226",1025.80004882812,1025.80004882812,985.700012207031,991.5,1758284,961.002014160156
"1227",992.5,997.900024414062,968.799987792969,988.650024414062,1640959,958.239685058594
"1228",990.700012207031,991.099975585938,968.400024414062,979,856249,948.886474609375
"1229",985.200012207031,996.5,960.950012207031,965.599975585938,1035557,935.898620605469
"1230",970.450012207031,974.950012207031,933.099975585938,940.25,1218644,911.328369140625
"1231",933.849975585938,937.099975585938,889.049987792969,891.700012207031,1406373,864.271789550781
"1232",897,916.150024414062,876.799987792969,906.799987792969,836992,878.907287597656
"1233",911.349975585938,923.799987792969,909.200012207031,918.400024414062,968330,890.150512695312
"1234",922.450012207031,939.400024414062,915.599975585938,933.200012207031,1018813,904.495239257812
"1235",928,935,922,928.549987792969,918301,899.98828125
"1236",931.599975585938,947,930.799987792969,937.150024414062,874888,908.323791503906
"1237",941.849975585938,943.700012207031,930.150024414062,941.349975585938,745481,912.39453125
"1238",945,948.599975585938,938.150024414062,941.700012207031,498529,912.733825683594
"1239",942,943.849975585938,926.049987792969,931.650024414062,728111,902.992919921875
"1240",934.700012207031,946.299987792969,925.849975585938,942.150024414062,835241,913.169982910156
"1241",942.150024414062,956,938.5,948.299987792969,1100983,919.130737304688
"1242",950,960.900024414062,947.5,958.299987792969,653230,928.823181152344
"1243",959.200012207031,972.400024414062,953.150024414062,968.549987792969,933245,938.757873535156
"1244",973,975,962.400024414062,967.75,643479,937.982482910156
"1245",971.75,978.599975585938,969,973.25,593507,943.313293457031
"1246",973.950012207031,976,964.049987792969,974.599975585938,390146,944.621826171875
"1247",976.599975585938,981.799987792969,969.5,970.349975585938,356574,940.502502441406
"1248",975.25,989.150024414062,970.349975585938,987.200012207031,885830,956.834228515625
"1249",991.549987792969,1000.5,988.349975585938,998.950012207031,734651,968.222778320312
"1250",997,998.950012207031,978.299987792969,980.450012207031,598387,950.291870117188
"1251",981,987.700012207031,973,975.849975585938,418246,945.833312988281
"1252",975.849975585938,978.650024414062,971.200012207031,977.150024414062,290614,947.093383789062
"1253",977.150024414062,984,967.049987792969,971.799987792969,444221,941.907897949219
"1254",970,970,948.400024414062,950.400024414062,623055,921.166198730469
"1255",954.650024414062,960.299987792969,929.400024414062,945,648243,915.932250976562
"1256",945,960.700012207031,936.400024414062,955.349975585938,549412,925.9638671875
"1257",958,979,955,973.400024414062,759060,943.458740234375
"1258",980,985.099975585938,942.450012207031,956.150024414062,1175811,926.739318847656
"1259",948.099975585938,986.75,912,967.25,2772046,937.497863769531
"1260",968.599975585938,999,961.049987792969,969.950012207031,1424837,940.114868164062
"1261",970,1010,967.049987792969,1006.70001220703,1203295,975.734375
"1262",1011.75,1040,1003.20001220703,1030.94995117188,2630267,999.238464355469
"1263",1032,1041.25,1011.5,1029.40002441406,1004359,997.736206054688
"1264",1021,1036,1010.75,1012.54998779297,661402,981.404479980469
"1265",1013.20001220703,1026.19995117188,1004,1020.29998779297,724694,988.916076660156
"1266",1020.70001220703,1028,1009.34997558594,1017.29998779297,560147,986.008361816406
"1267",1019,1023.65002441406,1007.25,1009.95001220703,386474,978.884460449219
"1268",1009.95001220703,1019.90002441406,1004.09997558594,1010.65002441406,626181,979.562927246094
"1269",1013,1035,1011.09997558594,1024.90002441406,1129579,993.374633789062
"1270",1024.05004882812,1033.34997558594,1015.54998779297,1018.84997558594,466079,987.510681152344
"1271",1020.65002441406,1025.69995117188,1004.5,1010.95001220703,598142,979.853698730469
"1272",1012,1017.95001220703,998,1000.25,574836,969.482849121094
"1273",1000.25,1001.59997558594,958.549987792969,965.200012207031,1803876,935.510925292969
"1274",969,989.900024414062,962.25,972.849975585938,1070215,942.925598144531
"1275",978,984.650024414062,968.5,972.099975585938,839873,942.198669433594
"1276",972,984.5,961.099975585938,974.849975585938,1644171,944.864074707031
"1277",976,980.950012207031,965.200012207031,975,715101,945.009460449219
"1278",972,999,972,994.5,610565,963.90966796875
"1279",997,998.150024414062,984.900024414062,989.099975585938,576642,958.675720214844
"1280",990.099975585938,1013,989.099975585938,1007.95001220703,949753,976.945983886719
"1281",1010.95001220703,1011.95001220703,999.549987792969,1002.04998779297,775814,971.227478027344
"1282",1001.79998779297,1016,992.099975585938,1010.79998779297,632362,979.708312988281
"1283",1011,1015.90002441406,990.650024414062,993.25,595044,962.698181152344
"1284",988,989.849975585938,970.799987792969,980.75,534453,950.582641601562
"1285",980,985.099975585938,961.299987792969,965.150024414062,639656,935.462463378906
"1286",967.700012207031,975,954,966.5,618342,936.770935058594
"1287",977,983.5,960,963.299987792969,340658,933.669372558594
"1288",965.950012207031,965.950012207031,943.25,958.5,634780,929.017028808594
"1289",963.400024414062,969.599975585938,957.5,963.099975585938,581953,933.475524902344
"1290",962.400024414062,962.400024414062,934.25,950.400024414062,698608,921.166198730469
"1291",951,957.700012207031,948,953.200012207031,366923,923.880065917969
"1292",953,965.799987792969,951.299987792969,961.5,350721,931.924743652344
"1293",960,971.849975585938,952.049987792969,968.099975585938,657902,938.321716308594
"1294",964,970,950,953.950012207031,572686,924.606994628906
"1295",954,960.650024414062,948.150024414062,955.049987792969,372570,925.673156738281
"1296",956.450012207031,960.150024414062,950.400024414062,953.799987792969,498770,924.461608886719
"1297",953.799987792969,961,945,954.75,608017,925.382385253906
"1298",959.549987792969,981.049987792969,958.049987792969,972.450012207031,689153,942.537963867188
"1299",979.950012207031,983,973.099975585938,977.150024414062,399269,947.093383789062
"1300",975.049987792969,977,959.25,975.599975585938,479875,945.591064453125
"1301",975.700012207031,990,972.400024414062,989.150024414062,393374,958.724243164062
"1302",993.950012207031,1004.75,985,1003.65002441406,647601,972.778259277344
