"","ALKEM.NS.Open","ALKEM.NS.High","ALKEM.NS.Low","ALKEM.NS.Close","ALKEM.NS.Volume","ALKEM.NS.Adjusted"
"1256",2999,3017.75,2980,3001.5,30753,2958.57104492188
"1257",2983,3017.94995117188,2983,3011.30004882812,94418,2968.23120117188
"1258",3020.5,3045,3011.30004882812,3030.44995117188,31174,2987.10717773438
"1259",3015,3086.19995117188,3015,3076.05004882812,107388,3032.05517578125
"1260",3085,3085,3032.19995117188,3051.25,93856,3007.60961914062
"1261",3051.94995117188,3105.94995117188,3040.55004882812,3068.30004882812,43953,3024.416015625
"1262",3074.64990234375,3083,3048.80004882812,3069.55004882812,24204,3025.64794921875
"1263",3051.5,3185,3051.5,3180.80004882812,204945,3135.30712890625
"1264",3149,3278.14990234375,3140.94995117188,3230.44995117188,132810,3184.24658203125
"1265",3247.5,3350,3178.60009765625,3292.69995117188,916798,3245.6064453125
"1266",3297.94995117188,3308.44995117188,3191,3266.05004882812,202942,3219.33764648438
"1267",3283.25,3303.94995117188,3245.05004882812,3280.30004882812,65432,3233.3837890625
"1268",3278.05004882812,3350,3262.85009765625,3313.85009765625,95582,3266.4541015625
"1269",3342.10009765625,3348.94995117188,3286.69995117188,3307.64990234375,79306,3260.34252929688
"1270",3268,3298.25,3250,3261.94995117188,45807,3229.94360351562
"1271",3260,3300,3227.19995117188,3276.05004882812,83615,3243.90576171875
"1272",3270,3309,3245.35009765625,3255.64990234375,50577,3223.70581054688
"1273",3255.64990234375,3292,3235.75,3276.39990234375,75751,3244.25170898438
"1274",3269,3292.10009765625,3249.05004882812,3275.5,108550,3243.36083984375
"1275",3285,3329,3275,3297.35009765625,237037,3264.99633789062
"1276",3297,3297,3253.30004882812,3272.60009765625,53733,3240.4892578125
"1277",3310,3310,3144.69995117188,3175,131796,3143.84716796875
"1278",3175,3202,3108,3119.19995117188,107004,3088.59448242188
"1279",3108,3132,3071.05004882812,3126.5,61019,3095.82299804688
"1280",3143,3167.60009765625,3119.35009765625,3159.19995117188,36163,3128.20190429688
"1281",3159.89990234375,3216.5,3150.85009765625,3157.44995117188,44689,3126.46923828125
