"","LTIM.NS.Open","LTIM.NS.High","LTIM.NS.Low","LTIM.NS.Close","LTIM.NS.Volume","LTIM.NS.Adjusted"
"1231",4300,4343.2998046875,4225,4266.5498046875,429859,4127.94384765625
"1232",4261,4354.4501953125,4242.60009765625,4348.9501953125,248624,4207.66748046875
"1233",4370.7001953125,4415.60009765625,4355.5498046875,4390.4501953125,245105,4247.81884765625
"1234",4367,4395,4306.2001953125,4332,312640,4191.267578125
"1235",4307.10009765625,4455,4280,4420.2001953125,1092863,4276.6025390625
"1236",4430,4469.9501953125,4354.14990234375,4365.39990234375,317547,4223.5830078125
"1237",4365.39990234375,4385.85009765625,4294.7001953125,4322.10009765625,268574,4181.6884765625
"1238",4334,4364.7001953125,4318.64990234375,4349.14990234375,191007,4207.85986328125
"1239",4311,4322,4265.2001953125,4277.9501953125,428917,4138.9736328125
"1240",4290,4299,4250.0498046875,4260.2001953125,218691,4121.80078125
"1241",4250,4279.4501953125,4180,4197.60009765625,264197,4061.2333984375
"1242",4230.14990234375,4327,4230.14990234375,4295.25,388187,4155.7109375
"1243",4296,4298.9501953125,4215.0498046875,4231.60009765625,225477,4094.1298828125
"1244",4252.7998046875,4299,4211,4225.5,243019,4088.22729492188
"1245",4255,4295,4241,4276.14990234375,252469,4137.23193359375
"1246",4273.89990234375,4293.4501953125,4146.5,4287.4501953125,437340,4148.1650390625
"1247",4298.5,4309.4501953125,4211.7001953125,4277,347903,4138.05419921875
"1248",4281,4304.9501953125,4247.5498046875,4274.25,225154,4135.3935546875
"1249",4295.35009765625,4301.25,4256,4273.75,205896,4134.90966796875
"1250",4252,4279.35009765625,4223,4238.75,233112,4101.046875
"1251",4205.0498046875,4347,4205.0498046875,4268.0498046875,449630,4129.3955078125
"1252",4139.9501953125,4401,4121,4368.85009765625,1266347,4226.9208984375
"1253",4391.7001953125,4544.9501953125,4374.7998046875,4509.4501953125,1009385,4362.953125
"1254",4490,4505,4412.7998046875,4430.64990234375,312847,4286.71337890625
"1255",4400,4467.9501953125,4366,4399.0498046875,449822,4256.1396484375
"1256",4399,4464,4340,4448.89990234375,745273,4324.029296875
"1257",4448.2998046875,4458,4344.89990234375,4368.5498046875,486171,4265.1083984375
"1258",4393,4429.7998046875,4331.0498046875,4388.10009765625,363833,4284.19482421875
"1259",4395,4595,4395,4587.75,902731,4479.11767578125
"1260",4640,4640,4410,4502.2001953125,646511,4395.59375
"1261",4490,4612.4501953125,4440.25,4596.0498046875,528238,4487.22119140625
"1262",4582,4627.60009765625,4561.64990234375,4594.25,312037,4485.4638671875
"1263",4630,4727.9501953125,4617.2998046875,4714.7001953125,610010,4603.06201171875
"1264",4680,4741.5,4661.5,4695.64990234375,553507,4584.46240234375
"1265",4684,4700,4650.5,4691.60009765625,252444,4580.5087890625
"1266",4690,4693,4552,4621,253166,4511.58056640625
"1267",4630,4715,4625.10009765625,4636.64990234375,318114,4526.85986328125
"1268",4654.7998046875,4749,4587,4742.85009765625,488248,4630.54541015625
"1269",4773.10009765625,4975.0498046875,4755.14990234375,4948,994748,4830.8369140625
"1270",4860,4908,4833.75,4858.2998046875,396974,4743.26171875
"1271",4858.2998046875,4955.5,4841,4886.85009765625,693618,4771.1357421875
"1272",4911.2998046875,4923.7998046875,4868,4878.89990234375,410733,4763.3740234375
"1273",4815,4815,4758,4805.2998046875,411601,4691.5166015625
"1274",4829.35009765625,4869.10009765625,4765,4853.60009765625,422276,4738.6728515625
"1275",4875,4947.2998046875,4822.5,4853.5498046875,344150,4738.62353515625
