"","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
"39",1537.5,1544.97497558594,1510.59997558594,1515.84997558594,1363882,1344.17395019531
"40",1520.5,1539.27502441406,1516,1521.17504882812,1717800,1348.89611816406
"41",1517.5,1531.97497558594,1510.72497558594,1517.52502441406,2706864,1345.65930175781
"42",1524.5,1530.59997558594,1510,1518.84997558594,1718124,1346.83459472656
"43",1524.5,1556.82495117188,1516.47497558594,1552.92504882812,2858168,1377.05053710938
"44",1561,1563.5,1515.07495117188,1521.40002441406,1906764,1349.09558105469
"45",1535,1544.5,1509.25,1513.72497558594,1917772,1342.28979492188
"46",1527.44995117188,1527.44995117188,1493.75,1501.97497558594,1951826,1331.87048339844
"47",1502.5,1531.59997558594,1488.59997558594,1517.05004882812,1872436,1345.23815917969
"48",1521.5,1541.94995117188,1517.75,1526.07495117188,2091340,1353.24096679688
"49",1462.44995117188,1469.84997558594,1436,1443.40002441406,88067154,1279.92932128906
"50",1446.47497558594,1461.52502441406,1437.52502441406,1443.44995117188,3668668,1279.9736328125
"51",1447.5,1451.27502441406,1427.80004882812,1434.84997558594,2348906,1272.34765625
"52",1434.40002441406,1436,1402.5,1412.84997558594,7197482,1252.83923339844
"53",1414.5,1424,1410,1415.5,3489940,1255.18896484375
"54",1410,1436.59997558594,1409.5,1432.42504882812,4024984,1270.19738769531
"55",1436.25,1442.15002441406,1425,1428.375,3907678,1266.60595703125
"56",1429.97497558594,1437.97497558594,1411.27502441406,1415.67504882812,2326094,1255.34448242188
"57",1401,1417.05004882812,1399.02502441406,1409.07495117188,3654122,1249.49206542969
"58",1409.5,1413.69995117188,1390.77502441406,1408.5,2964210,1248.98229980469
"59",1412.5,1431.5,1411.52502441406,1423.84997558594,2494574,1262.59350585938
"60",1417.94995117188,1437.5,1412.5,1424.57495117188,6865654,1263.236328125
"61",1420,1457,1420,1454.82495117188,1662988,1290.06030273438
"62",1446.05004882812,1464.94995117188,1446.05004882812,1455.625,1937290,1290.76977539062
"63",1464.72497558594,1467,1446,1455.44995117188,2841820,1290.61437988281
"64",1463.27502441406,1481.875,1460.17504882812,1478.97497558594,1809424,1311.47509765625
"65",1477,1480,1463.27502441406,1475.15002441406,1129018,1308.08349609375
"66",1469.84997558594,1481.75,1457.5,1461.94995117188,1235866,1296.37829589844
"67",1462.84997558594,1478.625,1462.84997558594,1468.80004882812,1184532,1302.45288085938
"68",1475.30004882812,1512.5,1472.80004882812,1507.07495117188,3124416,1336.39245605469
"69",1505,1575,1503.97497558594,1569.625,6114360,1391.85900878906
"70",1575,1620.40002441406,1566.05004882812,1576.65002441406,8179118,1398.08813476562
"71",1558,1599.97497558594,1555.375,1593.82495117188,6270274,1413.318359375
"72",1593.82495117188,1597.47497558594,1573.59997558594,1583.30004882812,3301724,1403.98474121094
"73",1583,1596.72497558594,1572.92504882812,1579.55004882812,2433066,1400.65979003906
"74",1589.94995117188,1608.59997558594,1582.875,1595.57495117188,4820952,1414.8701171875
"75",1625,1711.17504882812,1620,1701.22497558594,18465662,1508.5546875
"76",1712,1778.94995117188,1694.77502441406,1704.32495117188,15185910,1511.30407714844
"77",1705,1721.57495117188,1671.25,1692.82495117188,8314336,1501.10583496094
"78",1692.5,1741.5,1682.52502441406,1735.125,8196574,1538.61535644531
"79",1733.5,1780,1733.5,1769.625,12135034,1569.20825195312
"80",1762.5,1772,1710,1725.97497558594,4501330,1530.50170898438
"81",1725.97497558594,1774.5,1718.80004882812,1766.05004882812,3458558,1566.03833007812
"82",1765.25,1766.09997558594,1735.65002441406,1749.875,3158046,1551.69470214844
"83",1754.90002441406,1763,1735.19995117188,1740.92504882812,3761550,1543.75854492188
"84",1746,1748.5,1735,1740.375,2347244,1543.2705078125
"85",1745,1745,1705.44995117188,1710.47497558594,3484426,1516.75732421875
"86",1717.34997558594,1743.25,1698.34997558594,1720.59997558594,2992820,1525.73547363281
"87",1720.09997558594,1747.375,1720.09997558594,1744.65002441406,2615050,1547.0615234375
"88",1751.47497558594,1755.57495117188,1720.09997558594,1725.625,3858678,1530.19128417969
"89",1727.09997558594,1742.5,1721.25,1728.47497558594,2627876,1532.71813964844
"90",1728.5,1735.5,1705.40002441406,1716.77502441406,2433894,1522.34375
"91",1725,1747.90002441406,1716.84997558594,1741.19995117188,1952890,1544.00244140625
"92",1739.97497558594,1754.5,1737.625,1746.94995117188,1648450,1549.10119628906
"93",1756.47497558594,1766.57495117188,1738,1745.90002441406,2968048,1548.17041015625
"94",1740.40002441406,1758.84997558594,1729,1751.02502441406,1874996,1552.71496582031
"95",1764.34997558594,1796,1759.02502441406,1778.375,3446178,1576.96728515625
"96",1779,1787.47497558594,1746.84997558594,1754.44995117188,1857416,1555.751953125
"97",1762.5,1772.5,1740.5,1747.55004882812,1507298,1549.63330078125
"98",1755,1807.5,1751.17504882812,1801.84997558594,2962316,1597.78356933594
"99",1812.5,1837.40002441406,1786.27502441406,1792.90002441406,3769772,1589.84704589844
"100",1808.25,1808.25,1743,1751.02502441406,3716798,1552.71496582031
"101",1764.94995117188,1772,1744,1761.75,3525312,1562.22485351562
"102",1754.52502441406,1766.5,1741.25,1757.05004882812,3779106,1558.05749511719
"103",1734,1759.05004882812,1726.09997558594,1741.05004882812,5049371,1556.71618652344
"104",1754,1757.5,1716.30004882812,1732.44995117188,1603856,1549.0263671875
