"","BAJAJFINSV.NS.Open","BAJAJFINSV.NS.High","BAJAJFINSV.NS.Low","BAJAJFINSV.NS.Close","BAJAJFINSV.NS.Volume","BAJAJFINSV.NS.Adjusted"
"1221",1622,1626.94995117188,1582,1598.59997558594,1766412,1596.75061035156
"1222",1586.15002441406,1603.94995117188,1570.09997558594,1592.09997558594,1365732,1590.25805664062
"1223",1600.09997558594,1616.90002441406,1591.25,1611.44995117188,1279634,1609.58569335938
"1224",1619.75,1627.90002441406,1613.30004882812,1623.05004882812,1137059,1621.17236328125
"1225",1620,1631.69995117188,1600,1604.90002441406,1041690,1603.04333496094
"1226",1599,1610,1581.15002441406,1587.09997558594,1533418,1585.26391601562
"1227",1595.05004882812,1627,1590.15002441406,1619.05004882812,1508476,1617.17700195312
"1228",1614.94995117188,1618.5,1593.05004882812,1615.65002441406,866377,1613.78088378906
"1229",1618.5,1629.25,1575.5,1581.80004882812,1397725,1579.97009277344
"1230",1586.09997558594,1594.19995117188,1530,1544.30004882812,2100618,1542.51342773438
"1231",1524.30004882812,1543.30004882812,1492,1497.05004882812,1673592,1495.31811523438
"1232",1496.90002441406,1544.94995117188,1483.15002441406,1535,1329547,1533.22424316406
"1233",1545,1551.40002441406,1518,1537.69995117188,1102198,1535.92102050781
"1234",1534.69995117188,1534.69995117188,1513,1522.69995117188,1411078,1520.93835449219
"1235",1515,1522,1503.05004882812,1511.69995117188,3417120,1509.95104980469
"1236",1528,1573,1525.84997558594,1547.84997558594,2638505,1546.05932617188
"1237",1550,1560,1528.55004882812,1552.5,1061404,1550.70397949219
"1238",1549,1570,1544.05004882812,1563,1306648,1561.19177246094
"1239",1562,1567.34997558594,1540.40002441406,1547.84997558594,1036103,1546.05932617188
"1240",1548,1548,1454.69995117188,1468.84997558594,5979381,1467.15063476562
"1241",1473.55004882812,1473.55004882812,1423,1430.34997558594,5207616,1428.69519042969
"1242",1447,1450.90002441406,1408.65002441406,1414,4513767,1412.36413574219
"1243",1429,1429,1391,1413.30004882812,2903001,1411.6650390625
"1244",1418,1422.84997558594,1397.05004882812,1399.69995117188,2327598,1398.08056640625
"1245",1405,1414.94995117188,1379,1387.80004882812,3168742,1386.19458007812
"1246",1394.75,1399.84997558594,1374.34997558594,1391.15002441406,3754686,1389.54052734375
"1247",1398.15002441406,1418.44995117188,1379.19995117188,1383.90002441406,3480545,1382.29907226562
"1248",1389,1391.59997558594,1353.94995117188,1372.90002441406,3681802,1371.31176757812
"1249",1379.80004882812,1380,1365,1367.30004882812,2589016,1365.71826171875
