"","INDHOTEL.NS.Open","INDHOTEL.NS.High","INDHOTEL.NS.Low","INDHOTEL.NS.Close","INDHOTEL.NS.Volume","INDHOTEL.NS.Adjusted"
"613",77.0888137817383,78.6887741088867,76.6039810180664,76.9433670043945,1661481,75.663703918457
"614",77.5251693725586,78.3493881225586,76.6039810180664,77.8645553588867,1143996,76.5695571899414
"615",78.8827056884766,79.9008636474609,77.7191009521484,78.9311904907227,1881261,77.6184539794922
"616",81.1614303588867,85.1370849609375,80.482666015625,82.4704895019531,9915950,81.0988922119141
"617",83.7310562133789,84.1674118041992,80.7250823974609,81.1129455566406,3846156,79.7639312744141
"618",81.9856491088867,81.9856491088867,79.0281600952148,79.3190612792969,1447260,77.999885559082
"619",79.2220916748047,79.7069244384766,77.9615173339844,78.7857360839844,1285872,77.4754180908203
"620",79.0281600952148,79.4645080566406,77.1857833862305,77.6221313476562,1084703,76.3311767578125
"621",77.5251693725586,79.4160232543945,75.6343078613281,77.2827529907227,1476531,75.9974365234375
"622",77.9130325317383,77.9615173339844,76.3130798339844,76.8948822021484,1430704,75.6160202026367
"623",77.3797149658203,77.3797149658203,74.761604309082,76.2645950317383,952506,74.9962158203125
"624",76.0706634521484,77.4766845703125,75.3434066772461,76.9918518066406,3661399,76.1957702636719
"625",77.3312301635742,80.9674987792969,76.1676254272461,79.2220916748047,3398578,78.4029541015625
"626",81.2583999633789,81.9371719360352,77.5736541748047,77.9130325317383,4547323,77.107421875
"627",78.6887741088867,79.2220916748047,77.2827529907227,77.4766845703125,2425848,76.6755981445312
"628",78.0100021362305,79.9978256225586,77.5251693725586,78.8827056884766,3909600,78.0670700073242
"629",79.1736068725586,79.4160232543945,76.6039810180664,76.7494277954102,2014679,75.9558639526367
"630",77.0403289794922,77.6221313476562,75.9252090454102,76.0221786499023,1112732,75.2361221313477
"631",76.0221786499023,76.9433670043945,75.6343078613281,76.4585266113281,1029863,75.6679611206055
"632",76.6039810180664,78.3493881225586,76.4100494384766,76.7494277954102,1743716,75.9558639526367
"633",77.2342681884766,77.2342681884766,74.3737411499023,74.5676727294922,2866248,73.7966537475586
"634",75.2464447021484,75.8282470703125,73.7919387817383,74.0343551635742,2158899,73.2688522338867
"635",74.0828399658203,76.1191482543945,74.0343551635742,74.9070587158203,1766897,74.1325378417969
"636",75.585823059082,75.6343078613281,74.470703125,74.5676727294922,1320116,73.7966537475586
"637",74.761604309082,75.8282470703125,74.470703125,75.4403762817383,1797701,74.6603393554688
"638",76.8463973999023,77.1857833862305,75.2464447021484,75.4888610839844,1733523,74.7083206176758
"639",75.3434066772461,75.9252090454102,74.6646423339844,75.4888610839844,1656751,74.7083206176758
"640",76.8948822021484,78.9311904907227,75.7312774658203,78.4948348999023,3430391,77.6832122802734
"641",79.5129928588867,82.2280731201172,78.0584869384766,81.015983581543,18497818,80.1782913208008
"642",80.7250823974609,85.1855621337891,80.482666015625,84.7492141723633,9512481,83.872917175293
"643",85.3310165405273,95.9004287719727,85.0886001586914,94.6883392333984,25351098,93.7092819213867
"644",96.5791931152344,99.391242980957,88.2400283813477,90.906623840332,10483205,89.966667175293
"645",92.5065765380859,93.08837890625,89.2097015380859,90.0339202880859,2730699,89.1029891967773
"646",90.4702682495117,95.0277252197266,90.4217834472656,94.3004684448242,6165894,93.3254165649414
"647",94.9792404174805,95.3186264038086,93.08837890625,93.8156356811523,2142253,92.8456039428711
"648",93.7671508789062,101.330581665039,93.2338333129883,99.391242980957,12316639,98.3635635375977
"649",101.282096862793,103.221435546875,96.9670639038086,97.7912826538086,5686454,96.7801361083984
"650",99.2457885742188,102.785087585449,98.1306686401367,101.330581665039,12661122,100.282852172852
"651",102.445701599121,103.609306335449,100.263946533203,101.476028442383,4845401,100.426788330078
"652",100.845748901367,102.300254821777,100.409393310547,101.766929626465,2198248,100.71467590332
"653",101.815414428711,107.77889251709,100.360908508301,103.512336730957,5328667,102.442039489746
"654",104.336563110352,109.087944030762,101.815414428711,105.354713439941,5939820,104.26537322998
"655",106.51831817627,107.924339294434,96.9670639038086,100.554847717285,5032769,99.5151290893555
"656",101.766929626465,105.015327453613,99.1488265991211,99.9730453491211,2897235,98.9393310546875
"657",99.9730453491211,102.154800415039,99.7791061401367,100.457878112793,1124511,99.4191665649414
"658",101.233612060547,103.075988769531,100.991195678711,101.863899230957,6778264,100.810653686523
"659",99.8760757446289,103.463859558105,97.9367370605469,98.7609558105469,6038082,97.7397842407227
"660",98.7609558105469,101.088165283203,97.0640335083008,100.118492126465,1926652,99.0832824707031
"661",100.845748901367,100.845748901367,93.379280090332,94.7368240356445,3190665,93.7572631835938
"662",93.4277648925781,96.3367767333984,90.1793670654297,95.8519439697266,2866141,94.8608551025391
"663",96.6276779174805,97.9367370605469,95.1731719970703,96.3367767333984,1419232,95.3406829833984
"664",95.0277252197266,96.9670639038086,94.3004684448242,96.1428451538086,1188827,95.1487503051758
"665",96.9670639038086,99.8760757446289,96.9185791015625,99.5851745605469,1762832,98.5554809570312
"666",100.021522521973,100.797264099121,96.6761627197266,100.166976928711,8291293,99.1312713623047
"667",100.457878112793,100.700294494629,98.3730850219727,98.7609558105469,6179639,97.7397842407227
"668",99.5851745605469,99.5851745605469,96.2398147583008,96.6276779174805,1583335,95.6285629272461
"669",96.7731323242188,99.2457885742188,95.9973907470703,97.1125106811523,2016651,96.1083831787109
"670",97.5488662719727,98.4215698242188,92.1187133789062,93.0399017333984,1747504,92.0778884887695
"671",92.1187133789062,92.7005157470703,87.2703552246094,89.8399810791016,3065616,88.9110565185547
"672",91.1975250244141,92.2156753540039,87.2703552246094,89.2097015380859,1837568,88.2872924804688
"673",88.2400283813477,89.1612167358398,85.9613037109375,88.1430587768555,1553062,87.2316818237305
"674",88.1430587768555,91.7793273925781,86.5915908813477,88.8703155517578,2573740,87.9514083862305
"675",90.8581390380859,94.1065368652344,90.082405090332,93.379280090332,2086830,92.4137573242188
"676",94.7368240356445,95.0277252197266,92.1187133789062,92.6035461425781,1364951,91.6460342407227
"677",92.797477722168,93.5247344970703,91.1975250244141,92.1187133789062,1515804,91.1662292480469
"678",96.1913299560547,98.6155014038086,90.6642074584961,94.0580520629883,13734978,93.0855102539062
"679",94.8822708129883,98.809440612793,93.5247344970703,98.1306686401367,6129767,97.1160202026367
"680",98.6155014038086,99.6821441650391,96.6276779174805,97.9367370605469,13120988,96.9240875244141
"681",97.9367370605469,98.2761154174805,95.5610427856445,96.7731323242188,4175243,95.7725067138672
"682",97.0640335083008,97.5003814697266,92.9914169311523,94.7368240356445,1245204,93.7572631835938
"683",94.4944076538086,95.7064895629883,93.1368637084961,93.3307952880859,1094466,92.3657760620117
