"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"234",963.200012207031,985,961,965.549987792969,227409,833.345397949219
"235",968.5,983.950012207031,960.549987792969,974.25,120783,840.854187011719
"236",970.200012207031,979,962.200012207031,972.150024414062,97499,839.041748046875
"237",991.599975585938,991.599975585938,968.049987792969,976.5,205473,842.796142578125
"238",971,1019.40002441406,971,1005.09997558594,264548,867.480163574219
"239",990,1004.95001220703,983,991.450012207031,129141,855.69921875
"240",981,995,980.099975585938,985.299987792969,87698,850.391235351562
"241",981.150024414062,990,962.799987792969,968.5,291640,835.891479492188
"242",963,1027,963,1018.15002441406,453936,878.743408203125
"243",1014.90002441406,1038,1004.54998779297,1014.79998779297,537001,875.85205078125
"244",1002.45001220703,1009.5,969,982.25,664879,847.758850097656
"245",980,1015,974.099975585938,1004.04998779297,464336,866.573974609375
"246",999,1025,982.5,1018.45001220703,494151,879.002319335938
"247",1019,1020,999.099975585938,1005.59997558594,114361,867.911743164062
"248",1004.5,1009.75,988,989.400024414062,152577,853.929870605469
"249",989,999,945,948.799987792969,561410,818.888916015625
"250",948.950012207031,958.700012207031,916,930.450012207031,466413,803.051391601562
"251",940,944,920,925.299987792969,203261,798.606567382812
"252",924,930.049987792969,920.599975585938,924.799987792969,187824,798.174987792969
"253",925,927.950012207031,896.450012207031,904.950012207031,389089,781.042907714844
"254",904,917.099975585938,890,903.549987792969,375233,779.83447265625
"255",900,905.049987792969,886,899.150024414062,246122,776.037048339844
"256",896,909.450012207031,859.599975585938,876.450012207031,431765,756.445129394531
"257",873.5,887.849975585938,869.150024414062,876.450012207031,168134,756.445129394531
"258",880,884.75,858,863.200012207031,271073,745.009338378906
"259",867.700012207031,905.25,864.599975585938,900.700012207031,537130,777.374755859375
"260",901.049987792969,909.799987792969,861.25,871.599975585938,322628,752.259216308594
"261",868,879.900024414062,861.349975585938,877.049987792969,213991,756.962951660156
