"","DEEPAKNTR.NS.Open","DEEPAKNTR.NS.High","DEEPAKNTR.NS.Low","DEEPAKNTR.NS.Close","DEEPAKNTR.NS.Volume","DEEPAKNTR.NS.Adjusted"
"375",300.049987792969,302.950012207031,299.200012207031,300.25,76111,294.205047607422
"376",300,301.950012207031,297.700012207031,300.100006103516,65106,294.058074951172
"377",300.100006103516,304.399993896484,298.649993896484,300.149993896484,78152,294.107086181641
"378",300,308.399993896484,297.700012207031,302.200012207031,144444,296.115814208984
"379",302.5,317.450012207031,302.5,310.649993896484,407198,304.395690917969
"380",313,317.450012207031,307.100006103516,309.049987792969,199099,302.827880859375
"381",309.049987792969,309.899993896484,300.5,302.700012207031,199497,296.605773925781
"382",302,302,290.200012207031,291.649993896484,199598,285.778198242188
"383",292.049987792969,296.049987792969,284,285.700012207031,157061,279.947998046875
"384",287,290.950012207031,268.350006103516,272.350006103516,235420,266.866760253906
"385",274.399993896484,282.100006103516,266.75,278.100006103516,130442,272.501007080078
"386",278,285.950012207031,275.799987792969,283.600006103516,167805,277.890289306641
"387",284.600006103516,286.25,272.5,281.649993896484,195915,275.979553222656
"388",281.899993896484,283.5,274,275.549987792969,70897,270.002349853516
"389",272.049987792969,279.799987792969,270.200012207031,277.799987792969,101043,272.20703125
"390",279.700012207031,284.149993896484,276.049987792969,282.100006103516,101458,276.420501708984
"391",283,293.5,277,283.899993896484,308635,278.184204101562
"392",297,299,274.200012207031,277.299987792969,1606928,271.717102050781
"393",278,283.700012207031,276.100006103516,279.399993896484,296901,273.774841308594
"394",281.100006103516,285.100006103516,275,276.5,214913,270.933258056641
"395",278,283.5,276.049987792969,282.600006103516,162714,276.910430908203
"396",284.700012207031,286,277.399993896484,279,184426,273.382873535156
"397",278.5,279.850006103516,264.100006103516,266.600006103516,213003,261.232543945312
"398",269,271.5,260.75,268.399993896484,273311,262.996307373047
"399",267.950012207031,274,265.100006103516,271.149993896484,123634,265.69091796875
"400",271.200012207031,278.950012207031,271.200012207031,275.100006103516,121685,269.561401367188
"401",276,278.299987792969,273.5,274.549987792969,106094,269.022491455078
"402",280.049987792969,283.850006103516,267.350006103516,269.299987792969,1113707,263.878204345703
"403",270.600006103516,271.75,259.299987792969,260.149993896484,179798,254.912368774414
"404",259,275,257.299987792969,273.799987792969,262856,268.287567138672
"405",278.200012207031,283,274.5,278.350006103516,181630,272.745971679688
"406",279,292.450012207031,278.350006103516,286.75,373943,280.976837158203
"407",287.899993896484,294,283.5,285.399993896484,287692,279.654022216797
"408",284.600006103516,287.25,278.200012207031,280.399993896484,103699,274.754699707031
"409",280.75,284.700012207031,275,275.5,211345,269.953338623047
"410",273.5,273.850006103516,268.399993896484,272.049987792969,187118,266.572784423828
"411",272.600006103516,273.600006103516,269,271.649993896484,172330,266.180877685547
"412",272.899993896484,275.950012207031,269.450012207031,274.299987792969,127477,268.777465820312
"413",275.950012207031,276.75,274.100006103516,276.049987792969,112318,270.492279052734
"414",277.600006103516,282,274.200012207031,278.549987792969,184806,272.941986083984
"415",280,284.649993896484,273.299987792969,278.700012207031,481061,273.088928222656
"416",280.649993896484,283.5,272.600006103516,273.049987792969,392171,267.552642822266
"417",273.200012207031,278.799987792969,272.799987792969,277.100006103516,137352,271.521148681641
"418",276.399993896484,279.399993896484,270.5,274.600006103516,283447,269.071441650391
"419",276.549987792969,277,268,268.700012207031,166893,263.290252685547
"420",271.899993896484,272,267,269.850006103516,109031,264.417144775391
"421",271.799987792969,272.399993896484,268.450012207031,269.799987792969,362308,264.368072509766
"422",271.25,289,270,286.549987792969,329026,280.780883789062
"423",293.5,303.799987792969,292.049987792969,300.649993896484,547162,294.597045898438
"424",302.649993896484,305.5,297.200012207031,300.600006103516,282236,294.548034667969
"425",301.700012207031,303.25,294.5,297.799987792969,150223,291.804382324219
"426",298.950012207031,315,298,312.950012207031,553137,306.649383544922
"427",314.200012207031,319.899993896484,305.100006103516,306.5,306505,300.329254150391
"428",307,309.649993896484,297.399993896484,298.850006103516,129160,292.833251953125
"429",299.850006103516,303.600006103516,286.25,290.549987792969,179297,284.700347900391
"430",287.899993896484,296.799987792969,286.200012207031,295.5,114959,289.550689697266
"431",297.200012207031,302.600006103516,293.950012207031,297.950012207031,154337,291.951385498047
"432",299.200012207031,299.200012207031,286.25,288.200012207031,160316,282.397674560547
"433",286.049987792969,295,286.049987792969,294.25,283035,288.325866699219
"434",293,304.850006103516,291.149993896484,303.399993896484,220522,297.291625976562
"435",305.75,309.899993896484,302.5,304.799987792969,216526,298.663421630859
"436",304.850006103516,307.700012207031,298.299987792969,304.25,98937,298.12451171875
"437",303.850006103516,306.700012207031,295.649993896484,299.700012207031,100802,293.666168212891
"438",300.649993896484,305,297.5,302.299987792969,81180,296.213775634766
"439",302.899993896484,318,299.299987792969,314.950012207031,346196,308.609130859375
"440",317,323.399993896484,315.100006103516,317.850006103516,407111,311.450714111328
"441",319.25,334.399993896484,318.149993896484,330.75,388913,324.091003417969
"442",333.549987792969,348.299987792969,331.600006103516,340.899993896484,564146,334.036651611328
"443",344,348,336.049987792969,340.649993896484,333249,333.791656494141
"444",353.799987792969,360,337.450012207031,340.649993896484,1612017,333.791656494141
"445",343.350006103516,351,343,349.350006103516,225055,342.316528320312
"446",351.049987792969,352,342,343.399993896484,220848,336.486328125
"447",344.950012207031,348.399993896484,338,341.100006103516,278725,334.232604980469
"448",342.850006103516,346,338.100006103516,341.200012207031,318481,334.330627441406
"449",341,341.899993896484,334.100006103516,340.299987792969,243835,333.448699951172
"450",342.950012207031,342.950012207031,337.25,338.600006103516,178168,331.782958984375
"451",338.950012207031,362.600006103516,336.399993896484,359.799987792969,1376398,352.556121826172
"452",363.5,364.950012207031,344.700012207031,350,833360,342.953460693359
"453",349,363.950012207031,348.899993896484,356.549987792969,480522,349.37158203125
"454",354.899993896484,364.899993896484,350,352.450012207031,404703,345.354125976562
"455",351.899993896484,368,349.25,358.899993896484,972522,351.674255371094
"456",369,377,361.049987792969,362.100006103516,1441610,354.809875488281
"457",362.950012207031,364,351.75,356.950012207031,242820,349.763549804688
"458",357.950012207031,358.899993896484,352.049987792969,353.450012207031,169093,346.333984375
"459",353.799987792969,361.950012207031,353.450012207031,358.350006103516,241905,351.135314941406
"460",358.850006103516,359.799987792969,353.549987792969,355.350006103516,134438,348.195739746094
"461",354.299987792969,355.799987792969,346.899993896484,348.5,210922,341.483673095703
"462",349,355.100006103516,345.450012207031,350.450012207031,172882,343.394409179688
"463",350.950012207031,351.25,344,345.950012207031,484336,338.985046386719
"464",348,348.299987792969,339.5,345.5,187694,338.544067382812
"465",346,350.5,340.5,346.649993896484,440510,339.670867919922
"466",344.600006103516,346.649993896484,342,344,132036,337.074279785156
"467",344.049987792969,346.350006103516,337,338,195105,331.195037841797
"468",336.100006103516,346,335.549987792969,336.899993896484,239842,330.117218017578
"469",337.950012207031,339.399993896484,326.450012207031,330.049987792969,164465,323.405090332031
"470",333,344,325,339.700012207031,253150,332.860809326172
"471",341.25,346.899993896484,339.049987792969,340.700012207031,260991,333.840728759766
"472",340.799987792969,346.350006103516,338.100006103516,340.100006103516,143248,333.252777099609
"473",341,346,330.299987792969,332.399993896484,216572,325.707794189453
"474",332,345,331.5,342.149993896484,283618,335.261474609375
"475",344.799987792969,347.850006103516,335,337,157218,330.215148925781
"476",337.049987792969,340,335.700012207031,339.299987792969,93927,332.468902587891
"477",341.450012207031,360.399993896484,340.75,355.600006103516,772395,348.440704345703
"478",357.899993896484,358.450012207031,348.25,350.549987792969,231398,343.492370605469
"479",352.350006103516,363.649993896484,352.350006103516,357.450012207031,491397,350.253448486328
"480",357.399993896484,364.899993896484,354,362.149993896484,224812,354.858795166016
"481",360.200012207031,369.399993896484,360.200012207031,364.649993896484,398082,357.308441162109
"482",365,365.399993896484,360.149993896484,363.200012207031,141972,355.8876953125
"483",363.25,363.5,355.25,356.600006103516,108954,349.420562744141
"484",356,360.649993896484,353.299987792969,355.850006103516,97252,348.685668945312
"485",353.299987792969,369.75,353.299987792969,366.75,788900,359.366180419922
"486",367.549987792969,376.5,363,371.700012207031,591741,364.216583251953
"487",375.100006103516,386.75,372.25,379.299987792969,1175633,371.663513183594
"488",380,382.850006103516,370.549987792969,374.799987792969,229085,367.254119873047
"489",372,377.600006103516,368.200012207031,373.100006103516,179934,365.58837890625
"490",370.100006103516,379,370.100006103516,374.75,172951,367.205139160156
"491",375.049987792969,389.700012207031,371.799987792969,384.700012207031,505078,376.954833984375
"492",385.850006103516,388,377.25,386.450012207031,286109,378.669616699219
"493",383.649993896484,384.549987792969,365.399993896484,367.25,315307,359.856140136719
"494",370,379,370,374.799987792969,210161,367.254119873047
"495",368.100006103516,383.899993896484,365.100006103516,379.850006103516,257953,372.202453613281
"496",386.799987792969,399,381.600006103516,390,797502,382.148132324219
"497",392,398.899993896484,390.700012207031,394.700012207031,294132,386.753540039062
"498",398.950012207031,400,385.399993896484,389.549987792969,223295,381.707153320312
"499",390.600006103516,397.649993896484,387.25,389.149993896484,231974,381.315246582031
"500",388.850006103516,394.75,385.600006103516,390.149993896484,182183,382.295074462891
"501",392.700012207031,393.649993896484,383.100006103516,384.5,162559,376.758850097656
"502",384,395,376.100006103516,391.149993896484,329455,383.274993896484
"503",398,398.200012207031,387.5,393.799987792969,298396,385.871612548828
"504",391,396,386.950012207031,389.350006103516,159955,381.511199951172
"505",392.850006103516,395.700012207031,389.649993896484,391.100006103516,153483,383.225952148438
"506",386.700012207031,406.200012207031,386.700012207031,402.049987792969,661750,393.955505371094
"507",402.950012207031,405,395,399.5,284548,391.456848144531
"508",398,404.899993896484,397,399.850006103516,251055,391.799865722656
"509",403.899993896484,409.600006103516,395.299987792969,400.850006103516,384610,392.779693603516
"510",403.799987792969,404.700012207031,397.350006103516,399.25,215183,391.2119140625
"511",401.700012207031,401.700012207031,392,393.850006103516,267826,385.920623779297
"512",395.649993896484,398.5,377.049987792969,383.600006103516,323462,375.876983642578
"513",375.799987792969,414.899993896484,375,409.399993896484,814556,401.157531738281
"514",420,423,400.5,404.5,1532615,396.356170654297
"515",408.950012207031,414,402.5,408.299987792969,390177,400.079711914062
"516",412.950012207031,412.950012207031,396,397.200012207031,468159,389.203216552734
"517",400,408.950012207031,393.200012207031,404.700012207031,660633,396.552215576172
"518",408.25,418.799987792969,404,410.549987792969,883560,402.284362792969
"519",413.149993896484,418.799987792969,409.100006103516,413.299987792969,517233,404.97900390625
"520",415.5,428.850006103516,407.100006103516,426.700012207031,755115,418.109252929688
"521",426.700012207031,432.5,421.549987792969,427.600006103516,515963,418.991119384766
"522",430,464.899993896484,424.049987792969,459.850006103516,2016075,450.591796875
"523",459.899993896484,462.350006103516,445.700012207031,454.299987792969,436983,445.153564453125
"524",453.700012207031,491.549987792969,431.75,482.700012207031,1436290,472.981811523438
"525",485,499,475.200012207031,483.5,927418,473.765686035156
"526",480,491.700012207031,476.649993896484,483.899993896484,497872,474.157592773438
"527",481.700012207031,489.75,465,467.75,533632,458.332794189453
"528",472.5,518.099975585938,465.100006103516,506.350006103516,2517684,496.155670166016
"529",500.25,520.799987792969,496,501.450012207031,2054528,491.354339599609
"530",504,511.100006103516,473,494.299987792969,945565,484.348236083984
"531",470,482,458,461.899993896484,888153,452.600524902344
"532",483,524,470.399993896484,505.100006103516,2380603,494.930847167969
"533",512.799987792969,537.849975585938,510.200012207031,532.950012207031,2231123,522.220153808594
"534",542.5,542.5,498.149993896484,521.799987792969,1370234,511.294647216797
"535",527,530,514,519.849975585938,730753,509.383911132812
"536",490,523,488.049987792969,519,917859,508.550903320312
"537",508.799987792969,508.799987792969,463.450012207031,490.600006103516,987903,480.722747802734
"538",490.600006103516,509,470.75,475.200012207031,806500,465.632781982422
"539",445,450,390,439.5,2091687,430.651550292969
"540",377,484.600006103516,370.100006103516,468.700012207031,1434830,459.263641357422
"541",441,448.899993896484,419.299987792969,429.25,856960,424.685302734375
"542",425,447,402.600006103516,410.899993896484,726172,406.530426025391
"543",415,427.549987792969,358.5,363.100006103516,840150,359.23876953125
"544",335,381.600006103516,310,341.549987792969,1974070,337.917877197266
"545",360,399,349,377.899993896484,1116097,373.88134765625
"546",331,349,311,324,710311,320.554534912109
"547",350,388,314.049987792969,336.149993896484,856432,332.575317382812
"548",336.149993896484,365.5,328,362,579453,358.150482177734
"549",372,417,364.5,388.200012207031,1457424,384.071868896484
"550",400,410,374.5,376,661220,372.001586914062
"551",372.950012207031,372.950012207031,345,364.950012207031,462838,361.069091796875
"552",376.399993896484,399,369,385.049987792969,1232891,380.955322265625
"553",383.5,399.850006103516,377,380.450012207031,572192,376.404266357422
"554",385,388.700012207031,358.399993896484,379.850006103516,445088,375.810607910156
"555",395,439.700012207031,384.799987792969,432.399993896484,1374363,427.801818847656
"556",439.950012207031,465,432.5,435.350006103516,1023668,430.720458984375
"557",452,493.799987792969,451.049987792969,469.950012207031,1850128,464.952514648438
"558",474.549987792969,488.5,447.049987792969,458.049987792969,703765,453.179046630859
"559",465,477.299987792969,436,446.850006103516,714307,442.09814453125
"560",470,474.899993896484,457.25,466.25,614073,461.291870117188
"561",475.600006103516,479.5,463.25,469.600006103516,485485,464.606231689453
"562",473,476.549987792969,460,460.899993896484,355710,455.998748779297
"563",449.549987792969,477,442.299987792969,449.5,1188436,444.719970703125
"564",449,464.950012207031,445.25,457.350006103516,571554,452.486480712891
"565",478,489.25,475.149993896484,482.399993896484,1631761,477.270111083984
"566",478.799987792969,491.700012207031,452,461.25,1520457,456.345001220703
"567",470,484,466,480.350006103516,1036580,475.241943359375
"568",490.100006103516,499,482.049987792969,485.600006103516,1133325,480.436096191406
"569",486.899993896484,534.900024414062,480,507.100006103516,3619384,501.707458496094
"570",518.400024414062,530,501,506.149993896484,1657630,500.767547607422
"571",482,491.850006103516,468.25,485.049987792969,1309938,479.891876220703
"572",492.899993896484,522.849975585938,488,510.799987792969,2833881,505.368103027344
"573",522.099975585938,546,518.299987792969,525.099975585938,2755164,519.515930175781
"574",523.549987792969,557.799987792969,512.200012207031,552.799987792969,3096672,546.921447753906
"575",556.900024414062,567.700012207031,528.400024414062,531.650024414062,2218649,525.996398925781
"576",533.099975585938,546,515.25,518.099975585938,911962,512.590454101562
"577",517,529.799987792969,499,510.299987792969,1283362,504.873382568359
"578",525.049987792969,529,514.799987792969,520,824095,514.47021484375
"579",515,521,509.549987792969,511.299987792969,394012,505.862762451172
"580",514.75,527.400024414062,507.049987792969,517.650024414062,844522,512.145263671875
"581",521.950012207031,522.599975585938,493.100006103516,501,621613,495.672302246094
"582",508,516,500.25,503.399993896484,599651,498.046752929688
"583",504.649993896484,510.899993896484,503.049987792969,505.600006103516,395756,500.223388671875
"584",505.899993896484,523.700012207031,505.899993896484,518.400024414062,743270,512.887268066406
"585",510,514.150024414062,481.649993896484,493.899993896484,1182834,488.647827148438
"586",499,508,496,501.149993896484,726679,495.820709228516
"587",524,524,495.299987792969,500.049987792969,2688670,494.732360839844
"588",505.149993896484,515.5,503,506,804220,500.619140625
"589",507.850006103516,510,491,498.100006103516,1444776,492.803161621094
"590",505,510.5,501.149993896484,504.399993896484,1012639,499.036163330078
"591",505,509,496.299987792969,499.100006103516,793884,493.79248046875
"592",504.399993896484,504.700012207031,490,491.049987792969,811357,485.828094482422
"593",493.5,494.399993896484,482.200012207031,485.600006103516,540201,480.436096191406
"594",489,490.399993896484,481.5,484.200012207031,607792,479.050964355469
"595",487.850006103516,503,485,491.850006103516,1769367,486.61962890625
"596",494.649993896484,495,480.549987792969,482.600006103516,500124,477.467987060547
"597",483,497.600006103516,480.799987792969,484.149993896484,962789,479.001495361328
"598",486.899993896484,491.799987792969,483,484.799987792969,455367,479.644561767578
"599",465,483.549987792969,465,481.850006103516,475935,476.725982666016
"600",481.950012207031,488.399993896484,475.200012207031,476.350006103516,378281,471.284454345703
"601",482.950012207031,484.649993896484,465,471.75,487250,466.733367919922
"602",472,474.149993896484,458.600006103516,462.850006103516,809230,457.927978515625
"603",462.950012207031,469.75,457.700012207031,465,752594,460.055145263672
"604",465.850006103516,500,465.850006103516,498.25,1532593,492.951538085938
"605",507.850006103516,510,492,494.549987792969,1321749,489.290863037109
"606",502,511.899993896484,498,501.5,1136352,496.1669921875
"607",510,513.549987792969,495,499.399993896484,1047834,494.089324951172
"608",495,507.5,490.549987792969,503.299987792969,710618,497.947845458984
"609",507,509.25,501.200012207031,504.100006103516,527311,498.739349365234
"610",503.799987792969,505.149993896484,490.149993896484,493.100006103516,509284,487.856292724609
"611",494.950012207031,497.950012207031,473.649993896484,475.049987792969,598652,469.998229980469
"612",478.75,486.850006103516,475.100006103516,478.75,474368,473.658905029297
"613",484.100006103516,487.899993896484,478.75,481.350006103516,428937,476.231292724609
"614",483,486.25,474.5,478.950012207031,487573,473.856811523438
"615",486,524,481,516.049987792969,1904387,510.562286376953
"616",519.849975585938,537.900024414062,515.75,525.700012207031,2474519,520.109619140625
"617",533.099975585938,534.799987792969,510.649993896484,513.900024414062,811944,508.435150146484
"618",515,534.799987792969,515,531.299987792969,1020072,525.650146484375
"619",530.650024414062,538.400024414062,518.099975585938,524.5,788496,518.92236328125
"620",529,554.700012207031,524.5,551.200012207031,2791795,545.338500976562
"621",550.950012207031,564.799987792969,540.099975585938,548.799987792969,1670001,542.963989257812
"622",555,556.150024414062,530.099975585938,533.549987792969,915885,527.876159667969
"623",535,537.849975585938,511.299987792969,519.400024414062,754563,513.876647949219
"624",522.900024414062,534.5,521.599975585938,529.299987792969,601082,523.671325683594
"625",532.5,533.450012207031,521.599975585938,523.599975585938,409098,518.031982421875
"626",528.849975585938,543.900024414062,524.5,534.400024414062,727344,528.717163085938
"627",535,547.450012207031,523.099975585938,534.450012207031,826338,528.7666015625
"628",535,554.400024414062,531,551.099975585938,1058129,545.239562988281
"629",548.700012207031,599,545,592.849975585938,4099620,586.545532226562
"630",602.25,623.349975585938,593,612.150024414062,3644711,605.640380859375
"631",612,621.900024414062,603.349975585938,616.200012207031,1259601,609.647338867188
"632",616,648.299987792969,606,614.900024414062,3485017,608.361145019531
"633",618.900024414062,636.599975585938,605.25,617,1227631,610.438720703125
"634",619,648,606.349975585938,643.150024414062,1793922,636.310668945312
"635",647.400024414062,673.349975585938,641.049987792969,646.849975585938,1623635,639.971313476562
"636",651.549987792969,659.25,627.700012207031,630.349975585938,885416,623.646789550781
"637",635,649,629.150024414062,640.950012207031,672481,634.134033203125
"638",647,648.799987792969,636,643.25,687567,636.409606933594
"639",602,619.5,581.200012207031,611.200012207031,2159770,604.700439453125
"640",610,616,582.299987792969,588.75,1616790,582.489135742188
"641",590,595.299987792969,573,577.150024414062,1058288,571.012573242188
"642",575,607,567,598.799987792969,1221674,592.432250976562
"643",602.849975585938,624.900024414062,594,601.799987792969,1837686,595.400390625
"644",602,602,583,585.700012207031,863611,579.471618652344
"645",590,615.200012207031,582,606.200012207031,1388704,599.753601074219
"646",612,613.799987792969,600.299987792969,604.25,501929,597.824340820312
