"","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
"426",184.949996948242,188.649993896484,183.699996948242,184.399993896484,2459090,172.576187133789
"427",184.100006103516,185.800003051758,181,181.850006103516,1715776,170.189697265625
"428",183,184.399993896484,176.300003051758,181.649993896484,3073573,170.002532958984
"429",181.699996948242,182.550003051758,167.350006103516,169.100006103516,5019342,158.257232666016
"430",169.100006103516,172.600006103516,167.199996948242,168.850006103516,2587269,158.023284912109
"431",169.699996948242,174.550003051758,166.75,168.800003051758,2865252,157.976455688477
"432",167.5,168.199996948242,163.5,164.350006103516,1684274,153.811798095703
"433",163,169.949996948242,162.550003051758,168.850006103516,1858232,158.023284912109
"434",168.800003051758,169.5,165,165.850006103516,1585971,155.215637207031
"435",166.699996948242,170.300003051758,165.649993896484,166.5,1199478,155.823959350586
"436",166.949996948242,172.149993896484,166.5,169.949996948242,1843627,159.052734375
"437",169.949996948242,173.800003051758,168.649993896484,173.300003051758,1647100,162.187942504883
"438",173.699996948242,177.800003051758,172.850006103516,177.449996948242,1914748,166.071838378906
"439",177.350006103516,182.5,175.100006103516,181,1323156,169.394195556641
"440",180,186.899993896484,179.050003051758,186.050003051758,1620760,174.120391845703
"441",184.550003051758,188.350006103516,183.399993896484,185.050003051758,3680040,173.184524536133
"442",185.149993896484,185.649993896484,181.399993896484,183.550003051758,2078362,171.780700683594
"443",184.600006103516,184.600006103516,180.649993896484,181.699996948242,1215140,170.04931640625
"444",182.800003051758,184.199996948242,178.949996948242,181,2541205,169.394195556641
"445",182.100006103516,183.300003051758,181,181.850006103516,108509,170.189697265625
"446",181.5,190.100006103516,181.199996948242,186.850006103516,3239605,174.869079589844
"447",187.75,188.5,184.449996948242,187.800003051758,1410885,175.758178710938
"448",190.300003051758,194.399993896484,189.100006103516,190.300003051758,4163472,178.097885131836
"449",191.399993896484,196.75,188.100006103516,189.199996948242,4995111,177.068405151367
"450",189.75,190.649993896484,184.800003051758,185.550003051758,2125782,173.652450561523
"451",185.399993896484,187.649993896484,177.949996948242,179.850006103516,8595442,168.317947387695
"452",178,178.600006103516,167.149993896484,168.5,6895790,157.695693969727
"453",168.399993896484,169.699996948242,166,167,4178035,156.291885375977
"454",167,168.800003051758,164.5,165.149993896484,2566305,154.560516357422
"455",165,168.199996948242,163.649993896484,166.25,1908437,155.589965820312
"456",167,167.199996948242,162.850006103516,163.600006103516,1891558,153.109909057617
"457",163,165.149993896484,161.899993896484,162.699996948242,2272057,152.267593383789
"458",164,169.600006103516,163.850006103516,167.899993896484,4085824,157.134170532227
"459",168.649993896484,170.25,167.100006103516,169.149993896484,2781990,158.304016113281
"460",169.899993896484,169.949996948242,167.5,167.899993896484,1177120,157.134170532227
"461",167.949996948242,170.75,166.5,167.649993896484,2212021,156.900192260742
"462",167.600006103516,169.5,164.800003051758,165.449996948242,1679699,154.841278076172
"463",165,168.399993896484,162.5,167.899993896484,2546788,157.134170532227
"464",168,171.100006103516,167,170.25,2016912,159.33349609375
"465",172.800003051758,173.5,167.699996948242,168.399993896484,4125715,157.602111816406
"466",169.399993896484,172.5,168,171.75,2687302,160.737319946289
"467",171.75,172.75,169.399993896484,171.350006103516,2719784,160.36296081543
"468",171,172.800003051758,167.300003051758,168.050003051758,2077562,157.274566650391
"469",169,169,166.25,168.050003051758,1099589,157.274566650391
"470",169,169.75,164.600006103516,166.300003051758,1638809,155.636764526367
"471",166,170.600006103516,165.149993896484,170.100006103516,1462104,159.193099975586
"472",170.850006103516,174.199996948242,169,173.25,2248253,162.141128540039
"473",177,177.5,171.199996948242,173.899993896484,10658225,162.749450683594
"474",173.699996948242,173.699996948242,168.600006103516,170.050003051758,2912380,159.14631652832
"475",170,171.850006103516,161,162.600006103516,3424810,152.174026489258
"476",161,166.149993896484,159.25,164.100006103516,6462347,153.577835083008
"477",164.100006103516,166.5,163.550003051758,165.5,1363824,154.888061523438
"478",165.449996948242,169.399993896484,165.199996948242,166.800003051758,2822701,156.104736328125
"479",167.5,168.399993896484,163.350006103516,164.350006103516,2277535,153.811798095703
"480",165.300003051758,167.600006103516,165,165.399993896484,1728569,154.794494628906
"481",166,166.5,163.550003051758,164.550003051758,2040202,153.998977661133
"482",164.399993896484,166.199996948242,163.600006103516,164.899993896484,1135000,154.326538085938
"483",165,165.5,163.100006103516,163.5,998404,153.016296386719
"484",163.75,164.800003051758,163.199996948242,163.600006103516,624872,153.109909057617
"485",163.649993896484,164.600006103516,161.600006103516,163.100006103516,1030346,152.641967773438
