"","JKCEMENT.NS.Open","JKCEMENT.NS.High","JKCEMENT.NS.Low","JKCEMENT.NS.Close","JKCEMENT.NS.Volume","JKCEMENT.NS.Adjusted"
"1121",2230.89990234375,2242.05004882812,2146.10009765625,2179.5,54025,2149.0263671875
"1122",2175.25,2196.94995117188,2152.14990234375,2178.55004882812,36595,2148.08959960938
"1123",2189.80004882812,2259,2188,2244.75,103532,2213.36401367188
"1124",2245,2250,2222.35009765625,2244.5,149299,2213.11767578125
"1125",2265.94995117188,2272.14990234375,2227.14990234375,2236.85009765625,200965,2205.57470703125
"1126",2225,2303.44995117188,2225,2280.19995117188,131282,2248.318359375
"1127",2289.60009765625,2367.80004882812,2249,2332.5,241191,2299.88720703125
"1128",2333.19995117188,2364,2321.5,2355.35009765625,170248,2322.41772460938
"1129",2348,2449,2335.64990234375,2423.85009765625,293674,2389.96020507812
"1130",2416,2465,2381.39990234375,2457.14990234375,196020,2422.79443359375
"1131",2480,2515,2427.19995117188,2436.19995117188,121220,2402.13745117188
"1132",2438,2515,2438,2504.14990234375,94074,2469.13696289062
"1133",2504.14990234375,2550.94995117188,2491.60009765625,2538.80004882812,84410,2503.302734375
"1134",2502,2585.60009765625,2502,2550.75,96028,2530.03369140625
"1135",2554.30004882812,2570.35009765625,2513,2555.85009765625,49601,2535.09252929688
"1136",2570.5,2578.60009765625,2486,2536.60009765625,130391,2515.9990234375
"1137",2530,2659.75,2529.05004882812,2621.94995117188,247462,2600.65551757812
"1138",2616.05004882812,2655,2584,2598.05004882812,79657,2576.94970703125
"1139",2600.60009765625,2630,2568.85009765625,2604,66356,2582.85131835938
"1140",2638.60009765625,2659.89990234375,2605.05004882812,2642.85009765625,82745,2621.38598632812
"1141",2660,2676.85009765625,2612.25,2647.85009765625,95512,2626.34521484375
"1142",2708,2708,2610.05004882812,2652.80004882812,211941,2631.25512695312
"1143",2653,2723.89990234375,2632.30004882812,2699.35009765625,189248,2677.42700195312
"1144",2699.35009765625,2749,2675,2739.89990234375,233001,2717.6474609375
"1145",2739.89990234375,2786,2695.25,2708.5,156015,2686.50268554688
"1146",2708.05004882812,2711,2630.05004882812,2654.39990234375,101257,2632.84204101562
"1147",2632,2693,2609.5,2655.35009765625,358408,2633.78442382812
"1148",2661,2682,2637,2661.30004882812,52445,2639.68603515625
"1149",2654,2680.69995117188,2621.64990234375,2626.75,48381,2605.41650390625
"1150",2630.89990234375,2668.5,2621,2650.64990234375,38962,2629.12231445312
"1151",2590.14990234375,2667.25,2572.05004882812,2653.10009765625,37775,2631.552734375
"1152",2659.69995117188,2737.14990234375,2659.69995117188,2716.55004882812,134644,2694.48754882812
"1153",2724.69995117188,2748,2683,2691.14990234375,80715,2669.29345703125
"1154",2718.94995117188,2738,2675.05004882812,2705.25,55905,2683.279296875
"1155",2715,2734.55004882812,2695,2699.69995117188,37341,2677.77416992188
"1156",2720,2724.85009765625,2676.05004882812,2709.89990234375,24819,2687.89111328125
"1157",2680.05004882812,2853.94995117188,2680.05004882812,2821.19995117188,347479,2798.28735351562
"1158",2835,2967.35009765625,2832.05004882812,2938.35009765625,478540,2914.48608398438
"1159",2960.60009765625,2985,2825.44995117188,2840.69995117188,253289,2817.62890625
"1160",2844.94995117188,2882.5,2805.25,2850.35009765625,129421,2827.20068359375
"1161",2856.39990234375,2925,2850,2858.05004882812,149393,2834.83813476562
"1162",2835,2920,2800,2887.19995117188,303216,2863.75146484375
"1163",2884,2934.55004882812,2872.30004882812,2914.19995117188,172105,2890.53198242188
"1164",2905,2949,2800,2833.35009765625,216580,2810.3388671875
"1165",2840,2910,2757.14990234375,2817.80004882812,134777,2794.9150390625
"1166",2830,2944,2814,2909.5,270644,2885.8701171875
"1167",2909,2935.30004882812,2747.94995117188,2769.25,251983,2746.75927734375
"1168",2775,2861.5,2727.30004882812,2757.85009765625,190262,2735.4521484375
"1169",2766,2795,2622.05004882812,2664.89990234375,158927,2643.2568359375
"1170",2664,2664,2475,2540,111544,2519.37109375
"1171",2534.94995117188,2605,2510.89990234375,2554.5,118265,2533.75341796875
"1172",2541,2575.25,2451.30004882812,2516.5,87293,2496.06201171875
"1173",2546.44995117188,2584,2512.05004882812,2559.14990234375,73065,2538.36572265625
"1174",2545,2640,2545,2625.64990234375,117308,2604.32543945312
"1175",2596.5,2653.89990234375,2526.85009765625,2548.94995117188,77190,2528.24853515625
"1176",2555,2630,2555,2589,70399,2567.97338867188
"1177",2597.80004882812,2636,2590.19995117188,2624.55004882812,53300,2603.23461914062
"1178",2638.44995117188,2638.44995117188,2538,2569.25,135422,2548.38354492188
"1179",2555,2580,2525,2554.35009765625,46125,2533.60473632812
"1180",2579.94995117188,2587.80004882812,2479.25,2490,63244,2469.77734375
"1181",2480.39990234375,2544.80004882812,2467.05004882812,2530.55004882812,65925,2509.99780273438
"1182",2500.14990234375,2538.75,2481,2508.25,62383,2487.87915039062
"1183",2525,2547.80004882812,2438,2479.14990234375,179815,2459.01538085938
"1184",2479.14990234375,2516.39990234375,2425.25,2504.39990234375,88576,2484.06030273438
"1185",2504.39990234375,2588,2504.39990234375,2538.89990234375,114835,2518.28002929688
"1186",2511.19995117188,2579,2511.19995117188,2567.89990234375,120239,2547.04467773438
"1187",2550.14990234375,2737.94995117188,2546.69995117188,2684.69995117188,175464,2662.89599609375
"1188",2687.89990234375,2694.64990234375,2609.44995117188,2651.14990234375,114331,2629.61840820312
"1189",2651.14990234375,2700,2651.10009765625,2680.5,9855,2658.73022460938
"1190",2675,2746.94995117188,2605,2631.85009765625,141232,2610.47534179688
"1191",2637.80004882812,2652.80004882812,2582.14990234375,2608.14990234375,112134,2586.96752929688
"1192",2614.80004882812,2628.75,2580.14990234375,2598.44995117188,38834,2577.34643554688
"1193",2611.44995117188,2725,2607.5,2712.64990234375,134636,2690.61889648438
"1194",2730,2818.39990234375,2691.55004882812,2803.55004882812,245002,2780.78076171875
"1195",2803.55004882812,2872,2787.44995117188,2838.5,327984,2815.44677734375
"1196",2825.10009765625,2864,2795.69995117188,2808.19995117188,95918,2785.39282226562
"1197",2814.05004882812,2836.89990234375,2764.5,2780.25,173263,2757.669921875
"1198",2809.64990234375,2814.89990234375,2775,2801.94995117188,104515,2779.19360351562
"1199",2815,2868,2765.14990234375,2781.75,186846,2759.15771484375
"1200",2787,2804.35009765625,2727,2768.60009765625,97523,2746.11474609375
"1201",2800,2840,2776,2816.5,84756,2793.62548828125
"1202",2783.80004882812,2949.19995117188,2775.05004882812,2939.89990234375,407419,2916.02319335938
"1203",2950,2957.19995117188,2892.85009765625,2930.44995117188,167011,2906.64990234375
"1204",2930,2998,2915,2926.94995117188,246288,2903.17846679688
"1205",2928,2957.89990234375,2893.39990234375,2936.30004882812,109824,2912.45263671875
"1206",2931,2942.80004882812,2869.55004882812,2925.5,98961,2901.740234375
"1207",2925,2974.85009765625,2905.05004882812,2930.55004882812,89265,2906.74926757812
"1208",2945.25,2963,2924.30004882812,2949.14990234375,84728,2925.19799804688
"1209",2942.94995117188,2989,2913.94995117188,2953.05004882812,135237,2929.06665039062
"1210",2950,2988,2928.85009765625,2944.5,91302,2920.58618164062
"1211",2945.39990234375,3025,2945.39990234375,3014.5,170086,2990.01733398438
"1212",3039,3055,3003.25,3014.69995117188,143984,2990.2158203125
"1213",3034.89990234375,3066.35009765625,3016.05004882812,3051.55004882812,118030,3026.7666015625
"1214",3053.19995117188,3092.85009765625,3022,3079.69995117188,75959,3054.68798828125
"1215",3079.94995117188,3248.85009765625,3070,3201.05004882812,473640,3175.05249023438
"1216",3201.94995117188,3247.69995117188,3195.05004882812,3236.35009765625,121361,3210.06591796875
"1217",3243.75,3262.19995117188,3166.5,3190.60009765625,109839,3164.68725585938
"1218",3190.89990234375,3211.89990234375,3140.5,3177,90221,3151.19750976562
"1219",3177.19995117188,3214.5,3161.64990234375,3176.80004882812,75920,3150.99926757812
"1220",3197.80004882812,3232.94995117188,3174.94995117188,3183,109177,3157.14892578125
"1221",3183,3219.80004882812,3130.39990234375,3163.80004882812,55075,3138.10498046875
"1222",3188,3200,3086.60009765625,3184.19995117188,73562,3158.33911132812
"1223",3200,3200,3114.5,3152.64990234375,56927,3127.04541015625
"1224",3168.44995117188,3199.89990234375,3150,3164.85009765625,47536,3139.146484375
"1225",3177.80004882812,3180.75,3065,3084.5,77255,3059.44897460938
"1226",3074.05004882812,3094.94995117188,3000,3061,108455,3036.13989257812
"1227",3070,3088.75,3025,3073.44995117188,56397,3048.48852539062
"1228",3073.94995117188,3101.25,3016.75,3091.44995117188,66446,3066.34252929688
"1229",3091.44995117188,3149.60009765625,2970,3003.05004882812,125498,2978.66040039062
"1230",3005,3062.19995117188,2966.10009765625,3039.44995117188,108115,3014.7646484375
"1231",2991,3017.69995117188,2874.60009765625,2928.5,170122,2904.71606445312
"1232",2949.94995117188,3054.10009765625,2887.14990234375,3026.44995117188,112086,3001.87036132812
"1233",3010,3053.94995117188,3002,3022.14990234375,99377,2997.60522460938
"1234",3029.94995117188,3031.94995117188,2990,3012,38702,2987.53784179688
"1235",2985.14990234375,2999.85009765625,2902.60009765625,2928.44995117188,138883,2904.66625976562
"1236",2950,2958,2900.14990234375,2920.60009765625,81235,2896.88012695312
"1237",2929.80004882812,2964,2915.14990234375,2955.94995117188,111043,2931.94287109375
"1238",2960,2973.75,2935,2964.64990234375,54912,2940.572265625
"1239",2972,2988,2905.14990234375,2913.39990234375,75642,2889.73852539062
"1240",2933,2956.75,2871,2884.30004882812,144840,2860.875
"1241",2895,2902,2857.10009765625,2873.64990234375,101590,2850.31127929688
"1242",2900,2919.75,2856,2877.35009765625,54110,2853.9814453125
"1243",2888,2893,2831.25,2880,43041,2856.60986328125
"1244",2850,2888,2846.19995117188,2873.69995117188,75312,2850.36083984375
"1245",2881,2915.89990234375,2858,2903.94995117188,91623,2880.365234375
"1246",2918.5,2972.19995117188,2877.10009765625,2902.94995117188,167285,2879.37329101562
"1247",2903,2927.89990234375,2881.94995117188,2895.60009765625,46805,2872.08325195312
"1248",2910.10009765625,2963.10009765625,2895.10009765625,2946.39990234375,82220,2922.47045898438
"1249",2947.5,2975.89990234375,2926.85009765625,2967.05004882812,48870,2942.95288085938
"1250",2967,2967,2900,2907.75,57558,2884.13452148438
"1251",2881.30004882812,2915.80004882812,2826.14990234375,2845.75,68893,2822.63793945312
"1252",2859,2860,2730,2757.94995117188,125822,2735.55102539062
"1253",2762.80004882812,2782.25,2687.55004882812,2699.10009765625,181509,2677.17919921875
"1254",2699.10009765625,2701.5,2610.05004882812,2638.64990234375,105922,2617.21997070312
"1255",2687.80004882812,2687.80004882812,2540,2586.14990234375,186845,2565.14624023438
"1256",2580,2710.60009765625,2580,2683.19995117188,158050,2661.40795898438
"1257",2671,2732,2671,2710.14990234375,137945,2688.13916015625
"1258",2710.94995117188,2764,2639.05004882812,2674.10009765625,132703,2652.38208007812
"1259",2683.30004882812,2704.89990234375,2607.14990234375,2678.35009765625,137234,2656.59765625
"1260",2689.89990234375,2694.89990234375,2577.30004882812,2629.44995117188,180912,2608.0947265625
"1261",2570.05004882812,2669,2552.89990234375,2640.94995117188,266795,2619.50122070312
"1262",2640,2661.69995117188,2617.19995117188,2635.35009765625,105333,2613.94677734375
"1263",2653.69995117188,2763,2642,2752.64990234375,192449,2730.2939453125
"1264",2740,2788.94995117188,2705.69995117188,2771.05004882812,89244,2748.54467773438
"1265",2730.14990234375,2815,2695.75,2802.94995117188,219588,2780.185546875
"1266",2780,2814.75,2745,2763.10009765625,118570,2740.65942382812
"1267",2780,2789.19995117188,2726.5,2742,87998,2719.73071289062
"1268",2738.89990234375,2776.75,2721.94995117188,2765.35009765625,215167,2742.89111328125
"1269",2760,2777.5,2736,2757.64990234375,118791,2735.25341796875
"1270",2750,2892,2745,2840.69995117188,606027,2817.62890625
"1271",2840.69995117188,2949.89990234375,2808.69995117188,2920.55004882812,313720,2896.83056640625
"1272",2921,2970,2856,2869.30004882812,181683,2845.99682617188
"1273",2837,2849.85009765625,2771,2803,178367,2780.2353515625
"1274",2803,2831.35009765625,2744.44995117188,2811.39990234375,177631,2788.56689453125
"1275",2819,2854.80004882812,2766.55004882812,2786.5,104741,2763.869140625
"1276",2794,2794,2728.89990234375,2760.25,143167,2737.83251953125
"1277",2774.10009765625,2816.75,2745.80004882812,2764.60009765625,56536,2742.14721679688
"1278",2783.14990234375,2840,2751.64990234375,2833.89990234375,66572,2810.88427734375
"1279",2845,2881.44995117188,2819.39990234375,2870.85009765625,81753,2847.53442382812
"1280",2870.85009765625,2892.30004882812,2840.85009765625,2849.89990234375,51186,2826.75439453125
"1281",2864.14990234375,2905,2860,2873.85009765625,65704,2850.509765625
"1282",2847.69995117188,2884.55004882812,2840.35009765625,2852.55004882812,43547,2829.3828125
"1283",2852.55004882812,2875.25,2802,2818.30004882812,57140,2795.41088867188
"1284",2801.05004882812,2820,2746.85009765625,2809.55004882812,54818,2786.73217773438
"1285",2822.19995117188,2829.30004882812,2708,2802.64990234375,110258,2779.88793945312
"1286",2815,2815,2758.89990234375,2791.55004882812,57515,2768.87817382812
"1287",2820,2836.25,2790,2804.89990234375,60682,2782.11962890625
"1288",2818.69995117188,2827.94995117188,2740,2785.10009765625,35842,2762.48046875
"1289",2802,2847.89990234375,2765.75,2833,50235,2809.99169921875
"1290",2833,2834.5,2755.75,2780.25,34589,2757.669921875
"1291",2780,2856.94995117188,2780,2807.05004882812,110456,2784.25244140625
"1292",2821.10009765625,2873,2805.19995117188,2831.5,197627,2808.50366210938
"1293",2837.85009765625,2853.25,2820.89990234375,2837.89990234375,134716,2814.85180664062
"1294",2840,2840,2764.35009765625,2811.85009765625,209877,2789.01318359375
"1295",2820.85009765625,2873.60009765625,2801.14990234375,2839.19995117188,104406,2816.14111328125
"1296",2825.19995117188,2865.80004882812,2825.19995117188,2844.85009765625,103249,2821.74536132812
"1297",2850,2980,2827.25,2961.44995117188,186428,2937.3984375
"1298",2980,2986.30004882812,2911.10009765625,2923.69995117188,124224,2899.95483398438
"1299",2939.10009765625,2942.10009765625,2893,2913,45167,2889.341796875
"1300",2928,2959.5,2846.44995117188,2951.14990234375,568144,2927.18188476562
