"","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
"337",1157.40002441406,1174.80004882812,1148.40002441406,1162.19995117188,619197,1131.38830566406
"338",1180,1230,1171.59997558594,1217,759417,1184.73547363281
"339",1218,1218,1186.09997558594,1199.84997558594,528609,1168.04028320312
"340",1204.90002441406,1215.94995117188,1182.55004882812,1211.59997558594,401367,1179.478515625
"341",1216.65002441406,1230,1195.44995117188,1199.59997558594,511235,1167.79675292969
"342",1208,1250,1185.25,1237.59997558594,993693,1204.78942871094
"343",1234.80004882812,1241.84997558594,1216.90002441406,1229,500765,1196.41735839844
"344",1234,1275,1224.59997558594,1266.15002441406,1320148,1232.58239746094
"345",1264.44995117188,1275,1250.05004882812,1271,516483,1237.30383300781
"346",1269.80004882812,1282.05004882812,1260,1268.69995117188,660117,1235.06481933594
"347",1268,1301.40002441406,1264.09997558594,1289.65002441406,1080171,1255.45947265625
"348",1297.69995117188,1304.19995117188,1282.40002441406,1295.69995117188,595015,1261.34887695312
"349",1292.80004882812,1293.05004882812,1273.5,1279.5,659730,1245.57849121094
"350",1287,1287,1261,1270.19995117188,537351,1236.52502441406
"351",1265.55004882812,1266.40002441406,1246,1255.69995117188,719114,1222.40954589844
"352",1264.80004882812,1291.80004882812,1261.5,1283.44995117188,602858,1249.423828125
"353",1282,1304.80004882812,1282,1288.65002441406,543616,1254.48583984375
"354",1295,1295.05004882812,1275.30004882812,1279.84997558594,485348,1245.91931152344
"355",1272,1272,1247.09997558594,1250.90002441406,866196,1217.73669433594
"356",1250.05004882812,1250.90002441406,1238.44995117188,1244,807664,1211.01953125
"357",1244,1255,1235.15002441406,1242.05004882812,521993,1209.12133789062
"358",1242.34997558594,1245.69995117188,1232,1237.80004882812,452457,1204.98413085938
"359",1241.05004882812,1262.59997558594,1236,1245.40002441406,473742,1212.38256835938
"360",1245.09997558594,1261.34997558594,1235.05004882812,1251.65002441406,571910,1218.46691894531
"361",1241.09997558594,1250.65002441406,1212,1233,744514,1200.31127929688
